Name,Image,VFX,DIY,Buy,Sell,Color 1,Color 2,Miles Price,Source,Source Notes,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,Tag,Catalog,Version Added,Version Unlocked,Filename,Internal ID,Unique Entry ID
birch flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorBirch00.png,No,No,800.0,200.0,White,White,NA,Nook's Cranny,,151.0,living room,child's room,None,Wood Floors,For sale,1.0.0,1.0.0,RoomTexFloorBirch00,5032.0,2tg7thFuaxAAiDTsv
black iron-parquet flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorParquetIron02.png,No,No,2350.0,587.0,Black,White,NA,Nook's Cranny,,151.0,expensive,living room,None,Iron Parquet,For sale,1.0.0,1.0.0,RoomTexFloorParquetIron02,5066.0,24iNYeWLqkR2juaqx
black-brick flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorBrick02.png,No,No,1040.0,260.0,Black,Black,NA,Nook's Cranny,,151.0,facility,shop,None,Brick,For sale,1.0.0,1.0.0,RoomTexFloorBrick02,4976.0,9KuQFNKWxmCH4Wmvh
blue camo flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorCamouflage01.png,No,No,1320.0,330.0,Blue,Blue,NA,Nook's Cranny,,151.0,party,child's room,None,Camouflage,For sale,1.0.0,1.0.0,RoomTexFloorCamouflage01,5016.0,bGQTqfoWhW5TNdLM9
blue desert-tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorMorocco01.png,No,No,2100.0,525.0,Blue,White,NA,Nook's Cranny,,151.0,bathroom,facility,None,Morocco,For sale,1.0.0,1.0.0,RoomTexFloorMorocco01,4966.0,zJsrCJgAeFsymNzjq
blue dot flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorDot04.png,No,No,800.0,200.0,Blue,Light blue,NA,Nook's Cranny,,151.0,fancy,child's room,None,Dot,For sale,1.0.0,1.0.0,RoomTexFloorDot04,5028.0,cpSuDLw7NNyxB5fCs
blue floral flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorDecoWood01.png,No,No,1520.0,380.0,Blue,Blue,NA,Nook's Cranny,,151.0,shop,living room,None,Deco Wood,For sale,1.0.0,1.0.0,RoomTexFloorDecoWood01,5074.0,XMaNPpWPhwfMY6L5G
blue honeycomb tile,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorHoneycomb01.png,No,No,1420.0,355.0,Blue,Blue,NA,Nook's Cranny,,151.0,bathroom,facility,None,Honeycomb,For sale,1.0.0,1.0.0,RoomTexFloorHoneycomb01,5040.0,rYSDNLpsxE2ec3g9W
blue mosaic-tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorTile03.png,No,No,900.0,225.0,Blue,Blue,NA,Nook's Cranny,,151.0,bathroom,facility,None,Tile Floors,For sale,1.0.0,1.0.0,RoomTexFloorTile03,6846.0,y7utgb97MDffD3CWY
blue rubber flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorRubber01.png,No,No,850.0,212.0,Blue,Light blue,NA,Nook's Cranny,,151.0,fitness,school,None,Rubber,For sale,1.0.0,1.0.0,RoomTexFloorRubber01,4954.0,4q43QAcimMHbzK76v
blue-paint flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorPaintWood00.png,No,No,1040.0,260.0,Light blue,White,NA,Nook's Cranny,,151.0,fancy,child's room,None,Painted Wood,For sale,1.0.0,1.0.0,RoomTexFloorPaintWood00,5057.0,gNCxEi69JzcmxXbxL
boxing-ring mat,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorWrestling00.png,No,No,3000.0,750.0,Blue,Blue,NA,Saharah,,451.0,fitness,None,None,Sports Floor,Not for sale,1.0.0,1.0.0,RoomTexFloorWrestling00,4982.0,45uLswcK6NpGkiLNj
brown argyle-tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorArgyleTile01.png,No,No,1440.0,360.0,Brown,Brown,NA,Nook's Cranny,,151.0,expensive,facility,None,Argyle,For sale,1.0.0,1.0.0,RoomTexFloorArgyleTile01,5081.0,yBoSKBz6zX8i5upzp
brown floral flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorDecoWood02.png,No,No,1520.0,380.0,Brown,White,NA,Nook's Cranny,,151.0,shop,living room,None,Deco Wood,For sale,1.0.0,1.0.0,RoomTexFloorDecoWood02,5075.0,xY7NHtsvYjKMbACLu
brown honeycomb tile,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorHoneycomb00.png,No,No,1420.0,355.0,Brown,Brown,NA,Nook's Cranny,,151.0,bathroom,facility,None,Honeycomb,For sale,1.0.0,1.0.0,RoomTexFloorHoneycomb00,5038.0,ZpkkHEE23YB7QNvHx
brown iron-parquet flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorParquetIron01.png,No,No,2350.0,587.0,Beige,Beige,NA,Nook's Cranny,,151.0,expensive,living room,None,Iron Parquet,For sale,1.0.0,1.0.0,RoomTexFloorParquetIron01,5065.0,n48DyFP2iimp68t9Y
brown wedding flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorMarbleTile01.png,No,No,NFS,750.0,None,None,NA,Cyrus,Only available during Wedding Season,437.0,party,expensive,wedding,Tile Floors,Not for sale,1.2.0,1.2.1c,RoomTexFloorMarbleTile01,12433.0,hmyWP64oXEsMwBPua
brown-brick flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorBrick03.png,No,No,1040.0,260.0,Brown,Brown,NA,Nook's Cranny,,151.0,facility,shop,None,Brick,For sale,1.0.0,1.0.0,RoomTexFloorBrick03,6849.0,pjTr8dw3cyN8eeZYv
Bunny Day flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorEaster00.png,No,Yes,NFS,4800.0,None,None,NA,Crafting,,351.0,fancy,child's room,Bunny Day,Dot,Not for sale,1.1.0,1.1.0a,RoomTexFloorEaster00,12423.0,Q9QJSyTM3AzAWLBvD
camo flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorCamouflage00.png,No,No,1320.0,330.0,Black,Green,NA,Nook's Cranny,,151.0,party,child's room,None,Camouflage,For sale,1.0.0,1.0.0,RoomTexFloorCamouflage00,5015.0,DuqT3X6msNdXFvLHi
cherry-blossom flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorSakura00.png,No,Yes,NFS,4400.0,Pink,Pink,NA,Crafting,,201.0,garden,fancy,cherry blossoms,Nature - Fallen Leaves,Not for sale,1.0.0,1.0.0,RoomTexFloorSakura00,7204.0,ZhWmRmGQN5gZCao4y
circuit-board flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorGeek00.png,No,No,3000.0,750.0,Green,Green,NA,Saharah,,451.0,facility,None,None,Machine Floor,Not for sale,1.0.0,1.0.0,RoomTexFloorGeek00,5082.0,mqiB9cY9EEtRXQoFS
cloud flooring,https://acnhcdn.com/latest/FtrIcon/RoomSpFloorCloud00.png,Yes,No,3000.0,750.0,White,White,NA,Saharah,,451.0,fancy,None,None,Special Nature Floors,Not for sale,1.0.0,1.0.0,RoomSpFloorCloud00,5267.0,Gp6CWrou6RqPRPLH3
colored-leaves flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorAutumun00.png,No,Yes,NFS,4300.0,Orange,Orange,NA,Crafting,,201.0,garden,None,tree's bounty or leaves ,Nature - Fallen Leaves,Not for sale,1.0.0,1.0.0,RoomTexFloorAutumun00,4990.0,ZNpkS7gSLvRFR3qv4
colorful mosaic-tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorTile02.png,No,No,900.0,225.0,Colorful,White,NA,Nook's Cranny,,151.0,bathroom,facility,None,Tile Floors,For sale,1.0.0,1.0.0,RoomTexFloorTile02,5037.0,FMtGXChPSm2y6edqK
colorful puzzle flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorPuzzleMat01.png,No,No,1450.0,362.0,Colorful,Colorful,NA,Nook's Cranny,,151.0,fancy,child's room,None,Puzzle Mat,For sale,1.0.0,1.0.0,RoomTexFloorPuzzleMat01,4957.0,snnsfZxLf3bLFCmSD
colorful tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorPanel01.png,No,No,1620.0,405.0,Colorful,Colorful,NA,Nook's Cranny,,151.0,living room,child's room,None,Panel,For sale,1.0.0,1.0.0,RoomTexFloorPanel01,5068.0,ANgxpCY6rprKk56wT
common flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorCommon00.png,No,No,720.0,180.0,Brown,Brown,NA,Nook's Cranny,,151.0,living room,school,None,Wood Floors,For sale,1.0.0,1.0.0,RoomTexFloorCommon00,5018.0,GQX6Cd7FiDHBwkfAv
concrete flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorConcrete00.png,No,No,820.0,205.0,Gray,Gray,NA,Nook's Cranny,,151.0,garage,facility,None,Stone Floors,For sale,1.0.0,1.0.0,RoomTexFloorConcrete00,4951.0,r6hpZDG5eaceYuE3x
construction-site flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorConstruction00.png,No,No,3000.0,750.0,Brown,White,NA,Saharah,,451.0,garage,facility,None,Sidewalk,Not for sale,1.0.0,1.0.0,RoomTexFloorConstruction00,5235.0,25pmfNgicXrDwQhZ9
cool vinyl flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorTileChecker03.png,No,No,1150.0,287.0,Blue,Gray,NA,Nook's Cranny,,151.0,expensive,None,None,Tile Checker,For sale,1.0.0,1.0.0,RoomTexFloorTileChecker03,6844.0,RpwPS8ETt7nPHGTqR
cool-paint flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorColorfulWood01.png,No,No,2200.0,550.0,Colorful,Colorful,NA,Nook's Cranny,,151.0,fancy,child's room,None,Colorful Wood,For sale,1.0.0,1.0.0,RoomTexFloorColorfulWood01,5071.0,P5vNHW2McCcqGk2Ru
cork flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorCork00.png,No,No,1500.0,375.0,Beige,Beige,NA,Nook's Cranny,,151.0,school,music,None,Wood Floors,For sale,1.0.0,1.0.0,RoomTexFloorCork00,4969.0,YSWAiTZFDQXzbH8xM
crop-circles flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorCropCircles00.png,No,No,3000.0,750.0,Green,Green,NA,Saharah,,451.0,garden,None,None,Nature - Green,Not for sale,1.0.0,1.0.0,RoomTexFloorCropCircles00,5243.0,zvSD2W9Wsxs2wX82T
crosswalk flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorSidewalk00.png,No,No,3000.0,750.0,Beige,Black,NA,Saharah,,451.0,facility,None,None,Sidewalk,Not for sale,1.0.0,1.0.0,RoomTexFloorSidewalk00,5007.0,DpkSGAyAuXwcmKcYT
cubic parquet flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorHoneycombWood00.png,No,No,1500.0,375.0,Orange,Orange,NA,Nook's Cranny,,151.0,living room,child's room,None,Simple Parquet,For sale,1.0.0,1.0.0,RoomTexFloorHoneycombWood00,4987.0,pTqSAheGagvxyCivv
cute blue-tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorCute02.png,No,No,780.0,195.0,Blue,Blue,NA,Nook's Cranny,,151.0,fancy,child's room,None,Tile Floors,For sale,1.0.0,1.0.0,RoomTexFloorCute02,7221.0,QsGtuf59hbErv942T
cute red-tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorCute01.png,No,No,780.0,195.0,Red,Pink,NA,Nook's Cranny,,151.0,fancy,child's room,None,Tile Floors,For sale,1.0.0,1.0.0,RoomTexFloorCute01,7220.0,TmfKeSsDh7FMpA6jG
cute white-tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorCute00.png,No,No,780.0,195.0,White,White,NA,Nook's Cranny,,151.0,fancy,child's room,None,Tile Floors,For sale,1.0.0,1.0.0,RoomTexFloorCute00,7219.0,bXxKjx8AJp7PRKLZA
cute yellow-tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorCute03.png,No,No,780.0,195.0,Yellow,Yellow,NA,Nook's Cranny,,151.0,fancy,child's room,None,Tile Floors,For sale,1.0.0,1.0.0,RoomTexFloorCute03,7222.0,CSeg3aQXkhPjwXSJS
cute-paint flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorColorfulWood00.png,No,No,2200.0,550.0,Pink,Orange,NA,Nook's Cranny,,151.0,fancy,child's room,None,Colorful Wood,For sale,1.0.0,1.0.0,RoomTexFloorColorfulWood00,5070.0,W6ohXRHoCKsN4YLB8
daisy meadow,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorGrassland00.png,No,No,3000.0,750.0,Green,Green,NA,Saharah,,451.0,garden,None,None,Grassland,Not for sale,1.0.0,1.0.0,RoomTexFloorGrassland00,5005.0,3wxzHxXFvLCZ9CKg2
dark herringbone flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorHerringbone01.png,No,No,1200.0,300.0,Brown,Brown,NA,Nook's Cranny,,151.0,living room,shop,None,Herringbone,For sale,1.0.0,1.0.0,RoomTexFloorHerringbone01,5062.0,B2ZTCrRr7jnNR2ovs
dark parquet flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorCountry01.png,No,No,1560.0,390.0,Black,Gray,NA,Nook's Cranny,,151.0,living room,None,None,Country,For sale,1.0.0,1.0.0,RoomTexFloorCountry01,5025.0,rco8xXCvWkLSFYCRA
dark wood-pattern flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorSimpleParquet01.png,No,No,1500.0,375.0,Black,Black,NA,Nook's Cranny,,151.0,living room,shop,None,Simple Parquet,For sale,1.0.0,1.0.0,RoomTexFloorSimpleParquet01,4992.0,XtDikpNN55jn8zrja
dark-block flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorParquet01.png,No,No,1380.0,345.0,Brown,Brown,NA,Nook's Cranny,,151.0,school,None,None,Parquet,For sale,1.0.0,1.0.0,RoomTexFloorParquet01,5035.0,Brfw5JnsZKhxqhWYf
dark-chocolates flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorChocolate00.png,No,No,3000.0,750.0,Brown,Brown,NA,Saharah,,451.0,fancy,None,None,Chocolate,Not for sale,1.0.0,1.0.0,RoomTexFloorChocolate00,5050.0,hyLXZQ7stKXetPcQv
dig-site flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorStratum00.png,No,No,3000.0,750.0,Brown,Beige,NA,Saharah,,451.0,garden,horror,None,Nature - Brown,Not for sale,1.0.0,1.0.0,RoomTexFloorStratum00,5011.0,4niZnD4Hiwrg9tF2G
dirt flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorCottonSoil00.png,No,No,3000.0,750.0,Brown,Black,NA,Saharah,,451.0,garden,outdoors,None,Nature - Brown,Not for sale,1.0.0,1.0.0,RoomTexFloorCottonSoil00,4981.0,LYgxhvWvyPWAzWieZ
field flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorFarm00.png,No,No,3000.0,750.0,Brown,Brown,NA,Saharah,,451.0,garden,None,None,Nature - Brown,Not for sale,1.0.0,1.0.0,RoomTexFloorFarm00,4980.0,2zmEMZxmYHHNEGTQR
flagstone flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorFlagStone00.png,No,No,1700.0,425.0,Beige,Beige,NA,Nook's Cranny,,151.0,shop,facility,None,Stone Floors,For sale,1.0.0,1.0.0,RoomTexFloorFlagStone00,5031.0,NtuoKtiMbKoiY2xoy
floral mosaic-tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorMosaicTile00.png,No,No,1080.0,270.0,White,White,NA,Nook's Cranny,,151.0,bathroom,facility,None,Tile Floors,For sale,1.0.0,1.0.0,RoomTexFloorMosaicTile00,4993.0,5wjjJXuu2A9EYJGgf
floral rush-mat flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorRush00.png,No,No,3000.0,750.0,White,White,NA,Saharah,,451.0,fancy,zen-style,None,Japanese Style,Not for sale,1.0.0,1.0.0,RoomTexFloorRush00,4977.0,f9aYRhv4CwtmsYPNS
flowing-river flooring,https://acnhcdn.com/latest/FtrIcon/RoomSpFloorRiver00.png,Yes,No,3000.0,750.0,Gray,Light blue,NA,Saharah,,451.0,garden,None,None,Special Nature Floors,Not for sale,1.0.0,1.0.0,RoomSpFloorRiver00,5273.0,2EL3sCGxkgTQj533G
forest flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorMushForest00.png,No,Yes,NFS,35000.0,Brown,Brown,NA,Crafting,,201.0,garden,horror,mush,Nature - Fallen Leaves,Not for sale,1.0.0,1.0.0,RoomTexFloorMushForest00,7186.0,ec3NaTs5Pk8z6HCC6
future-tech flooring,https://acnhcdn.com/latest/FtrIcon/RoomSpFloorTechnology00.png,Yes,No,3000.0,750.0,Black,Black,NA,Saharah,,451.0,horror,folk art,None,Special Inorganic Floors,Not for sale,1.0.0,1.0.0,RoomSpFloorTechnology00,5250.0,eZweMfrfieMDtihv7
galaxy flooring,https://acnhcdn.com/latest/FtrIcon/RoomSpFloorGalaxy00.png,No,Yes,NFS,7500.0,Blue,Blue,NA,Crafting,,103.0,space,None,None,Special Nature Floors,Not for sale,1.0.0,1.0.0,RoomSpFloorGalaxy00,5269.0,XhFQDs3H9uCdikzkW
garbage-heap flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorGarbage00.png,No,Yes,NFS,120.0,White,White,NA,Crafting,,103.0,horror,garage,None,Decadence,Not for sale,1.0.0,1.0.0,RoomTexFloorGarbage00,5236.0,iY9f7H5NjXBxxB6HQ
giraffe-print flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorAnimal01.png,No,No,1300.0,325.0,Beige,Beige,NA,Nook's Cranny,,151.0,party,fancy,None,Animal Floor,For sale,1.0.0,1.0.0,RoomTexFloorAnimal01,4961.0,umJmHnuMQRMEeXB7Y
gold iron-parquet flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorParquetIron00.png,No,No,2350.0,587.0,Beige,Beige,NA,Nook's Cranny,,151.0,expensive,living room,None,Iron Parquet,For sale,1.0.0,1.0.0,RoomTexFloorParquetIron00,5064.0,R7g62hAfWLaJ2muuy
golden flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorGold00.png,No,Yes,NFS,40000.0,Yellow,Yellow,NA,Crafting,,103.0,expensive,horror,golden,Luxury,Not for sale,1.0.0,1.0.0,RoomTexFloorGold00,5021.0,YrHA4R4RmkJLeYvJy
gravel flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorGravel00.png,No,No,3000.0,750.0,Gray,Gray,NA,Saharah,,451.0,garden,facility,None,Stone Floors,Not for sale,1.0.0,1.0.0,RoomTexFloorGravel00,4978.0,9jLaEjCCsiMHGLf9Y
gray argyle-tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorArgyleTile00.png,No,No,1440.0,360.0,Gray,White,NA,Nook's Cranny,,151.0,expensive,facility,None,Argyle,For sale,1.0.0,1.0.0,RoomTexFloorArgyleTile00,5080.0,L5HHMxTjeAv2hLukh
gray vinyl flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorTileChecker00.png,No,No,1150.0,287.0,Gray,White,NA,Nook's Cranny,,151.0,expensive,None,None,Tile Checker,For sale,1.0.0,1.0.0,RoomTexFloorTileChecker00,5046.0,hazZe9YtvTt7T8WJD
green floral flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorDecoWood03.png,No,No,1520.0,380.0,Green,Green,NA,Nook's Cranny,,151.0,shop,living room,None,Deco Wood,For sale,1.0.0,1.0.0,RoomTexFloorDecoWood03,6847.0,AaKjHGFteG5h2GBQn
green honeycomb tile,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorHoneycomb02.png,No,No,1420.0,355.0,Green,Green,NA,Nook's Cranny,,151.0,bathroom,facility,None,Honeycomb,For sale,1.0.0,1.0.0,RoomTexFloorHoneycomb02,5041.0,3T2nKNCHMxxQXkucQ
green retro flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorKitchen01.png,No,No,1540.0,385.0,Green,Green,NA,Nook's Cranny,,151.0,kitchen,shop,None,Kitchen Floors,For sale,1.0.0,1.0.0,RoomTexFloorKitchen01,5045.0,RRFkhjtia4ayJy2cH
green rubber flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorRubber00.png,No,No,850.0,212.0,Green,Green,NA,Nook's Cranny,,151.0,fitness,school,None,Rubber,For sale,1.0.0,1.0.0,RoomTexFloorRubber00,4952.0,raqdEHfoLLbgfxpcR
green vinyl flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorTileChecker02.png,No,No,1150.0,287.0,Green,White,NA,Nook's Cranny,,151.0,expensive,None,None,Tile Checker,For sale,1.0.0,1.0.0,RoomTexFloorTileChecker02,5048.0,zBGakmC9vX4Epuduf
green wedding flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorMarbleTile02.png,No,No,NFS,750.0,None,None,NA,Cyrus,Only available during Wedding Season,437.0,party,expensive,wedding,Tile Floors,Not for sale,1.2.0,1.2.1c,RoomTexFloorMarbleTile02,12434.0,uhmt88jsXSHpkqswZ
green-paint flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorPaintWood01.png,No,No,1040.0,260.0,Green,Green,NA,Nook's Cranny,,151.0,fancy,child's room,None,Painted Wood,For sale,1.0.0,1.0.0,RoomTexFloorPaintWood01,5058.0,ZdsDu7KBmtngBLoe4
hexagonal floral flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorHempTile00.png,No,No,860.0,215.0,White,White,NA,Nook's Cranny,,151.0,zen-style,shop,None,Tile Floors,For sale,1.0.0,1.0.0,RoomTexFloorHempTile00,4972.0,6frp588zeZqeDBSvp
highway flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorHighway00.png,No,No,3000.0,750.0,Gray,Beige,NA,Saharah,,451.0,facility,None,None,Sidewalk,Not for sale,1.0.0,1.0.0,RoomTexFloorHighway00,5237.0,wrqigm79Kx7xbhPcb
honeycomb flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorHoney00.png,No,Yes,NFS,3000.0,Yellow,Yellow,NA,Crafting,,103.0,fancy,facility,None,Neta,Not for sale,1.0.0,1.0.0,RoomTexFloorHoney00,4999.0,Yi7YJpRkuc2DYxypg
ice flooring,https://acnhcdn.com/latest/FtrIcon/RoomSpFloorIce00.png,Yes,Yes,NFS,8200.0,Light blue,Light blue,NA,Crafting,,444.0,freezing cold,facility,frozen,Special Nature Floors,Not for sale,1.0.0,1.0.0,RoomSpFloorIce00,5516.0,J63DSTu7u4tnwgLfR
iceberg flooring,https://acnhcdn.com/latest/FtrIcon/RoomSpFloorIceFloe00.png,Yes,Yes,NFS,4000.0,White,Light blue,NA,Crafting,,201.0,freezing cold,None,None,Special Nature Floors,Not for sale,1.0.0,1.0.0,RoomSpFloorIceFloe00,5253.0,7unCfS99xyM3swHCz
imperial tile,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorDynasty00.png,No,No,3000.0,750.0,White,Gray,NA,Saharah,,451.0,expensive,None,None,Luxury,Not for sale,1.0.0,1.0.0,RoomTexFloorDynasty00,5012.0,n4zrzvMvJmXvpMTCw
jointed-mat flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorJointMat00.png,No,No,1050.0,262.0,Beige,Beige,NA,Nook's Cranny,,151.0,school,child's room,None,Cloth Floors,For sale,1.0.0,1.0.0,RoomTexFloorJointMat00,4955.0,RfPqDKHG6QR5FhwXY
jungle flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorJungle00.png,No,Yes,NFS,2200.0,Green,Green,NA,Crafting,,103.0,garden,facility,None,Nature - Green,Not for sale,1.0.0,1.0.0,RoomTexFloorJungle00,5515.0,QrdicpjjuY4mBd37e
kitschy tile,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorKitschTile00.png,No,No,1280.0,320.0,Pink,White,NA,Nook's Cranny,,151.0,party,None,None,Tile Floors,For sale,1.0.0,1.0.0,RoomTexFloorKitschTile00,5076.0,uWKchyhWgNxTxDikd
lava flooring,https://acnhcdn.com/latest/FtrIcon/RoomSpFloorVolcano00.png,Yes,No,3000.0,750.0,Black,Orange,NA,Saharah,,451.0,horror,None,None,Special Inorganic Floors,Not for sale,1.0.0,1.0.0,RoomSpFloorVolcano00,5274.0,uT9YnwivAEZ938FKB
