#,Name,Icon Image,Critterpedia Image,Furniture Image,Sell,Where/How,Weather,Total Catches to Unlock,Spawn Rates,NH Jan,NH Feb,NH Mar,NH Apr,NH May,NH Jun,NH Jul,NH Aug,NH Sep,NH Oct,NH Nov,NH Dec,SH Jan,SH Feb,SH Mar,SH Apr,SH May,SH Jun,SH Jul,SH Aug,SH Sep,SH Oct,SH Nov,SH Dec,Size,Surface,Description,Catch phrase,HHA Base Points,HHA Category,Color 1,Color 2,Icon Filename,Critterpedia Filename,Furniture Filename,Internal ID,Unique Entry ID
47.0,citrus long-horned beetle,https://acnhcdn.com/latest/MenuIcon/Ins39.png,https://acnhcdn.com/latest/BookInsectIcon/InsectGomadarakamikiriCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectGomadarakamikiriCropped.png,350.0,On tree stumps,Any except rain,0.0,10,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,1x1,No,"The citrus long-horned beetle is a putrid pest and a grave threat to trees. Hoo! It's true! Adults possess powerful jaws and use them to chomp through hard wood and plant fibers with ease. The little larvae are no better, boring bullet-like holes into innocent trees with gusto—citrus trees especially. Voracious and vile, indeed!",I caught a citrus long-horned beetle! Orange you happy for me?,64.0,Pet,Black,Green,Ins39,InsectGomadarakamikiri,FtrInsectGomadarakamikiri,609.0,QR88MPLzYxSCHWZJb
5.0,common bluebottle,https://acnhcdn.com/latest/MenuIcon/Ins72.png,https://acnhcdn.com/latest/BookInsectIcon/InsectAosujiagehaCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectAosujiagehaCropped.png,300.0,Flying,Any except rain,0.0,70,NA,NA,NA,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,NA,NA,NA,NA,4 AM – 7 PM,4 AM – 7 PM,NA,NA,NA,NA,NA,NA,NA,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,1x1,Yes,"The common bluebottle is a type of swallowtail butterfly with a bright blue line running down its wings. They fly quite nimbly, it seems, and are thus quite difficult to catch. But seeing how they've been known to slurp nutrients from MUD puddles... I simply CAN'T imagine wanting to catch one myself. What awful breath!",I caught a common bluebottle! I'll put it in a rare green jar!,64.0,Pet,Black,Green,Ins72,InsectAosujiageha,FtrInsectAosujiageha,3477.0,vgkW2eovbpxNuGsFZ
1.0,common butterfly,https://acnhcdn.com/latest/MenuIcon/Ins0.png,https://acnhcdn.com/latest/BookInsectIcon/InsectMonshirochoCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectMonshirochoCropped.png,160.0,Flying,Any except rain,0.0,60,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,NA,NA,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,NA,NA,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,1x1,No,"The common butterfly would have you believe it is but a beautiful friend flitting prettily about the flowers. Bah, I say! They may seem innocent things with their pretty white wings, but they hide a dark side! The common butterfly caterpillar is called a cabbage worm, you see, and it's a most voracious pest. The ravenous beasts chew through cabbage, broccoli, kale and the like with a devastating gusto. And my feathers! Their green coloring is truly GROSS! A hoo-rrific hue, I say.",I caught a common butterfly! They often flutter by!,64.0,Pet,White,Green,Ins0,InsectMonshirocho,FtrInsectMonshirocho,626.0,tRJxp5N9XbwAGQHZc
20.0,cricket,https://acnhcdn.com/latest/MenuIcon/Ins30.png,https://acnhcdn.com/latest/BookInsectIcon/InsectKohrogiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectKohrogiCropped.png,130.0,On the ground,Any except rain,0.0,60,NA,NA,NA,NA,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,NA,NA,NA,1x1,No,"I say, where shall I start with the cricket? Well, to begin with, they are mostly nocturnal creatures. And for that you day-loving diurnal types should be grateful! Hoo! It means you don't have to lay eyes upon their prickly legs or overly long antennae like us night owls! Of course, crickets are best known for the chirping sound they make by rubbing their wings together. Some find the noise lovely to listen to. Alas, it only serves to remind me of another unpleasant fact... Which is to say...you will find a cricket's ears right next to its knees! I've gone weak in the knees at the mention of it!",I caught a cricket! What a chirp thrill!,64.0,Pet,Brown,Beige,Ins30,InsectKohrogi,FtrInsectKohrogi,617.0,Lr7eFJzJJZpWRWekm
59.0,cyclommatus stag,https://acnhcdn.com/latest/MenuIcon/Ins49.png,https://acnhcdn.com/latest/BookInsectIcon/InsectHosoakakuwagataCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectHosoakakuwagataCropped.png,8000.0,On palm trees,Any weather,100.0,2,NA,NA,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1x1,Yes,"The cyclommatus stag is known for its giant jaws, which can be even larger than its body. Its round eyes and silver color make it a beloved beetle. Though how one could love a beetle is beyond me. Imagine being pinched by those long jaws, and the pain it would cause! Ouch and ewww!",I caught a cyclommatus stag! Those mandibles are a mouthful!,64.0,Pet,Black,Black,Ins49,InsectHosoakakuwagata,FtrInsectHosoakakuwagata,602.0,moBevd7J5hwpHeLcs
35.0,damselfly,https://acnhcdn.com/latest/MenuIcon/Ins81.png,https://acnhcdn.com/latest/BookInsectIcon/InsectItotonboCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectItotonboCropped.png,500.0,Flying near water,Any except rain,0.0,60,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,All day,All day,All day,All day,NA,NA,NA,NA,1x1,Yes,"The colorful damselfly is similar to its cousin, the dragonfly, though it tends to be smaller and thinner. But don't let the delicate looks fool you! Much like the dragonfly, the damselfly is a ruthless predator. It loves to catch flies midair and eat them, and has been known to snack on spiders it plucks from the web! In short, it is not a dinner guest I would recommend... And it is not a menu I could keep down.",I caught a damselfly! Now it's a damselfly in distress!,64.0,Pet,Green,Blue,Ins81,InsectItotonbo,FtrInsectItotonbo,5339.0,pBmqsa7CyeKzyRjDT
33.0,darner dragonfly,https://acnhcdn.com/latest/MenuIcon/Ins23.png,https://acnhcdn.com/latest/BookInsectIcon/InsectGinyanmaCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectGinyanmaCropped.png,230.0,Flying near water,Any except rain,0.0,40,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,1x1,Yes,"The darner dragonfly is the fastest dragonfly there is, flying at speeds up to 40 miles per hour! They all have a distinctive green hue, but the males have blue underbellies while females have yellow ones. It all sounds pleasant enough, no? Well, did you know their young eat tadpoles...and even some small fish! Worse, these creepy carnivores will eat each other in a pinch! Grotesque does not describe it...",I caught a darner dragonfly! It better watch its mouth!,64.0,Pet,Green,Green,Ins23,InsectGinyanma,FtrInsectGinyanma,595.0,723NiWMh4iY9RJtAM
39.0,diving beetle,https://acnhcdn.com/latest/MenuIcon/Ins28.png,https://acnhcdn.com/latest/BookInsectIcon/InsectGengorouCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectGengorouCropped.png,800.0,On rivers/ponds,Any weather,0.0,10,NA,NA,NA,NA,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,NA,NA,NA,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,NA,NA,NA,NA,NA,NA,NA,8 AM – 7 PM,8 AM – 7 PM,1x1,No,"Ah, the dastardly diving beetle! Famous for its distinctive round shape...and its voracious appetite. This powerful predator uses thick back legs covered in hairs to paddle after its prey. And it uses suction cups on its front legs to grip its quarry for good. My own legs have gone weak thinking about it...",I caught a diving beetle! Now I'm making a splash!,64.0,Pet,Black,Blue,Ins28,InsectGengorou,FtrInsectGengorou,594.0,CBjt7itnPqEtNznrX
53.0,drone beetle,https://acnhcdn.com/latest/MenuIcon/Ins75.png,https://acnhcdn.com/latest/BookInsectIcon/InsectKanabunCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectKanabunCropped.png,200.0,On trees (any kind),Any weather,0.0,40,NA,NA,NA,NA,NA,All day,All day,All day,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,NA,All day,1x1,No,"I must say, the drone beetle is like that boorish acquaintance who is much too loud for polite company. That is, it is a large bug with a square head and is so named for the droning noise it makes when it flies. Furthermore, it has hooks on its feet that help it to cling tightly to trees. HOOK FEET... How gauche!",I caught a drone beetle! Shouldn't you have more propellers?,64.0,Pet,Green,Blue,Ins75,InsectKanabun,FtrInsectKanabun,3480.0,uXmtRAQgY3g596tov
50.0,dung beetle,https://acnhcdn.com/latest/MenuIcon/Ins40.png,https://acnhcdn.com/latest/BookInsectIcon/InsectFunkorogashiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectFunkorogashiCropped.png,3000.0,Pushing snowballs,Any weather,0.0,10,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,NA,All day,NA,NA,NA,NA,NA,All day,All day,All day,NA,NA,NA,NA,1x1,Yes,"What can I say? The aptly-named dung beetle feeds on the feces of animals. Hoo! You heard right! This putrid pest rolls up balls of dung...and then rolls them away to dine on at a later date. As if that weren't atrocious enough, some dung beetles lay their eggs in the feces too! What a dreadful place to raise the young.",I caught a dung beetle! This species likes feces!,64.0,Pet,Black,Beige,Ins40,InsectFunkorogashi,FtrInsectFunkorogashi,604.0,p9RhE8wLWpHtcoq5G
51.0,earth-boring dung beetle,https://acnhcdn.com/latest/MenuIcon/Ins42.png,https://acnhcdn.com/latest/BookInsectIcon/InsectOhsenchikoganeCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectSenchikoganeCropped.png,300.0,On the ground,Any weather,0.0,30,NA,NA,NA,NA,NA,NA,All day,All day,All day,NA,NA,NA,All day,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,NA,1x1,No,"Earth-boring dung beetles are considered quite handsome by some, thanks to their metallic luster. In fact, some even think them to be good omens and bringers of favorable fortune. But I must protest! These field- ravaging pests love to burrow under piles of dung and lay their eggs. They raise their young under DUNG! Need I say more? Ick. I think not.",I caught an earth-boring dung beetle! It's not boring at all!,64.0,Pet,Purple,Orange,Ins42,InsectOhsenchikogane,FtrInsectSenchikogane,614.0,k2fqxdYnTF8BpHB7u
9.0,emperor butterfly,https://acnhcdn.com/latest/MenuIcon/Ins5.png,https://acnhcdn.com/latest/BookInsectIcon/InsectMorufuochoCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectMorufuochoCropped.png,4000.0,Flying near flowers,Any except rain,20.0,5,5 PM – 8 AM,5 PM – 8 AM,5 PM – 8 AM,NA,NA,5 PM – 8 AM,5 PM – 8 AM,5 PM – 8 AM,5 PM – 8 AM,NA,NA,5 PM – 8 AM,5 PM – 8 AM,5 PM – 8 AM,5 PM – 8 AM,NA,NA,5 PM – 8 AM,5 PM – 8 AM,5 PM – 8 AM,5 PM – 8 AM,NA,NA,5 PM – 8 AM,1x1,Yes,"The emperor butterfly is called the jewel of the forest. But its vivid blue hue... Ewww, let me tell you! The color does not come from a dye, but rather from light reflecting off layers of translucent scales. Yes, butterfly wings are covered in tiny scales! SCALES! Butterfly? Bah! More like snake of the sky!",I caught an emperor butterfly! It's not your average monarch!,64.0,Pet,Blue,Orange,Ins5,InsectMorufuocho,FtrInsectMorufuocho,627.0,Lwkf7oQ3mcWYm6eEY
30.0,evening cicada,https://acnhcdn.com/latest/MenuIcon/Ins20.png,https://acnhcdn.com/latest/BookInsectIcon/InsectHigurashiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectHigurashiCropped.png,550.0,On hardwood/cedar trees,Any weather,0.0,50,NA,NA,NA,NA,NA,NA,4 AM – 8 AM; 4 PM – 7 PM,4 AM – 8 AM; 4 PM – 7 PM,NA,NA,NA,NA,4 AM – 8 AM; 4 PM – 7 PM,4 AM – 8 AM; 4 PM – 7 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1x1,Yes,"The evening cicada certainly knows how to ruin a quiet moment. As the sun sets, it strikes up a sad song so sonorous, one can't hear one's own thoughts! I'd feel sorry for its melancholy moods if it weren't so very vocal about how it feels. Ugh, please pipe down...",I caught an evening cicada! Better than an odding cicada...; I caught an evening cicada! This time it's WETTER than an odding cicada.,64.0,Pet,Black,Orange,Ins20,InsectHigurashi,FtrInsectHigurashi,601.0,kzX4apD9C3Nq8khzR
36.0,firefly,https://acnhcdn.com/latest/MenuIcon/Ins41.png,https://acnhcdn.com/latest/BookInsectIcon/InsectHotaruCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectHotaruCropped.png,300.0,Flying near water,Any except rain,0.0,200,NA,NA,NA,NA,NA,7 PM – 4 AM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7 PM – 4 AM,1x1,No,"The firefly isn't a fly at all! It is a beetle, you see—and one known for its ghastly glowing backside. This light is called ""bioluminescence"" and it is caused by...by...a chemical reaction in the rump. Males flash about in the night sky to attract females, while their larvae turn on the glow to put off predators. Speaking of their yucky young, firefly larvae love to dine on snails! Hoo! Ewwww!",I caught a firefly! I'm on fire now!,64.0,Pet,Black,Blue,Ins41,InsectHotaru,FtrInsectHotaru,603.0,PgiwPqykwafyz5EL6
74.0,flea,https://acnhcdn.com/latest/MenuIcon/Ins56.png,https://acnhcdn.com/latest/BookInsectIcon/InsectNomiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectNomiCropped.png,70.0,On villagers,Any weather,0.0,5–10,NA,NA,NA,All day,All day,All day,All day,All day,All day,All day,All day,NA,All day,All day,All day,All day,All day,NA,NA,NA,NA,All day,All day,All day,1x1,No,"Allow me to be blunt. The flea is foul! It is also disgusting, repugnant, and vile! Hoo! But I digress... This horrid pest sucks the blood of humans and animals. In fact, it is the flea's own saliva that makes us itch! And did you know their legs are so strong, they can jump more than 50 times their body length? So you see, it's all too easy for a flea to jump from you to me! I itch at the very thought.",I caught a flea! The curse is lifted.,64.0,Pet,Brown,White,Ins56,InsectNomi,FtrInsectNomi,633.0,QzDywoJEAJDcjGfEF
72.0,fly,https://acnhcdn.com/latest/MenuIcon/Ins59.png,https://acnhcdn.com/latest/BookInsectIcon/InsectHaeCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectHaeCropped.png,60.0,"Flying near trash (boots, tires, cans) or rotten turnips",Any weather,0.0,0,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,1x1,No,"The foul fly is quite the disquieting creature. I tell you, it tastes its food with its feet! Yeep! In fact, when flies rub their legs together, they do so to get rid of debris blocking their taste receptors. And did you know, their hairy toes release a sticky goo so they can walk on any surface? Even your ceiling! This gross goo gets on your food too!",I caught a fly! I was just wingin' it...,64.0,Pet,Black,White,Ins59,InsectHae,FtrInsectHae,597.0,xdBmuMgXJ6jGxpabK
28.0,giant cicada,https://acnhcdn.com/latest/MenuIcon/Ins65.png,https://acnhcdn.com/latest/BookInsectIcon/InsectKumazemiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectKumazemiCropped.png,500.0,On hardwood/cedar trees,Any weather,20.0,50,NA,NA,NA,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1x1,Yes,"The giant cicada is rather aptly named. That is, it's a truly enormous bug. Ugh! These beasts spend most of their lives underground where they gorge on tree roots. But once they emerge, they make an awful racket. In fact, some say their song sounds like a shrieking siren. I would rather listen to nails on a chalkboard.",I caught a giant cicada! I guess it's PRETTY big...; I caught a giant cicada! Guess it doesn't feel like singing in the rain!,64.0,Pet,Black,Yellow,Ins65,InsectKumazemi,FtrInsectKumazemi,618.0,nPm2r7idGshQW87MN
