Name,Icon Image,Photo Image,Gender,Gender (Asia),Version Added,NPC ID,Internal ID,Birthday,Unique Entry ID
Leila,,https://acnhcdn.com/latest/NpcPoster/NpcSpKps.png,Female,Female,NA,kps,17.0,8/16,MkkTcwbmJmGXnGA6P
Katie,,https://acnhcdn.com/latest/NpcPoster/NpcSpLom.png,Female,Female,NA,lom,46.0,10/22,froBkd4rfuHvsgNuB
Blanca,,https://acnhcdn.com/latest/NpcPoster/NpcSpMka.png,Female,Male,NA,mka,44.0,2/8,Ndgae4bSokoBtb97u
Porter,,https://acnhcdn.com/latest/NpcPoster/NpcSpMnk.png,Male,Male,NA,mnk,19.0,4/17,XhqSyrq7fjmcNe5N3
Don,,https://acnhcdn.com/latest/NpcPoster/NpcSpMob.png,Male,Male,NA,mob,20.0,5/1,pE6as787paJEWhgbX
Resetti,,https://acnhcdn.com/latest/NpcPoster/NpcSpMol.png,Male,Male,NA,mol,21.0,4/6,BMtksEYHbtBLC6aww
Lottie,,https://acnhcdn.com/latest/NpcPoster/NpcSpOtg.png,Female,Female,NA,otg,56.0,9/12,Z2YMj6fmLnowD4XnN
Lyle,,https://acnhcdn.com/latest/NpcPoster/NpcSpOtt.png,Male,Male,NA,ott,22.0,6/6,R6sNbgmgSCgpyFYRf
Blathers,https://acnhcdn.com/latest/NpcIcon/owl.png,https://acnhcdn.com/latest/NpcBromide/NpcSpOwl.png,Male,Male,1.0.0,owl,23.0,9/24,LXqTqy94M9Yt7yaAb
Celeste,https://acnhcdn.com/latest/NpcIcon/ows.png,https://acnhcdn.com/latest/NpcBromide/NpcSpOws.png,Female,Female,1.0.0,ows,24.0,9/7,7t6ZNPqsvE22CsyMw
Pavé,,https://acnhcdn.com/latest/NpcPoster/NpcSpPck.png,Male,Male,NA,pck,25.0,3/3,ddz6FRgy2kCp2TF6A
Brewster,,https://acnhcdn.com/latest/NpcPoster/NpcSpPge.png,Male,Male,NA,pge,28.0,10/15,RkbTSEruyBcEyMjDX
Jack,,https://acnhcdn.com/latest/NpcPoster/NpcSpPkn.png,Male,Male,NA,pkn,57.0,10/31,v8rBscHZN8BuL6vho
Pelly,,https://acnhcdn.com/latest/NpcPoster/NpcSpPlk.png,Female,Female,NA,plk,26.0,3/19,ydQXw58arpJoRxsao
Phyllis,,https://acnhcdn.com/latest/NpcPoster/NpcSpPlm.png,Female,Female,NA,plm,27.0,11/21,9WgCsffJgLsDTcs5Y
Pete,,https://acnhcdn.com/latest/NpcPoster/NpcSpPlo.png,Male,Male,NA,plo,31.0,3/8,iptnwW8oAu3bE5E3L
Harriet,,https://acnhcdn.com/latest/NpcPoster/NpcSpPoo.png,Female,Female,NA,poo,33.0,1/31,bRAwDjRF3s5EifuXo
Zipper,https://acnhcdn.com/latest/NpcIcon/pyn.png,https://acnhcdn.com/latest/NpcPoster/NpcSpPyn.png,Male,Male,1.1.0,pyn,47.0,3/11,MxHc7P8664FtCcd2y
Timmy,https://acnhcdn.com/latest/NpcIcon/rcm.png,https://acnhcdn.com/latest/NpcBromide/NpcSpRcm.png,Male,Male,1.0.0,rcm,52.0,6/7,XQGqJDnh2hRg4unt3
Tom Nook,https://acnhcdn.com/latest/NpcIcon/rco.png,https://acnhcdn.com/latest/NpcBromide/NpcSpRco.png,Male,Male,1.0.0,rco,34.0,5/30,QNw2aQsR5dmgXCrhY
Tommy,https://acnhcdn.com/latest/NpcIcon/rct.png,https://acnhcdn.com/latest/NpcBromide/NpcSpRct.png,Male,Male,1.0.0,rct,51.0,6/7,uCvDxaDCp8FnAnmce
Jingle,,https://acnhcdn.com/latest/NpcPoster/NpcSpRei.png,Male,Male,NA,rei,48.0,12/24,nnnCFTFp2CxKM8Kps
Pascal,https://acnhcdn.com/latest/NpcIcon/seo.png,https://acnhcdn.com/latest/NpcPoster/NpcSpSeo.png,Male,Male,1.3.0,seo,36.0,7/19,MgTEFSvyfd2mQFefo
Kicks,https://acnhcdn.com/latest/NpcIcon/skk.png,https://acnhcdn.com/latest/NpcBromide/NpcSpSkk.png,Male,Male,1.0.0,skk,37.0,11/30,qmGXCtGtjukpiS8Fs
Leif,https://acnhcdn.com/latest/NpcIcon/slo.png,https://acnhcdn.com/latest/NpcPoster/NpcSpSlo.png,Male,Male,1.2.0,slo,43.0,8/8,sK5zwmKLL8HNKZhYt
Harvey,https://acnhcdn.com/latest/NpcIcon/spn.png,,Male,Male,1.0.0,spn,58.0,8/2,XHGYT3WfbiboMAQHE
Isabelle,https://acnhcdn.com/latest/NpcIcon/sza.png,https://acnhcdn.com/latest/NpcBromide/NpcSpSza.png,Female,Female,1.0.0,sza,38.0,12/20,ZgSyBa8uRm7uupcQw
Digby,,https://acnhcdn.com/latest/NpcPoster/NpcSpSzo.png,Male,Male,NA,szo,49.0,12/20,8Mwo7kmFeM9iRxXmb
Luna,,https://acnhcdn.com/latest/NpcPoster/NpcSpTap.png,Female,Female,NA,tap,45.0,2/29,mTzz444C5LkcH4W9T
K.K.,https://acnhcdn.com/latest/NpcIcon/tkkA.png,https://acnhcdn.com/latest/NpcBromide/NpcSpTkkA.png,Male,Male,1.0.0,tkkA,8.0,8/23,8kgdqqyBHHe7Cq8jm
DJ KK,,https://acnhcdn.com/latest/NpcPoster/NpcSpTkkB.png,Male,Male,NA,tkkB,65.0,8/23,eQgLgRTaBTQy6LQLS
Tortimer,,https://acnhcdn.com/latest/NpcPoster/NpcSpTtlA.png,Male,Male,NA,ttlA,39.0,12/31,BPPkKQ5BYRSZhk6Bc
Franklin,,https://acnhcdn.com/latest/NpcPoster/NpcSpTuk.png,Male,Male,NA,tuk,40.0,10/10,dFbRDi2FGNmHZvuRM
Shrunk,,https://acnhcdn.com/latest/NpcPoster/NpcSpUpa.png,Male,Male,NA,upa,41.0,1/2,qvhSuN7wnc75GysSb
Wendell,,https://acnhcdn.com/latest/NpcPoster/NpcSpWrl.png,Male,Male,NA,wrl,50.0,2/25,LZAjSZiZWt9QQsE3n
Rover,https://acnhcdn.com/latest/NpcIcon/xct.png,https://acnhcdn.com/latest/NpcPoster/NpcSpXct.png,Male,Male,1.2.0,xct,42.0,2/1,riMH36iDWKc3gQAkT
