Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Seasonal Availability,Style,Label Themes,Sort Order,Villager Equippable,Catalog,Version Added,Version Unlocked,Filename,ClothGroup ID,Internal ID,Unique Entry ID
crossbody boston bag,https://acnhcdn.com/latest/ClosetIcon/BagShoulderDrum0.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderDrum0.png,Red,No,1680.0,420.0,23.0,Red,Black,1x1,NA,Kicks,,All Year,Simple,everyday; outdoorsy; sporty,1.0,No,For sale,1.0.0,1.0.0,BagShoulderDrum0,973.0,7485.0,8MwDxuHHvYM3XJpmy
crossbody boston bag,https://acnhcdn.com/latest/ClosetIcon/BagShoulderDrum1.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderDrum1.png,Blue,No,1680.0,420.0,23.0,Blue,Black,1x1,NA,Kicks,,All Year,Simple,everyday; outdoorsy; sporty,2.0,No,For sale,1.0.0,1.0.0,BagShoulderDrum1,973.0,12011.0,w98ZrTQWiRMHyveaa
DAL backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackDal0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackDal0.png,NA,No,NFS,1010.0,251.0,Blue,Black,1x1,NA,Dodo Airlines,Received in mail from DAL after 200 flights,All Year,Cool,outdoorsy; vacation,1.0,No,Not for sale,1.0.0,1.0.0,BagBackpackDal0,1185.0,12131.0,3mGmqSPj5YPujiDgD
dry bag,https://acnhcdn.com/latest/ClosetIcon/BagBackpackDry0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackDry0.png,Yellow,No,1040.0,260.0,23.0,Yellow,Black,1x1,NA,Kicks,,All Year,Active,outdoorsy; sporty,1.0,No,For sale,1.0.0,1.0.0,BagBackpackDry0,963.0,7471.0,iwTpuxykXjSBi8b9a
dry bag,https://acnhcdn.com/latest/ClosetIcon/BagBackpackDry1.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackDry1.png,Blue,No,1040.0,260.0,23.0,Blue,Black,1x1,NA,Kicks,,All Year,Active,outdoorsy; sporty,2.0,No,For sale,1.0.0,1.0.0,BagBackpackDry1,963.0,11964.0,cMoNDoZx2sdfD6Haz
evening bag,https://acnhcdn.com/latest/ClosetIcon/BagShoulderParty2.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderParty2.png,Black,No,1250.0,312.0,23.0,Black,Yellow,1x1,NA,Kicks,,All Year,Cute,formal; party,1.0,No,For sale,1.0.0,1.0.0,BagShoulderParty2,986.0,11977.0,x9Z63uLS8cHdsoczj
evening bag,https://acnhcdn.com/latest/ClosetIcon/BagShoulderParty0.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderParty0.png,Pink,No,1250.0,312.0,23.0,Pink,Yellow,1x1,NA,Kicks,,All Year,Cute,formal; party,2.0,No,For sale,1.0.0,1.0.0,BagShoulderParty0,986.0,7305.0,tZhGqzKpEeEweTZi7
evening bag,https://acnhcdn.com/latest/ClosetIcon/BagShoulderParty1.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderParty1.png,Blue,No,1250.0,312.0,23.0,Blue,Yellow,1x1,NA,Kicks,,All Year,Cute,formal; party,3.0,No,For sale,1.0.0,1.0.0,BagShoulderParty1,986.0,11976.0,SoJkNi7GNiW28tYuG
extra-large backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackMountain2.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackMountain2.png,Black,No,2100.0,525.0,23.0,Black,Black,1x1,NA,Kicks,,All Year,Active,outdoorsy; sporty,1.0,No,For sale,1.0.0,1.0.0,BagBackpackMountain2,994.0,11972.0,HqReXLwGPigWMiJbS
extra-large backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackMountain0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackMountain0.png,Red,No,2100.0,525.0,23.0,Red,Red,1x1,NA,Kicks,,All Year,Active,outdoorsy; sporty,2.0,No,For sale,1.0.0,1.0.0,BagBackpackMountain0,994.0,7505.0,sjT2tZJCMpWQNmhTy
extra-large backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackMountain1.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackMountain1.png,Green,No,2100.0,525.0,23.0,Green,Green,1x1,NA,Kicks,,All Year,Active,outdoorsy; sporty,3.0,No,For sale,1.0.0,1.0.0,BagBackpackMountain1,994.0,11971.0,MKeBKrETSTs4tyrg4
extra-large backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackMountain3.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackMountain3.png,Blue,No,2100.0,525.0,23.0,Blue,Blue,1x1,NA,Kicks,,All Year,Active,outdoorsy; sporty,4.0,No,For sale,1.0.0,1.0.0,BagBackpackMountain3,994.0,11973.0,vvEqA5aMBGyycpQFz
faux-fur bag,https://acnhcdn.com/latest/ClosetIcon/BagShoulderFakefur0.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderFakefur0.png,Pink,No,1400.0,350.0,23.0,Pink,Yellow,1x1,NA,Kicks,,All Year,Cute,formal; party,1.0,No,For sale,1.0.0,1.0.0,BagShoulderFakefur0,968.0,7480.0,FyneYzGmHW7SyoHn7
faux-fur bag,https://acnhcdn.com/latest/ClosetIcon/BagShoulderFakefur1.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderFakefur1.png,Purple,No,1400.0,350.0,23.0,Purple,Yellow,1x1,NA,Kicks,,All Year,Cute,formal; party,2.0,No,For sale,1.0.0,1.0.0,BagShoulderFakefur1,968.0,12003.0,gH3fn5rkmCrekWoJB
fish pochette,https://acnhcdn.com/latest/ClosetIcon/BagShoulderFish0.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderFish0.png,NA,No,NFS,210.0,501.0,Light blue,Blue,1x1,NA,Fishing Tourney,,All Year,Cute,formal; party,1.0,No,Not for sale,1.0.0,1.0.0,BagShoulderFish0,965.0,7477.0,CrFcdF3rXiaiiajEB
foldover-top backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackLid2.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackLid2.png,Gray,No,1300.0,325.0,23.0,Gray,White,1x1,NA,Kicks,,All Year,Active,outdoorsy; sporty,1.0,No,For sale,1.0.0,1.0.0,BagBackpackLid2,996.0,12017.0,Z8WFCNZodHtW2DBPB
foldover-top backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackLid3.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackLid3.png,Pink,No,1300.0,325.0,23.0,Pink,Purple,1x1,NA,Kicks,,All Year,Active,outdoorsy; sporty,2.0,No,For sale,1.0.0,1.0.0,BagBackpackLid3,996.0,12018.0,nD9TYBr8sw4rhLAyG
foldover-top backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackLid0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackLid0.png,Green,No,1300.0,325.0,23.0,Green,Beige,1x1,NA,Kicks,,All Year,Active,outdoorsy; sporty,3.0,No,For sale,1.0.0,1.0.0,BagBackpackLid0,996.0,7507.0,nkXJ2eRThdt4vEpFb
foldover-top backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackLid1.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackLid1.png,Blue,No,1300.0,325.0,23.0,Blue,Light blue,1x1,NA,Kicks,,All Year,Active,outdoorsy; sporty,4.0,No,For sale,1.0.0,1.0.0,BagBackpackLid1,996.0,12016.0,M8i2DNwxgXKWADAtW
gumdrop shoulder bag,https://acnhcdn.com/latest/ClosetIcon/BagShoulderPattern0.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderPattern0.png,Pop,No,2000.0,500.0,23.0,Pink,Green,1x1,NA,Kicks,,All Year,Simple,everyday; comfy,1.0,No,For sale,1.0.0,1.0.0,BagShoulderPattern0,974.0,7486.0,mQZCwxcr6z3hq5Dgm
gumdrop shoulder bag,https://acnhcdn.com/latest/ClosetIcon/BagShoulderPattern1.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderPattern1.png,Cool,No,2000.0,500.0,23.0,Purple,Light blue,1x1,NA,Kicks,,All Year,Simple,everyday; comfy,2.0,No,For sale,1.0.0,1.0.0,BagShoulderPattern1,974.0,12012.0,JxHQbqWH73Q3GYKT8
hand-knit pouch,https://acnhcdn.com/latest/ClosetIcon/BagShoulderRace0.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderRace0.png,Green,No,1250.0,312.0,23.0,Green,Green,1x1,NA,Kicks,,All Year,Elegant,vacation,1.0,No,For sale,1.0.0,1.0.0,BagShoulderRace0,970.0,7482.0,taTKqY3xif2LhShrf
hand-knit pouch,https://acnhcdn.com/latest/ClosetIcon/BagShoulderRace1.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderRace1.png,Purple,No,1250.0,312.0,23.0,Purple,Purple,1x1,NA,Kicks,,All Year,Elegant,vacation,2.0,No,For sale,1.0.0,1.0.0,BagShoulderRace1,970.0,12004.0,GLLrMeJCPd8Xn7fdr
hard-shell backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackHardshell2.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackHardshell2.png,Silver,No,1680.0,420.0,23.0,Gray,Black,1x1,NA,Kicks,,All Year,Cool,outdoorsy; work,1.0,No,For sale,1.0.0,1.0.0,BagBackpackHardshell2,1001.0,11946.0,yxnDx8JQqzZDM66oR
hard-shell backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackHardshell1.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackHardshell1.png,Red,No,1680.0,420.0,23.0,Red,Black,1x1,NA,Kicks,,All Year,Cool,outdoorsy; work,2.0,No,For sale,1.0.0,1.0.0,BagBackpackHardshell1,1001.0,10184.0,qdP3rmZ7P7HgA2cin
hard-shell backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackHardshell0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackHardshell0.png,Blue,No,1680.0,420.0,23.0,Blue,Black,1x1,NA,Kicks,,All Year,Cool,outdoorsy; work,3.0,No,For sale,1.0.0,1.0.0,BagBackpackHardshell0,1001.0,7512.0,LETQjE3yFDKze4ntv
knapsack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackKnapsack1.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackKnapsack1.png,Black,No,630.0,157.0,23.0,Black,Black,1x1,NA,Kicks,,All Year,Active,everyday; outdoorsy; sporty,1.0,No,For sale,1.0.0,1.0.0,BagBackpackKnapsack1,997.0,12019.0,Fx4M2zpFTWGww54rw
knapsack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackKnapsack0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackKnapsack0.png,Blue,No,630.0,157.0,23.0,Blue,Black,1x1,NA,Kicks,,All Year,Active,everyday; outdoorsy; sporty,2.0,No,For sale,1.0.0,1.0.0,BagBackpackKnapsack0,997.0,7508.0,XbKqQChpAJXng37Mr
knitted-grass backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackGrass0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackGrass0.png,NA,Yes,NFS,400.0,103.0,Green,Brown,1x1,NA,Crafting,,All Year,Elegant,outdoorsy; comfy; vacation,1.0,No,Not for sale,1.0.0,1.0.0,BagBackpackGrass0,1000.0,7511.0,xM5iaYn4gbZoR94Qm
log pack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackWood0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackWood0.png,NA,Yes,NFS,960.0,103.0,Brown,Beige,1x1,NA,Crafting,,All Year,Simple,fairy tale; outdoorsy,1.0,No,Not for sale,1.0.0,1.0.0,BagBackpackWood0,987.0,7498.0,rDDM48hSfsSbcp92u
maple-leaf pochette,https://acnhcdn.com/latest/ClosetIcon/BagShoulderMaple0.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderMaple0.png,NA,Yes,NFS,2400.0,201.0,Orange,Orange,1x1,NA,Crafting,,All Year,Simple,fairy tale,1.0,No,Not for sale,1.0.0,1.0.0,BagShoulderMaple0,979.0,7491.0,HJDH4dCPMQY9qQanL
messenger bag,https://acnhcdn.com/latest/ClosetIcon/BagShoulderMessenger2.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderMessenger2.png,Black,No,840.0,210.0,23.0,Black,Black,1x1,NA,Kicks,,All Year,Simple,everyday; outdoorsy; sporty,1.0,No,For sale,1.0.0,1.0.0,BagShoulderMessenger2,962.0,11979.0,ZuwiM4DzJF5Rsg46x
messenger bag,https://acnhcdn.com/latest/ClosetIcon/BagShoulderMessenger1.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderMessenger1.png,Orange,No,840.0,210.0,23.0,Orange,Black,1x1,NA,Kicks,,All Year,Simple,everyday; outdoorsy; sporty,2.0,No,For sale,1.0.0,1.0.0,BagShoulderMessenger1,962.0,11978.0,sgxnCe87EdtdoKved
messenger bag,https://acnhcdn.com/latest/ClosetIcon/BagShoulderMessenger0.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderMessenger0.png,Green,No,840.0,210.0,23.0,Green,Black,1x1,NA,Kicks,,All Year,Simple,everyday; outdoorsy; sporty,3.0,No,For sale,1.0.0,1.0.0,BagShoulderMessenger0,962.0,7470.0,7mPZ9PnTd46r65DXx
mini pleather bag,https://acnhcdn.com/latest/ClosetIcon/BagBackpackSmall0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackSmall0.png,White,No,1600.0,400.0,23.0,White,White,1x1,NA,Kicks,,All Year,Elegant,everyday; formal; party,1.0,No,For sale,1.0.0,1.0.0,BagBackpackSmall0,993.0,7504.0,FyrYDDhzABDegtZ6n
mini pleather bag,https://acnhcdn.com/latest/ClosetIcon/BagBackpackSmall1.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackSmall1.png,Black,No,1600.0,400.0,23.0,Black,Black,1x1,NA,Kicks,,All Year,Elegant,everyday; formal; party,2.0,No,For sale,1.0.0,1.0.0,BagBackpackSmall1,993.0,12015.0,hYJk97FFi4zJGQ5cH
Mom's knapsack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackQuilt6.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackQuilt6.png,Forest print,No,NFS,175.0,365.0,White,Beige,1x1,NA,Mom,Received in May in the Northern Hemisphere and received in November in the Southern Hemisphere,All Year,Cute,comfy,1.0,No,Not for sale,1.0.0,1.0.0,BagBackpackQuilt6,999.0,12153.0,E3XrB5LbBTu795xbM
Mom's knapsack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackQuilt1.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackQuilt1.png,Flowers,No,NFS,175.0,365.0,Gray,Beige,1x1,NA,Mom,Received in May in the Northern Hemisphere and received in November in the Southern Hemisphere,All Year,Cute,comfy,2.0,No,Not for sale,1.0.0,1.0.0,BagBackpackQuilt1,999.0,12148.0,gqy4s4zFowLbNKTd2
Mom's knapsack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackQuilt2.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackQuilt2.png,Polka dots,No,NFS,175.0,365.0,Pink,Beige,1x1,NA,Mom,Received in May in the Northern Hemisphere and received in November in the Southern Hemisphere,All Year,Cute,comfy,3.0,No,Not for sale,1.0.0,1.0.0,BagBackpackQuilt2,999.0,12149.0,Hkju8Bjb8Kaamsu3j
Mom's knapsack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackQuilt7.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackQuilt7.png,Chick,No,NFS,175.0,365.0,Orange,Beige,1x1,NA,Mom,Received in May in the Northern Hemisphere and received in November in the Southern Hemisphere,All Year,Cute,comfy,4.0,No,Not for sale,1.0.0,1.0.0,BagBackpackQuilt7,999.0,12154.0,jCi92aiMtZB92idfQ
Mom's knapsack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackQuilt0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackQuilt0.png,M,No,NFS,175.0,365.0,Yellow,Beige,1x1,NA,Mom,Received in May in the Northern Hemisphere and received in November in the Southern Hemisphere,All Year,Cute,comfy,5.0,No,Not for sale,1.0.0,1.0.0,BagBackpackQuilt0,999.0,7510.0,szhWnj6jpymTsKce8
Mom's knapsack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackQuilt4.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackQuilt4.png,Cherries,No,NFS,175.0,365.0,Light blue,Beige,1x1,NA,Mom,Received in May in the Northern Hemisphere and received in November in the Southern Hemisphere,All Year,Cute,comfy,6.0,No,Not for sale,1.0.0,1.0.0,BagBackpackQuilt4,999.0,12151.0,46PX3NMjAdrNiRQXb
Mom's knapsack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackQuilt5.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackQuilt5.png,Denim with stripes,No,NFS,175.0,365.0,Blue,Beige,1x1,NA,Mom,Received in May in the Northern Hemisphere and received in November in the Southern Hemisphere,All Year,Cute,comfy,7.0,No,Not for sale,1.0.0,1.0.0,BagBackpackQuilt5,999.0,12152.0,hj8ixCKXNWBnGZSrw
Mom's knapsack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackQuilt3.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackQuilt3.png,Colorful quilt design,No,NFS,175.0,365.0,Colorful,Beige,1x1,NA,Mom,Received in May in the Northern Hemisphere and received in November in the Southern Hemisphere,All Year,Cute,comfy,8.0,No,Not for sale,1.0.0,1.0.0,BagBackpackQuilt3,999.0,12150.0,6uKkNZRz7E8gkSiBF
Nook Inc. knapsack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackNook0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackNook0.png,NA,No,NFS,4000.0,151.0,Brown,Yellow,1x1,800.0,Nook Miles Shop,,All Year,Gorgeous,everyday,1.0,No,Not for sale,1.0.0,1.0.0,BagBackpackNook0,1150.0,9761.0,zQh6chGG66h4f5JbX
outdoor backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackOutdoor1.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackOutdoor1.png,Orange,No,1560.0,390.0,23.0,Orange,Black,1x1,NA,Kicks,,All Year,Active,outdoorsy; sporty,1.0,No,For sale,1.0.0,1.0.0,BagBackpackOutdoor1,990.0,11969.0,hiF7bqmoudyFJPcWG
outdoor backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackOutdoor0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackOutdoor0.png,Avocado,No,1560.0,390.0,23.0,Green,Black,1x1,NA,Kicks,,All Year,Active,outdoorsy; sporty,2.0,No,For sale,1.0.0,1.0.0,BagBackpackOutdoor0,990.0,7501.0,CAsQFPPeo3vBGpHSo
outdoor backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackOutdoor2.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackOutdoor2.png,Navy blue,No,1560.0,390.0,23.0,Blue,Black,1x1,NA,Kicks,,All Year,Active,outdoorsy; sporty,3.0,No,For sale,1.0.0,1.0.0,BagBackpackOutdoor2,990.0,11970.0,qd8DJb8mX5zhewgyn
pleather crossbody bag,https://acnhcdn.com/latest/ClosetIcon/BagBackpackBodybag1.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackBodybag1.png,Black,No,1120.0,280.0,23.0,Black,White,1x1,NA,Kicks,,All Year,Cool,everyday; work,1.0,No,For sale,1.0.0,1.0.0,BagBackpackBodybag1,972.0,12005.0,QDPYGrpFNNir49uBe
pleather crossbody bag,https://acnhcdn.com/latest/ClosetIcon/BagBackpackBodybag0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackBodybag0.png,Navy blue,No,1120.0,280.0,23.0,Blue,Brown,1x1,NA,Kicks,,All Year,Cool,everyday; work,2.0,No,For sale,1.0.0,1.0.0,BagBackpackBodybag0,972.0,7484.0,YQD8XMuvDbymAeKxt
pleather fringe bag,https://acnhcdn.com/latest/ClosetIcon/BagShoulderFringe1.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderFringe1.png,White,No,2400.0,600.0,23.0,White,White,1x1,NA,Kicks,,All Year,Elegant,everyday; formal; party,1.0,No,For sale,1.0.0,1.0.0,BagShoulderFringe1,969.0,12010.0,fiM98m9CGgi6iATkQ
pleather fringe bag,https://acnhcdn.com/latest/ClosetIcon/BagShoulderFringe0.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderFringe0.png,Camel,No,2400.0,600.0,23.0,Brown,Brown,1x1,NA,Kicks,,All Year,Elegant,everyday; formal; party,2.0,No,For sale,1.0.0,1.0.0,BagShoulderFringe0,969.0,7481.0,7RYHreaA7o9huubNu
pleather shoulder bag,https://acnhcdn.com/latest/ClosetIcon/BagShoulderLeather1.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderLeather1.png,Navy blue,No,2400.0,600.0,23.0,Blue,Blue,1x1,NA,Kicks,,All Year,Elegant,everyday; formal,1.0,No,For sale,1.0.0,1.0.0,BagShoulderLeather1,964.0,12009.0,ZKgcPhGYErHShMrGR
pleather shoulder bag,https://acnhcdn.com/latest/ClosetIcon/BagShoulderLeather0.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderLeather0.png,Brown,No,2400.0,600.0,23.0,Brown,Brown,1x1,NA,Kicks,,All Year,Elegant,everyday; formal,2.0,No,For sale,1.0.0,1.0.0,BagShoulderLeather0,964.0,7476.0,9AqRYq83NRMxrEWiD
retro sports bag,https://acnhcdn.com/latest/ClosetIcon/BagShoulderSports1.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderSports1.png,Red,No,1400.0,350.0,23.0,White,Red,1x1,NA,Kicks,,All Year,Active,outdoorsy; sporty,1.0,No,For sale,1.0.0,1.0.0,BagShoulderSports1,984.0,12007.0,Lqtjq3rWFoy4Dv39C
