Name,Image,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Source,Source Notes,Catalog,Version Added,Version Unlocked,Filename,Internal ID,Unique Entry ID
Angus's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlBul00.png,1000.0,250.0,251.0,Red,Orange,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlBul00,10807.0,wGwxFH8nwYXuDj8Mv
Anicotti's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlMus10.png,1000.0,250.0,251.0,Green,Brown,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlMus10,10413.0,YFQoYdCCWf74rHXxX
Ankha's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlCat19.png,1000.0,250.0,251.0,Yellow,Brown,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlCat19,10416.0,YNxQgR8caq9EAvm8b
Annalisa's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlAnt08.png,1000.0,250.0,251.0,Beige,Pink,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlAnt08,10824.0,QLhdJiM4EPJBdZvZD
Annalise's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlHrs09.png,1000.0,250.0,251.0,Brown,Purple,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlHrs09,10573.0,KeP7vMfGPMihtEeRN
Antonio's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlAnt01.png,1000.0,250.0,251.0,Blue,Yellow,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlAnt01,10795.0,TeuSXPWPNyvqpWyF7
Apollo's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlPbr00.png,1000.0,250.0,251.0,Black,White,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlPbr00,10512.0,SiD2CXoom2ufiKaHY
Apple's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlHam01.png,1000.0,250.0,251.0,Red,Yellow,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlHam01,10565.0,fqWJTtNBSXH4JTa4W
Astrid's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlKgr05.png,1000.0,250.0,251.0,White,Black,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlKgr05,10493.0,ha3PS72Re4aZznfPB
Audie's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlWol12.png,1000.0,250.0,251.0,Red,Yellow,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlWol12,10859.0,ji4EcitFLpu8pxguu
Aurora's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlPgn00.png,1000.0,250.0,251.0,Black,Red,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlPgn00,10563.0,iPnQ3k2KAts6ZohZu
Ava's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlChn05.png,1000.0,250.0,251.0,Beige,Pink,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlChn05,10467.0,XuCCq3DgwaAREjgnY
Avery's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlPbr05.png,1000.0,250.0,251.0,Gray,Black,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlPbr05,10370.0,5aP6GoQ2YiTHaN523
Axel's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlElp06.png,1000.0,250.0,251.0,Blue,Red,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlElp06,10319.0,5BGYmdDam5ddHkktX
Baabara's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlShp01.png,1000.0,250.0,251.0,Brown,Light blue,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlShp01,10508.0,hmmcqfFiWWoWNQfre
Bam's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlDer01.png,1000.0,250.0,251.0,Blue,Green,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlDer01,10456.0,N5FWLxwNYM2Qb4CsD
Bangle's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlTig03.png,1000.0,250.0,251.0,Brown,Green,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlTig03,10672.0,waGuCcp47Jd8riQgL
Barold's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlCbr16.png,1000.0,250.0,251.0,Gray,Black,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlCbr16,10583.0,F9dscB8bM2NRt4DHz
Bea's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlDog10.png,1000.0,250.0,251.0,Light blue,Brown,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlDog10,10632.0,QANup429jzLZ9RtGw
Beardo's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlBea13.png,1000.0,250.0,251.0,Light blue,Brown,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlBea13,10788.0,oDTLWzHGazre6rf2d
Beau's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlDer07.png,1000.0,250.0,251.0,Light blue,Brown,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlDer07,10396.0,akpHWn6ftgCh2DkQn
Becky's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlChn09.png,1000.0,250.0,251.0,Purple,Red,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlChn09,10580.0,FKSnKjqAcon3Xnsbh
Bella's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlMus02.png,1000.0,250.0,251.0,Purple,White,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlMus02,10681.0,2ZzkQFMSyPpDWBFwN
Benedict's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlChn01.png,1000.0,250.0,251.0,Red,Green,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlChn01,10400.0,LW8FbZ42R53sf8Gmr
Benjamin's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlDog16.png,1000.0,250.0,251.0,Yellow,Green,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlDog16,10695.0,4gXWSoNbnL5ejGPbe
Bertha's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlHip03.png,1000.0,250.0,251.0,Pink,Green,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlHip03,10322.0,NLbdnzL9z9rAsyDLi
Bettina's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlMus15.png,1000.0,250.0,251.0,Orange,Blue,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlMus15,10403.0,SCYyGPKpf7aK3PXD7
Bianca's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlTig06.png,1000.0,250.0,251.0,Light blue,Blue,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlTig06,10393.0,odXRHQpFx3rB3QGTQ
Biff's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlHip04.png,1000.0,250.0,251.0,Red,Black,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlHip04,10682.0,qhFwx4ArLikXPrHa8
Big Top's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlElp02.png,1000.0,250.0,251.0,Green,Yellow,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlElp02,10426.0,mkPhKXgL5CiHPjWRt
Bill's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlDuk00.png,1000.0,250.0,251.0,Brown,Yellow,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlDuk00,10653.0,sYPGCn8NjP6R9byDv
Billy's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlGoa02.png,1000.0,250.0,251.0,Brown,Green,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlGoa02,10620.0,NGA6CZqcPu5H3NXbn
Biskit's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlDog03.png,1000.0,250.0,251.0,Orange,Purple,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlDog03,10496.0,RsGh3NwxT4szECdgL
Bitty's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlHip05.png,1000.0,250.0,251.0,Pink,Red,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlHip05,10622.0,cAuB9k5uSv46zLv9t
Blaire's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlSqu01.png,1000.0,250.0,251.0,Black,Brown,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlSqu01,10369.0,dZZxMyzvStPjj2snD
Blanca's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcSpMka.png,1000.0,250.0,251.0,White,Light blue,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting to Photopia with an amiibo ",For sale,1.0.0,1.0.0,PosterNpcSpMka,10343.0,HGSmXooFFtwAMcxHX
Blanche's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlOst08.png,1000.0,250.0,251.0,White,Pink,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlOst08,10478.0,R6Rw4ctwjDY9e28et
Blathers's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcSpOwl.png,1000.0,250.0,251.0,Brown,Beige,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcSpOwl,10324.0,gaPCze5wML6Qug2jZ
Bluebear's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlCbr00.png,1000.0,250.0,251.0,Light blue,Purple,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlCbr00,10652.0,3xyh2F9XMHniXeMPj
Bob's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlCat00.png,1000.0,250.0,251.0,Purple,Light blue,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlCat00,10797.0,z2W6hsJ38PNXr5JBS
Bonbon's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlRbt17.png,1000.0,250.0,251.0,Brown,Red,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlRbt17,10666.0,9bjNfEmfXHogQLLy9
Bones's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlDog04.png,1000.0,250.0,251.0,Beige,Pink,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlDog04,10548.0,gCMMRqr89tRzSDsfi
Booker's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcSpDgb.png,1000.0,250.0,251.0,Orange,Blue,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting to Photopia with an amiibo ",For sale,1.0.0,1.0.0,PosterNpcSpDgb,10336.0,iLRZ2sLsR5JpnstFW
Boomer's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlPgn10.png,1000.0,250.0,251.0,Black,Blue,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlPgn10,10506.0,AaTWfB3HwMLdb66oj
Boone's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlGor02.png,1000.0,250.0,251.0,Brown,White,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlGor02,10534.0,x73G2vr9yLgmGFkAz
Boots's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlCrd02.png,1000.0,250.0,251.0,Green,Blue,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlCrd02,10634.0,sx9Msn3pFgbL797cq
Boris's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlPig09.png,1000.0,250.0,251.0,Blue,Red,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlPig09,10613.0,jWhj4NpRxCTr6448J
Boyd's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlGor05.png,1000.0,250.0,251.0,Red,Blue,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlGor05,10621.0,ZLgQCoaTBm2ampuyF
Bree's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlMus03.png,1000.0,250.0,251.0,Green,Pink,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlMus03,10486.0,hwiRhRj9ns5DYLxh4
Brewster's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcSpPge.png,1000.0,250.0,251.0,Green,Black,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting to Photopia with an amiibo ",For sale,1.0.0,1.0.0,PosterNpcSpPge,10516.0,MvWLaRvLhvzFLL33M
Broccolo's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlMus12.png,1000.0,250.0,251.0,Light blue,Colorful,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlMus12,10378.0,jtgSXuiFeXrhqcndu
Broffina's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlChn12.png,1000.0,250.0,251.0,Orange,Black,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlChn12,10535.0,CPcRxGMpcoM7eJDED
Bruce's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlDer03.png,1000.0,250.0,251.0,Gray,Orange,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlDer03,10594.0,Avb77qhMp3B6QgAXm
Bubbles's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlHip02.png,1000.0,250.0,251.0,Orange,Purple,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlHip02,10447.0,pbKEfdRSQB6aLq8KK
Buck's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlHrs00.png,1000.0,250.0,251.0,Green,Brown,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlHrs00,10485.0,j2RuomkgYQHRXvyMr
Bud's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlLon00.png,1000.0,250.0,251.0,Brown,Light blue,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlLon00,10398.0,CLSFvYYxsYPxWZ46r
Bunnie's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlRbt00.png,1000.0,250.0,251.0,Red,Beige,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlRbt00,10316.0,SLfwmbskgPWmkKZyz
Butch's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlDog01.png,1000.0,250.0,251.0,Brown,Green,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlDog01,10385.0,MeC9zFBwnNcMr6aaA
Buzz's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlPbr03.png,1000.0,250.0,251.0,Brown,Light blue,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlPbr03,10648.0,ooxssY2sNRY35R7Tj
Cally's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlSqu11.png,1000.0,250.0,251.0,Beige,Red,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlSqu11,10600.0,9C75xv9doaZLWpnKt
Camofrog's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlFlg03.png,1000.0,250.0,251.0,Green,Brown,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlFlg03,10412.0,BB9Jwomm4GExvnoTE
Canberra's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlKal08.png,1000.0,250.0,251.0,Orange,Light blue,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlKal08,10451.0,E9tQeMSWQKoNgSxvo
Candi's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlMus08.png,1000.0,250.0,251.0,Pink,Yellow,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlMus08,10637.0,YgLmQYuHf259anCYZ
Carmen's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlRbt16.png,1000.0,250.0,251.0,Brown,Green,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlRbt16,10374.0,RFRW8GSsCgM66CgLP
Caroline's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlSqu06.png,1000.0,250.0,251.0,Red,Blue,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlSqu06,10507.0,wkEbaPiiNzejEB4zE
Carrie's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlKgr02.png,1000.0,250.0,251.0,Orange,Red,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlKgr02,10615.0,zgkHz6cjBecbyqG3F
Cashmere's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlShp04.png,1000.0,250.0,251.0,White,Purple,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",For sale,1.0.0,1.0.0,PosterNpcNmlShp04,10640.0,8GcwQ4DCdGddLw7mr
