Name,Image,DIY,Buy,Sell,Color 1,Color 2,Size,Size Category,Miles Price,Source,Source Notes,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,Tag,Catalog,Version Added,Version Unlocked,Filename,Internal ID,Unique Entry ID
blue stripes rug,https://acnhcdn.com/latest/FtrIcon/RugRectBorderL02.png,No,2000.0,500.0,Blue,White,4x3 ,Large,NA,Saharah,,253.0,fancy,child's room,None,Slender Pattern Rugs,For sale,1.0.0,1.0.0,RugRectBorderL02,7533.0,dAHzKeTqwA9wD2yfa
blue vinyl sheet,https://acnhcdn.com/latest/FtrIcon/RugRectVinylM01.png,No,1500.0,375.0,Blue,Colorful,3x2 ,Medium,NA,Saharah,,253.0,garden,None,None,Slender Pattern Rugs,For sale,1.0.0,1.0.0,RugRectVinylM01,7404.0,b8xZjiyqLPWJsgt73
blue wavy rug,https://acnhcdn.com/latest/FtrIcon/RugRectWaveL02.png,No,2000.0,500.0,Blue,Light blue,4x3 ,Large,NA,Saharah,,253.0,living room,child's room,None,Slender Pattern Rugs,For sale,1.0.0,1.0.0,RugRectWaveL02,7458.0,SbRQxAyR7EZSRBb4j
blue wedding rug,https://acnhcdn.com/latest/FtrIcon/RugRectJuneBrideM00.png,No,NFS,375.0,None,None,3x2,Medium,NA,Cyrus,Only available during Wedding Season,437.0,party,expensive,wedding,Slender Pattern Rugs,Not for sale,1.2.0,1.2.1c,RugRectJuneBrideM00,12462.0,ghEfAZG8Lt5sb8nt3
blue-design kitchen mat,https://acnhcdn.com/latest/FtrIcon/RugRectNativeKitchenS01.png,No,1000.0,250.0,Blue,Black,2x1 ,Small,NA,Saharah,,253.0,kitchen,None,None,Kitchen Rugs,For sale,1.0.0,1.0.0,RugRectNativeKitchenS01,7595.0,DiEHu3wPobZXzhhp8
botanical rug,https://acnhcdn.com/latest/FtrIcon/RugRectBotanicalL00.png,No,2000.0,500.0,Green,Green,4x3 ,Large,NA,Saharah,,253.0,living room,None,None,Slender Pattern Rugs,For sale,1.0.0,1.0.0,RugRectBotanicalL00,7353.0,nEqsaya7wt6FsWwDC
brown argyle rug,https://acnhcdn.com/latest/FtrIcon/RugRectArgyleL03.png,No,2000.0,500.0,Brown,Yellow,4x3 ,Large,NA,Saharah,,253.0,living room,expensive,None,Slender Pattern Rugs,For sale,1.0.0,1.0.0,RugRectArgyleL03,8468.0,yrQTuyQr2m6axKkr2
brown kitchen mat,https://acnhcdn.com/latest/FtrIcon/RugRectKitchenS00.png,No,1000.0,250.0,Brown,Brown,2x1 ,Small,NA,Saharah,,253.0,kitchen,None,None,Kitchen Rugs,For sale,1.0.0,1.0.0,RugRectKitchenS00,7341.0,2ya9gAeftrSe4YSmE
brown shaggy rug,https://acnhcdn.com/latest/FtrIcon/RugSquareShaggyL01.png,No,2000.0,500.0,Brown,Brown,5x5 ,Large,NA,Saharah,,253.0,living room,None,None,Pattern Rugs,For sale,1.0.0,1.0.0,RugSquareShaggyL01,9563.0,cAFej6s3C7T3DYykj
brown wooden-deck rug,https://acnhcdn.com/latest/FtrIcon/RugRectDeckM00.png,No,1500.0,375.0,Brown,Brown,3x2 ,Medium,NA,Saharah,,253.0,outdoors,None,None,Wood Rugs,For sale,1.0.0,1.0.0,RugRectDeckM00,7323.0,MSPQjkRRMRGNRTeEt
Bunny Day rug,https://acnhcdn.com/latest/FtrIcon/RugOtherEasterM00.png,Yes,NFS,2400.0,None,None,3x3,Medium,NA,Crafting,,351.0,fancy,child's room,Bunny Day,Icon Rugs,Not for sale,1.1.0,1.1.0a,RugOtherEasterM00,7546.0,6tC8Zhswobdah6ftE
cherry rug,https://acnhcdn.com/latest/FtrIcon/RugOtherCherryM00.png,Yes,NFS,1200.0,Red,Red,3x3 ,Medium,NA,Crafting,,103.0,fancy,child's room,fruits,Fruit Rugs,Not for sale,1.0.0,1.0.0,RugOtherCherryM00,7328.0,R9Bxb8FQw7Fj2YuCa
colorful vinyl sheet,https://acnhcdn.com/latest/FtrIcon/RugRectVinylM00.png,No,1500.0,375.0,Colorful,Colorful,3x2 ,Medium,NA,Saharah,,253.0,garden,None,None,Slender Pattern Rugs,For sale,1.0.0,1.0.0,RugRectVinylM00,7359.0,FAAQgrJJM4svoYJb8
dark bamboo rug,https://acnhcdn.com/latest/FtrIcon/RugRectBambooM01.png,Yes,NFS,960.0,Brown,Brown,3x2 ,Medium,NA,Crafting,,103.0,zen-style,None,None,Wood Rugs,Not for sale,1.0.0,1.0.0,RugRectBambooM01,11114.0,yC3qR56GTSs3PZuJi
Earth rug,https://acnhcdn.com/latest/FtrIcon/RugRoundEarthM00.png,No,1500.0,375.0,Blue,White,3x3 ,Medium,NA,Saharah,,253.0,space,child's room,None,Icon Rugs,For sale,1.0.0,1.0.0,RugRoundEarthM00,7357.0,RPF9JQeXN8cD4afuE
fish rug,https://acnhcdn.com/latest/FtrIcon/RugOtherFishM00.png,No,NFS,375.0,Light blue,Light blue,3x3 ,Medium,NA,Fishing Tourney,,501.0,ocean,child's room,None,Icon Rugs,Not for sale,1.0.0,1.0.0,RugOtherFishM00,7361.0,iWb2Ca8YMDYnpyDrx
fluffy rug,https://acnhcdn.com/latest/FtrIcon/RugOtherCloudM00.png,No,1500.0,375.0,White,White,3x3 ,Medium,NA,Saharah,,253.0,fancy,child's room,None,Icon Rugs,For sale,1.0.0,1.0.0,RugOtherCloudM00,7329.0,DKPzh943uZYKHKsX7
fossil rug,https://acnhcdn.com/latest/FtrIcon/RugOtherFossilM00.png,No,1500.0,375.0,Purple,White,3x3 ,Medium,NA,Saharah,,253.0,fancy,child's room,None,Park Rugs,For sale,1.0.0,1.0.0,RugOtherFossilM00,7366.0,P2tKuDsb8sxfpKXh3
green checked rug,https://acnhcdn.com/latest/FtrIcon/RugSquareCheckQuiltL03.png,No,2000.0,500.0,Green,Purple,4x4 ,Large,NA,Saharah,,253.0,living room,child's room,None,Pattern Rugs,For sale,1.0.0,1.0.0,RugSquareCheckQuiltL03,7464.0,hAYpTXLShJh7p5gcB
green kilim-style carpet,https://acnhcdn.com/latest/FtrIcon/RugSquareKirimL02.png,No,2000.0,500.0,Green,Green,5x5 ,Large,NA,Saharah,,253.0,living room,None,None,Pattern Rugs,For sale,1.0.0,1.0.0,RugSquareKirimL02,9314.0,86w3TxnYsZLSzeX2q
green kitchen mat,https://acnhcdn.com/latest/FtrIcon/RugRectKitchenS03.png,No,1000.0,250.0,Green,Green,2x1 ,Small,NA,Saharah,,253.0,kitchen,None,None,Kitchen Rugs,For sale,1.0.0,1.0.0,RugRectKitchenS03,8393.0,QpRcMgKRTNvayFdy9
green shaggy rug,https://acnhcdn.com/latest/FtrIcon/RugSquareShaggyL00.png,No,2000.0,500.0,Green,Green,5x5 ,Large,NA,Saharah,,253.0,living room,None,None,Pattern Rugs,For sale,1.0.0,1.0.0,RugSquareShaggyL00,7354.0,hNWup2nSxzMMsGfyy
green stripes rug,https://acnhcdn.com/latest/FtrIcon/RugRectBorderL03.png,No,2000.0,500.0,Green,White,4x3 ,Large,NA,Saharah,,253.0,fancy,child's room,None,Slender Pattern Rugs,For sale,1.0.0,1.0.0,RugRectBorderL03,7534.0,DEEzqeCYXaxA8i63W
iron entrance mat,https://acnhcdn.com/latest/FtrIcon/RugRectIronmatS00.png,No,1000.0,250.0,Black,Black,2x1 ,Small,NA,Saharah,,253.0,shop,expensive,iron,Slender Rugs,For sale,1.0.0,1.0.0,RugRectIronmatS00,7337.0,KaHhjd5QbpmmmhkCg
ivory medium round mat,https://acnhcdn.com/latest/FtrIcon/RugRoundSimpleM00.png,No,1500.0,375.0,Beige,White,3x3 ,Medium,NA,Saharah,,253.0,living room,child's room,None,Shaggy Round Rugs,For sale,1.0.0,1.0.0,RugRoundSimpleM00,7325.0,ucw27wEffTFj9DK4v
ivory simple bath mat,https://acnhcdn.com/latest/FtrIcon/RugRectBathmatS00.png,No,1000.0,250.0,Beige,Beige,2x1 ,Small,NA,Saharah,,253.0,bathroom,None,None,Slender Rugs,For sale,1.0.0,1.0.0,RugRectBathmatS00,7333.0,iFx2DHj9qJsY8vzsT
ivory small round mat,https://acnhcdn.com/latest/FtrIcon/RugRoundSimpleS00.png,No,1000.0,250.0,Beige,White,2x2 ,Small,NA,Saharah,,253.0,living room,child's room,None,Shaggy Round Rugs,For sale,1.0.0,1.0.0,RugRoundSimpleS00,7334.0,8to7AD6FkrkZkaKX5
lacy rug,https://acnhcdn.com/latest/FtrIcon/RugRoundLaceM00.png,No,1500.0,375.0,Beige,White,3x3 ,Medium,NA,Saharah,,253.0,fancy,expensive,None,Shaggy Round Rugs,For sale,1.0.0,1.0.0,RugRoundLaceM00,7368.0,bzWc6Hh3tAnYcgh3f
ladybug rug,https://acnhcdn.com/latest/FtrIcon/RugRoundLadybirdM00.png,No,NFS,375.0,Red,Black,3x3 ,Medium,NA,Bug-Off,,501.0,fancy,child's room,None,Icon Rugs,Not for sale,1.0.0,1.0.0,RugRoundLadybirdM00,7360.0,T7T3r6GJqfhndy5xp
light bamboo rug,https://acnhcdn.com/latest/FtrIcon/RugRectBambooM00.png,Yes,NFS,2400.0,Beige,Brown,3x2 ,Medium,NA,Crafting,,201.0,zen-style,None,None,Wood Rugs,Not for sale,1.0.0,1.0.0,RugRectBambooM00,11113.0,c34AemWJDW8WvYGrm
magic-circle rug,https://acnhcdn.com/latest/FtrIcon/RugRoundMagicM00.png,No,1500.0,375.0,Purple,Purple,3x3 ,Medium,NA,Saharah,,253.0,horror,child's room,None,Shaggy Round Rugs,For sale,1.0.0,1.0.0,RugRoundMagicM00,7367.0,77PHyfuxLmPTgriT2
mermaid rug,https://acnhcdn.com/latest/FtrIcon/RugOtherMermaidM00.png,Yes,NFS,10360.0,Light blue,Pink,3x3,Medium,NA,Crafting,,451.0,ocean,fancy,mermaid,Icon Rugs,Not for sale,1.3.0,1.3.0,RugOtherMermaidM00,12563.0,WfJHsYQ4KETP2yDEs
modern wavy rug,https://acnhcdn.com/latest/FtrIcon/RugRectWaveL00.png,No,2000.0,500.0,Colorful,Colorful,4x3 ,Large,NA,Saharah,,253.0,living room,child's room,None,Slender Pattern Rugs,For sale,1.0.0,1.0.0,RugRectWaveL00,7350.0,tfdJqWZ2ETosBdHem
Mom's cool kitchen mat,https://acnhcdn.com/latest/FtrIcon/RugRectMomS00.png,No,NFS,88.0,Light blue,Light blue,2x1 ,Small,NA,Mom,Received in November in the Northern Hemisphere and received in May in the Southern Hemisphere,365.0,fancy,kitchen,motherly,Kitchen Rugs,Not for sale,1.0.0,1.0.0,RugRectMomS00,7402.0,QR6HWdrKgLeoFAkzR
Mom's lively kitchen mat,https://acnhcdn.com/latest/FtrIcon/RugRectMomS02.png,No,NFS,88.0,Yellow,Yellow,2x1 ,Small,NA,Mom,Received in November in the Northern Hemisphere and received in May in the Southern Hemisphere,365.0,fancy,kitchen,motherly,Kitchen Rugs,Not for sale,1.0.0,1.0.0,RugRectMomS02,9543.0,MvLXeraTpCoKRqmWA
Mom's playful kitchen mat,https://acnhcdn.com/latest/FtrIcon/RugRectMomS01.png,No,NFS,88.0,Pink,Pink,2x1 ,Small,NA,Mom,Received in November in the Northern Hemisphere and received in May in the Southern Hemisphere,365.0,fancy,kitchen,motherly,Kitchen Rugs,Not for sale,1.0.0,1.0.0,RugRectMomS01,9542.0,3F5HHssaHXMit7YMH
Mom's reliable kitchen mat,https://acnhcdn.com/latest/FtrIcon/RugRectMomS03.png,No,NFS,88.0,Purple,Purple,2x1 ,Small,NA,Mom,Received in November in the Northern Hemisphere and received in May in the Southern Hemisphere,365.0,fancy,kitchen,motherly,Kitchen Rugs,Not for sale,1.0.0,1.0.0,RugRectMomS03,9541.0,pe2KbbDbmkWPyd56c
monochromatic dotted rug,https://acnhcdn.com/latest/FtrIcon/RugRectDotL00.png,No,2000.0,500.0,Black,White,4x3 ,Large,NA,Saharah,,253.0,fancy,child's room,None,Slender Pattern Rugs,For sale,1.0.0,1.0.0,RugRectDotL00,7349.0,n7kdsLeGa9sFzPfYR
monochromatic wavy rug,https://acnhcdn.com/latest/FtrIcon/RugRectWaveL01.png,No,2000.0,500.0,Black,White,4x3 ,Large,NA,Saharah,,253.0,living room,child's room,None,Slender Pattern Rugs,For sale,1.0.0,1.0.0,RugRectWaveL01,7456.0,KEQx7PcEYYP5C8QGW
mush rug,https://acnhcdn.com/latest/FtrIcon/RugOtherMushM00.png,No,1500.0,375.0,Red,Red,3x3 ,Medium,NA,Saharah,,253.0,fancy,child's room,mush,Icon Rugs,For sale,1.0.0,1.0.0,RugOtherMushM00,7363.0,deKdNh2bu4udJ5zYx
natural wooden-deck rug,https://acnhcdn.com/latest/FtrIcon/RugRectDeckM01.png,No,1500.0,375.0,Brown,Brown,3x2 ,Medium,NA,Saharah,,253.0,outdoors,None,None,Wood Rugs,For sale,1.0.0,1.0.0,RugRectDeckM01,7380.0,4xyhHztk2b3GbRKu6
Nook Inc. botanical rug,https://acnhcdn.com/latest/FtrIcon/RugOtherTanukiM00.png,No,NFS,5000.0,None,None,3x3,Medium,1000.0,Nook Miles Shop,,151.0,fancy,living room,None,Park Rugs,Not for sale,1.1.0,1.1.0,RugOtherTanukiM00,12325.0,WiHenFMXuxj7q2rgq
Nook Inc. rug,https://acnhcdn.com/latest/FtrIcon/RugOtherLeafM00.png,No,NFS,5000.0,Green,Green,3x3 ,Medium,1000.0,Nook Miles Shop,,151.0,fancy,child's room,None,Park Rugs,Not for sale,1.0.0,1.0.0,RugOtherLeafM00,7364.0,HFmdcXn43ApSRKdk4
Nook Inc. silk rug,https://acnhcdn.com/latest/FtrIcon/RugRectTanukiL00.png,No,NFS,3000.0,None,None,4x3,Large,600.0,Nook Miles Shop,,0.0,facility,shop,None,Park Rugs,Not for sale,1.1.0,1.1.0,RugRectTanukiL00,12396.0,XQ72LLzAakWbavKFr
orange rug,https://acnhcdn.com/latest/FtrIcon/RugOtherOrangeM00.png,Yes,NFS,1200.0,Orange,Orange,3x3 ,Medium,NA,Crafting,,103.0,fancy,child's room,fruits,Fruit Rugs,Not for sale,1.0.0,1.0.0,RugOtherOrangeM00,7330.0,cXGa9CDpwXcCMzQw2
oval entrance mat,https://acnhcdn.com/latest/FtrIcon/RugOtherCountryS00.png,No,1000.0,250.0,Blue,Blue,2x1 ,Small,NA,Saharah,,253.0,living room,None,None,Slender Rugs,For sale,1.0.0,1.0.0,RugOtherCountryS00,7370.0,TJaw3inQooLN9DXGt
peach checked rug,https://acnhcdn.com/latest/FtrIcon/RugSquareCheckQuiltL02.png,No,2000.0,500.0,Pink,Light blue,4x4 ,Large,NA,Saharah,,253.0,living room,child's room,None,Pattern Rugs,For sale,1.0.0,1.0.0,RugSquareCheckQuiltL02,7463.0,QLtQLYyCeg7A28tzC
peach rug,https://acnhcdn.com/latest/FtrIcon/RugOtherPeachM00.png,Yes,NFS,1200.0,Pink,Pink,3x3 ,Medium,NA,Crafting,,103.0,fancy,child's room,fruits,Fruit Rugs,Not for sale,1.0.0,1.0.0,RugOtherPeachM00,7331.0,tqGgxHpeDfRCGRrjY
peach stripes rug,https://acnhcdn.com/latest/FtrIcon/RugRectBorderL01.png,No,2000.0,500.0,Pink,White,4x3 ,Large,NA,Saharah,,253.0,fancy,child's room,None,Slender Pattern Rugs,For sale,1.0.0,1.0.0,RugRectBorderL01,7532.0,LGhZCR8PgGQJYqST9
pear rug,https://acnhcdn.com/latest/FtrIcon/RugOtherPearM00.png,Yes,NFS,1200.0,Green,Green,3x3 ,Medium,NA,Crafting,,103.0,fancy,child's room,fruits,Fruit Rugs,Not for sale,1.0.0,1.0.0,RugOtherPearM00,7332.0,hLakk5wPNF2RHRCHR
pink heart rug,https://acnhcdn.com/latest/FtrIcon/RugOtherHeartM00.png,No,1500.0,375.0,Pink,Pink,3x3 ,Medium,NA,Saharah,,253.0,fancy,child's room,None,Heart Rugs,For sale,1.0.0,1.0.0,RugOtherHeartM00,7322.0,TY5kKqhPpxgifmRJF
pink rose rug,https://acnhcdn.com/latest/FtrIcon/RugOtherRoseM00.png,No,1500.0,375.0,Pink,Pink,3x3 ,Medium,NA,Saharah,,253.0,fancy,expensive,None,Rose Rug,For sale,1.0.0,1.0.0,RugOtherRoseM00,7365.0,adYBsXgG3etWwtsds
pirate rug,https://acnhcdn.com/latest/FtrIcon/RugRectPiratesM00.png,No,NFS,375.0,Blue,Brown,3x2,Medium,NA,Gullivarrr,,451.0,ocean,none,pirate,Slender Pattern Rugs,Not for sale,1.3.0,1.3.0,RugRectPiratesM00,12564.0,RPasRWt9A7bb4h4yv
purple heart rug,https://acnhcdn.com/latest/FtrIcon/RugOtherHeartM02.png,No,1500.0,375.0,Purple,Pink,3x3 ,Medium,NA,Saharah,,253.0,fancy,child's room,None,Heart Rugs,For sale,1.0.0,1.0.0,RugOtherHeartM02,7580.0,LzB8y9NY5cwZJETQy
purple Persian rug,https://acnhcdn.com/latest/FtrIcon/RugSquarePersianL03.png,No,2000.0,500.0,Purple,Beige,5x5 ,Large,NA,Saharah,,253.0,expensive,living room,None,Pattern Rugs,For sale,1.0.0,1.0.0,RugSquarePersianL03,8037.0,QzKyWFwcBF6DNoMQS
purple shaggy rug,https://acnhcdn.com/latest/FtrIcon/RugSquareShaggyL03.png,No,2000.0,500.0,Purple,Purple,5x5 ,Large,NA,Saharah,,253.0,living room,None,None,Pattern Rugs,For sale,1.0.0,1.0.0,RugSquareShaggyL03,9562.0,jYsKTqR44uCHSGbnE
red argyle rug,https://acnhcdn.com/latest/FtrIcon/RugRectArgyleL01.png,No,2000.0,500.0,Red,Red,4x3 ,Large,NA,Saharah,,253.0,living room,expensive,None,Slender Pattern Rugs,For sale,1.0.0,1.0.0,RugRectArgyleL01,8466.0,JcnvagFXFrtRojuX5
red blocks rug,https://acnhcdn.com/latest/FtrIcon/RugSquareBlockM00.png,No,1500.0,375.0,Red,Red,3x3 ,Medium,NA,Saharah,,253.0,living room,None,None,Pattern Rugs,For sale,1.0.0,1.0.0,RugSquareBlockM00,11101.0,PWaKA8fJZfRLdgBjP
red carpet,https://acnhcdn.com/latest/FtrIcon/RugRectElegantM00.png,No,1500.0,375.0,Red,Red,3x2 ,Medium,NA,Saharah,,253.0,expensive,None,None,Slender Rugs,For sale,1.0.0,1.0.0,RugRectElegantM00,7348.0,DrZgYBvviB7CGP3nx
red dotted rug,https://acnhcdn.com/latest/FtrIcon/RugRectDotL02.png,No,2000.0,500.0,Red,Red,4x3 ,Large,NA,Saharah,,253.0,fancy,child's room,None,Slender Pattern Rugs,For sale,1.0.0,1.0.0,RugRectDotL02,7465.0,6KoyAtx4QA2BuXKea
red kilim-style carpet,https://acnhcdn.com/latest/FtrIcon/RugSquareKirimL00.png,No,2000.0,500.0,Red,Red,5x5 ,Large,NA,Saharah,,253.0,living room,None,None,Pattern Rugs,For sale,1.0.0,1.0.0,RugSquareKirimL00,9313.0,dhvJNNbRm9qDxXrpJ
red medium round mat,https://acnhcdn.com/latest/FtrIcon/RugRoundSimpleM01.png,No,1500.0,375.0,Red,Red,3x3 ,Medium,NA,Saharah,,253.0,living room,child's room,None,Shaggy Round Rugs,For sale,1.0.0,1.0.0,RugRoundSimpleM01,9545.0,Ev2FGNQPGqW8Nn7fk
red message mat,https://acnhcdn.com/latest/FtrIcon/RugOtherMessageS03.png,No,1000.0,250.0,Red,Red,2x1 ,Small,NA,Saharah,,253.0,child's room,None,None,Message Mats,For sale,1.0.0,1.0.0,RugOtherMessageS03,9312.0,uYJPL9oP3tgpZHNhL
red Persian rug,https://acnhcdn.com/latest/FtrIcon/RugSquarePersianL00.png,No,2000.0,500.0,Red,Beige,5x5 ,Large,NA,Saharah,,253.0,expensive,living room,None,Pattern Rugs,For sale,1.0.0,1.0.0,RugSquarePersianL00,7347.0,ToTG8debi3YH93yqJ
red rose rug,https://acnhcdn.com/latest/FtrIcon/RugOtherRoseM01.png,No,1500.0,375.0,Red,Red,3x3 ,Medium,NA,Saharah,,253.0,fancy,expensive,flowers,Rose Rug,For sale,1.0.0,1.0.0,RugOtherRoseM01,8758.0,cXt7bSZGo8G4MWZ3x
red small round mat,https://acnhcdn.com/latest/FtrIcon/RugRoundSimpleS01.png,No,1000.0,250.0,Red,Red,2x2 ,Small,NA,Saharah,,253.0,living room,child's room,None,Shaggy Round Rugs,For sale,1.0.0,1.0.0,RugRoundSimpleS01,9548.0,z6C8NBYbSkshNZG7J
red vinyl sheet,https://acnhcdn.com/latest/FtrIcon/RugRectVinylM02.png,No,1500.0,375.0,Red,Colorful,3x2 ,Medium,NA,Saharah,,253.0,garden,None,None,Slender Pattern Rugs,For sale,1.0.0,1.0.0,RugRectVinylM02,7405.0,2tPPLjzq42Z8wjtNv
red wavy rug,https://acnhcdn.com/latest/FtrIcon/RugRectWaveL03.png,No,2000.0,500.0,Red,Yellow,4x3 ,Large,NA,Saharah,,253.0,living room,child's room,None,Slender Pattern Rugs,For sale,1.0.0,1.0.0,RugRectWaveL03,7457.0,pPTXqs45y6k23f62j
red wedding rug,https://acnhcdn.com/latest/FtrIcon/RugRectJuneBrideM02.png,No,NFS,375.0,None,None,3x2,Medium,NA,Cyrus,Only available during Wedding Season,437.0,party,expensive,wedding,Slender Pattern Rugs,Not for sale,1.2.0,1.2.1c,RugRectJuneBrideM02,12465.0,LmxrQZwL5HrEzsHqK
red-and-blue checked rug,https://acnhcdn.com/latest/FtrIcon/RugSquareCheckQuiltL00.png,No,2000.0,500.0,Red,Blue,4x4 ,Large,NA,Saharah,,253.0,living room,child's room,None,Pattern Rugs,For sale,1.0.0,1.0.0,RugSquareCheckQuiltL00,7343.0,zrouM9QCzYKg3kBcc
red-design kitchen mat,https://acnhcdn.com/latest/FtrIcon/RugRectNativeKitchenS00.png,No,1000.0,250.0,Red,Black,2x1 ,Small,NA,Saharah,,253.0,kitchen,None,None,Kitchen Rugs,For sale,1.0.0,1.0.0,RugRectNativeKitchenS00,7340.0,7KtKd8P5tbGSfG2qZ
retro dotted rug,https://acnhcdn.com/latest/FtrIcon/RugRectDotL01.png,No,2000.0,500.0,Green,Green,4x3 ,Large,NA,Saharah,,253.0,fancy,child's room,None,Slender Pattern Rugs,For sale,1.0.0,1.0.0,RugRectDotL01,7466.0,29Pm3PcqEJ3nP36sh
rough rug,https://acnhcdn.com/latest/FtrIcon/RugRectDoormatS00.png,No,1000.0,250.0,Brown,Brown,2x1 ,Small,NA,Saharah,,253.0,school,facility,None,Slender Rugs,For sale,1.0.0,1.0.0,RugRectDoormatS00,7324.0,oEg77tXhJ6GReb7gp
