Name,Image,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Kit Cost,Buy,Sell,Color 1,Color 2,Size,Surface,Source,Source Notes,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,HHA Category,Interact,Tag,Outdoor,Speaker Type,Lighting Type,Catalog,Version Added,Version Unlocked,Filename,Variant ID,Internal ID,Unique Entry ID
anthurium plant,https://acnhcdn.com/latest/FtrIcon/FtrPlantAnthurium_Remake_4_0.png,Black,NA,NA,NA,No,No,No,NA,990.0,247.0,White,Green,1x1,No,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,103.0,living room,None,None,None,Plant,No,Plants,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrPlantAnthurium_Remake_4_0,4_0,3949.0,X5WqEpcbqAunjxS4f
arapaima model,https://acnhcdn.com/latest/FtrIcon/FtrFishPirarukuToy.png,NA,NA,NA,NA,No,No,No,NA,NFS,30000.0,Black,Black,2x1,No,C.J.,Trade 3 fish to receive a model in the mail the next day,251.0,None,None,None,None,None,No,Fish,No,Does not play music,No lighting,Not for sale,1.0.0,1.0.0,FtrFishPirarukuToy,NA,7006.0,mYrf2qXTygc8GphQC
aroma pot,https://acnhcdn.com/latest/FtrIcon/FtrAlomapot_Remake_0_0.png,White,Variation,NA,NA,Yes,Yes,No,1.0,NFS,600.0,White,Light blue,1x1,No,Crafting,,103.0,living room,None,None,None,SmallGoods,Yes,Beauty,No,Does not play music,No lighting,Not for sale,1.0.0,1.0.0,FtrAlomapot_Remake_0_0,0_0,1753.0,6AqmYqJXkqoYTfJej
aroma pot,https://acnhcdn.com/latest/FtrIcon/FtrAlomapot_Remake_1_0.png,Brown,Variation,NA,NA,Yes,Yes,No,1.0,NFS,600.0,Brown,Orange,1x1,No,Crafting,,103.0,living room,None,None,None,SmallGoods,Yes,Beauty,No,Does not play music,No lighting,Not for sale,1.0.0,1.0.0,FtrAlomapot_Remake_1_0,1_0,1753.0,kv6phyzaTZRerstP4
aroma pot,https://acnhcdn.com/latest/FtrIcon/FtrAlomapot_Remake_2_0.png,Green,Variation,NA,NA,Yes,Yes,No,1.0,NFS,600.0,Green,Green,1x1,No,Crafting,,103.0,living room,None,None,None,SmallGoods,Yes,Beauty,No,Does not play music,No lighting,Not for sale,1.0.0,1.0.0,FtrAlomapot_Remake_2_0,2_0,1753.0,QQLoouuttf58T3ufJ
aroma pot,https://acnhcdn.com/latest/FtrIcon/FtrAlomapot_Remake_3_0.png,Pink,Variation,NA,NA,Yes,Yes,No,1.0,NFS,600.0,Pink,Pink,1x1,No,Crafting,,103.0,living room,None,None,None,SmallGoods,Yes,Beauty,No,Does not play music,No lighting,Not for sale,1.0.0,1.0.0,FtrAlomapot_Remake_3_0,3_0,1753.0,tLn4NcyuPmuHXgKn8
aroma pot,https://acnhcdn.com/latest/FtrIcon/FtrAlomapot_Remake_4_0.png,Cream,Variation,NA,NA,Yes,Yes,No,1.0,NFS,600.0,Beige,Green,1x1,No,Crafting,,103.0,living room,None,None,None,SmallGoods,Yes,Beauty,No,Does not play music,No lighting,Not for sale,1.0.0,1.0.0,FtrAlomapot_Remake_4_0,4_0,1753.0,5RFavNA2iBfAcQCK4
aroma pot,https://acnhcdn.com/latest/FtrIcon/FtrAlomapot_Remake_5_0.png,Black,Variation,NA,NA,Yes,Yes,No,1.0,NFS,600.0,Black,Blue,1x1,No,Crafting,,103.0,living room,None,None,None,SmallGoods,Yes,Beauty,No,Does not play music,No lighting,Not for sale,1.0.0,1.0.0,FtrAlomapot_Remake_5_0,5_0,1753.0,YZgdtQSYDiw8TTXzJ
arowana model,https://acnhcdn.com/latest/FtrIcon/FtrFishArowanaToy.png,NA,NA,NA,NA,No,No,No,NA,NFS,30000.0,Yellow,Black,1x1,No,C.J.,Trade 3 fish to receive a model in the mail the next day,251.0,None,None,None,None,None,No,Fish,No,Does not play music,No lighting,Not for sale,1.0.0,1.0.0,FtrFishArowanaToy,NA,6935.0,SeSQEP9r8f4ZH3ZgP
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_0_0.png,Cream,NA,None,Shirt,No,No,Yes,1.0,1800.0,450.0,Beige,White,1x1,No,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,103.0,fancy,child's room,None,bear,Doll,No,Animal,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrBearS_Remake_0_0,0_0,1501.0,g2XmJfB8pFYwRq9F6
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_0_1.png,Cream,NA,Heart,Shirt,No,No,Yes,1.0,1800.0,450.0,Beige,Red,1x1,No,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,103.0,fancy,child's room,None,bear,Doll,No,Animal,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrBearS_Remake_0_1,0_1,1501.0,SSKzzn4PKuGQwr2pL
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_0_2.png,Cream,NA,Fish,Shirt,No,No,Yes,1.0,1800.0,450.0,Beige,Blue,1x1,No,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,103.0,fancy,child's room,None,bear,Doll,No,Animal,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrBearS_Remake_0_2,0_2,1501.0,36HzWPnuJQGP8dQ3J
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_0_3.png,Cream,NA,Star,Shirt,No,No,Yes,1.0,1800.0,450.0,Beige,Yellow,1x1,No,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,103.0,fancy,child's room,None,bear,Doll,No,Animal,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrBearS_Remake_0_3,0_3,1501.0,ejuF7sTa4N64k8AD9
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_1_0.png,Caramel mocha,NA,None,Shirt,No,No,Yes,1.0,1800.0,450.0,Beige,Beige,1x1,No,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,103.0,fancy,child's room,None,bear,Doll,No,Animal,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrBearS_Remake_1_0,1_0,1501.0,pkRq4pGLsBgZJs6Zz
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_1_1.png,Caramel mocha,NA,Heart,Shirt,No,No,Yes,1.0,1800.0,450.0,Beige,Red,1x1,No,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,103.0,fancy,child's room,None,bear,Doll,No,Animal,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrBearS_Remake_1_1,1_1,1501.0,vXLCKkgzYCK7KQjgp
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_1_2.png,Caramel mocha,NA,Fish,Shirt,No,No,Yes,1.0,1800.0,450.0,Beige,Blue,1x1,No,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,103.0,fancy,child's room,None,bear,Doll,No,Animal,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrBearS_Remake_1_2,1_2,1501.0,GvyMQSw6Y7dAssqLE
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_1_3.png,Caramel mocha,NA,Star,Shirt,No,No,Yes,1.0,1800.0,450.0,Beige,Yellow,1x1,No,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,103.0,fancy,child's room,None,bear,Doll,No,Animal,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrBearS_Remake_1_3,1_3,1501.0,B85z59MD8h7M9Ctrk
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_2_0.png,Choco,NA,None,Shirt,No,No,Yes,1.0,1800.0,450.0,Brown,Brown,1x1,No,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,103.0,fancy,child's room,None,bear,Doll,No,Animal,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrBearS_Remake_2_0,2_0,1501.0,2T9YQNT5fZytrqrwK
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_2_1.png,Choco,NA,Heart,Shirt,No,No,Yes,1.0,1800.0,450.0,Brown,Red,1x1,No,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,103.0,fancy,child's room,None,bear,Doll,No,Animal,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrBearS_Remake_2_1,2_1,1501.0,CD9XqwhPSre2zzNjX
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_2_2.png,Choco,NA,Fish,Shirt,No,No,Yes,1.0,1800.0,450.0,Brown,Blue,1x1,No,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,103.0,fancy,child's room,None,bear,Doll,No,Animal,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrBearS_Remake_2_2,2_2,1501.0,ZKQ8SQtNRXhQ63ANr
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_2_3.png,Choco,NA,Star,Shirt,No,No,Yes,1.0,1800.0,450.0,Brown,Yellow,1x1,No,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,103.0,fancy,child's room,None,bear,Doll,No,Animal,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrBearS_Remake_2_3,2_3,1501.0,muwwSKJHXGAeCmPEb
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_3_0.png,Floral,NA,None,Shirt,No,No,Yes,1.0,1800.0,450.0,Blue,Pink,1x1,No,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,103.0,fancy,child's room,None,bear,Doll,No,Animal,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrBearS_Remake_3_0,3_0,1501.0,iC6uke9rdu6nFFZ9G
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_3_1.png,Floral,NA,Heart,Shirt,No,No,Yes,1.0,1800.0,450.0,Blue,Red,1x1,No,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,103.0,fancy,child's room,None,bear,Doll,No,Animal,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrBearS_Remake_3_1,3_1,1501.0,JgZfkc4k6nyjwjv9Q
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_3_2.png,Floral,NA,Fish,Shirt,No,No,Yes,1.0,1800.0,450.0,Blue,Blue,1x1,No,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,103.0,fancy,child's room,None,bear,Doll,No,Animal,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrBearS_Remake_3_2,3_2,1501.0,hycjnzbvHSdCXcCSJ
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_3_3.png,Floral,NA,Star,Shirt,No,No,Yes,1.0,1800.0,450.0,Blue,Yellow,1x1,No,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,103.0,fancy,child's room,None,bear,Doll,No,Animal,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrBearS_Remake_3_3,3_3,1501.0,mjwTqXDWN6TXNtLoR
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_4_0.png,Checkered,NA,None,Shirt,No,No,Yes,1.0,1800.0,450.0,Yellow,White,1x1,No,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,103.0,fancy,child's room,None,bear,Doll,No,Animal,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrBearS_Remake_4_0,4_0,1501.0,QJqqQh5tQR59LFLXP
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_4_1.png,Checkered,NA,Heart,Shirt,No,No,Yes,1.0,1800.0,450.0,Yellow,Red,1x1,No,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,103.0,fancy,child's room,None,bear,Doll,No,Animal,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrBearS_Remake_4_1,4_1,1501.0,qBvYFruEFNxRRm4qF
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_4_2.png,Checkered,NA,Fish,Shirt,No,No,Yes,1.0,1800.0,450.0,Yellow,Yellow,1x1,No,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,103.0,fancy,child's room,None,bear,Doll,No,Animal,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrBearS_Remake_4_2,4_2,1501.0,pfbzHggDW8rLZyySF
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_4_3.png,Checkered,NA,Star,Shirt,No,No,Yes,1.0,1800.0,450.0,Yellow,White,1x1,No,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,103.0,fancy,child's room,None,bear,Doll,No,Animal,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrBearS_Remake_4_3,4_3,1501.0,5uqwwqA6dMAhQFpmm
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_5_0.png,Tweed,NA,None,Shirt,No,No,Yes,1.0,1800.0,450.0,Colorful,Colorful,1x1,No,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,103.0,fancy,child's room,None,bear,Doll,No,Animal,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrBearS_Remake_5_0,5_0,1501.0,nPchvcMPNmZ7eDKJJ
