Name,Image,Buy,Sell,Description,HHA Base Points,Color 1,Color 2,Size,Source,Museum,Interact,Catalog,Filename,Internal ID,Unique Entry ID
deinony torso,https://acnhcdn.com/latest/FtrIcon/FtrFossilDeinonychusA.png,NFS,3000.0,"Ahem... Yes, you may not have heard of Deinonychus, but you may have heard of its cousin, the Velociraptor. Both were predators distinguished by their frighteningly huge toe claws. They also likely had feathers. The main difference between them? Size. Deinonychus was about seven feet tall and weighed 160 pounds. Little Velociraptor, on the other wing, was a compact two feet tall and weighed only about 33 pounds! I've heard that people meeting celebrities are often surprised at how short they are in person!",87.0,Brown,Brown,2x2,Assessing fossils,Room 2,No,Not for sale,FtrFossilDeinonychusA,210.0,NSe8AQvNigyZqmLzo
dimetrodon skull,https://acnhcdn.com/latest/FtrIcon/FtrFossilDimetrodonA.png,NFS,5500.0,"Ah, yes. Dimetrodon. Not actually a dinosaur, despite what some people may tell you. This REPTILE—Knot dinosaur is most famous for the large sail-like organ on its back. Said organ was likely useful in regulating its non-dinosaur—body temperature. Reptiles are known to be cold- blooded, but there is some debate as to whether dinosaurs were too. Dimetrodon assuredly was.",87.0,Brown,Brown,2x2,Assessing fossils,Room 2,No,Not for sale,FtrFossilDimetrodonA,184.0,sEuSt7ycajTAqSzKg
dimetrodon torso,https://acnhcdn.com/latest/FtrIcon/FtrFossilDimetrodonB.png,NFS,5000.0,"Ah, yes. dimetrodon. Not actually a dinosaur, despite what some people may tell you. This REPTILE—Knot dinosaur is most famous for the large sail-like organ on its back. Said organ was likely useful in regulating its non-dinosaur—body temperature. Reptiles are known to be cold- blooded, but there is some debate as to whether dinosaurs were too. Dimetrodon assuredly was.",87.0,Brown,Brown,2x2,Assessing fossils,Room 2,No,Not for sale,FtrFossilDimetrodonB,185.0,LcbJqY3JzLcQRoPGT
dinosaur track,https://acnhcdn.com/latest/FtrIcon/FtrFossilIchnology.png,NFS,1000.0,"Dinosaur tracks are fossilized footprints left on the bottom of the sea or on soft earth. From these fossils, we can deduce the creature's territory range as well as its relationship with its herd... It has even become possible to work out the creature's size, distinctive gait, and, shockingly, walking speed! These trace fossils are like social-media feeds, enabling us to follow the daily lives of the dinosaurs!",87.0,Beige,Brown,1x1,Assessing fossils,Room 2,No,Not for sale,FtrFossilIchnology,300.0,fJWu7dHhZuKxjRwTy
diplo chest,https://acnhcdn.com/latest/FtrIcon/FtrFossilDiplodocusC.png,NFS,4000.0,"Good old Diplodocus, what would we do without you? This stout fellow embodied all the best in dinosaurs. Those sturdy legs, that magnificent tail, and, above all, that extraordinary neck! Did you know that its center of gravity was such that sitting up on its hind legs was probably easy? What's more, paired with its long neck, this ability greatly increased its reach for eating plants! Best of all, Diplodocus probably grew its entire life, having no ""adult size"". Would that we were all so gifted!",87.0,Brown,Brown,2x2,Assessing fossils,Room 2,No,Not for sale,FtrFossilDiplodocusC,218.0,ZYuR9spddLgaZawiY
diplo neck,https://acnhcdn.com/latest/FtrIcon/FtrFossilDiplodocusB.png,NFS,4500.0,"Good old Diplodocus, what would we do without you? This stout fellow embodied all the best in dinosaurs. Those sturdy legs, that magnificent tail, and, above all, that extraordinary neck! Did you know that its center of gravity was such that sitting up on its hind legs was probably easy? What's more, paired with its long neck, this ability greatly increased its reach for eating plants! Best of all, Diplodocus probably grew its entire life, having no ""adult size"". Would that we were all so gifted!",87.0,Brown,Brown,2x2,Assessing fossils,Room 2,No,Not for sale,FtrFossilDiplodocusB,217.0,odxoEbLSduTmarKkm
diplo pelvis,https://acnhcdn.com/latest/FtrIcon/FtrFossilDiplodocusD.png,NFS,4500.0,"Good old Diplodocus, what would we do without you? This stout fellow embodied all the best in dinosaurs. Those sturdy legs, that magnificent tail, and, above all, that extraordinary neck! Did you know that its center of gravity was such that sitting up on its hind legs was probably easy? What's more, paired with its long neck, this ability greatly increased its reach for eating plants! Best of all, Diplodocus probably grew its entire life, having no ""adult size"". Would that we were all so gifted!",87.0,Brown,Brown,2x2,Assessing fossils,Room 2,No,Not for sale,FtrFossilDiplodocusD,219.0,kLYuD5QgNqfKJPfj7
diplo skull,https://acnhcdn.com/latest/FtrIcon/FtrFossilDiplodocusA.png,NFS,5000.0,"Good old Diplodocus, what would we do without you? This stout fellow embodied all the best in dinosaurs. Those sturdy legs, that magnificent tail, and, above all, that extraordinary neck! Did you know that its center of gravity was such that sitting up on its hind legs was probably easy? What's more, paired with its long neck, this ability greatly increased its reach for eating plants! Best of all, Diplodocus probably grew its entire life, having no ""adult size"". Would that we were all so gifted!",87.0,Brown,Brown,2x2,Assessing fossils,Room 2,No,Not for sale,FtrFossilDiplodocusA,216.0,n6cAybPhTSykws3Mb
diplo tail,https://acnhcdn.com/latest/FtrIcon/FtrFossilDiplodocusE.png,NFS,5000.0,"Good old Diplodocus, what would we do without you? This stout fellow embodied all the best in dinosaurs. Those sturdy legs, that magnificent tail, and, above all, that extraordinary neck! Did you know that its center of gravity was such that sitting up on its hind legs was probably easy? What's more, paired with its long neck, this ability greatly increased its reach for eating plants! Best of all, Diplodocus probably grew its entire life, having no ""adult size"". Would that we were all so gifted!",87.0,Brown,Brown,2x2,Assessing fossils,Room 2,No,Not for sale,FtrFossilDiplodocusE,220.0,iKsrdn2aAxSfe83qZ
diplo tail tip,https://acnhcdn.com/latest/FtrIcon/FtrFossilDiplodocusF.png,NFS,4000.0,"Good old Diplodocus, what would we do without you? This stout fellow embodied all the best in dinosaurs. Those sturdy legs, that magnificent tail, and, above all, that extraordinary neck! Did you know that its center of gravity was such that sitting up on its hind legs was probably easy? What's more, paired with its long neck, this ability greatly increased its reach for eating plants! Best of all, Diplodocus probably grew its entire life, having no ""adult size"". Would that we were all so gifted!",87.0,Brown,Brown,2x2,Assessing fossils,Room 2,No,Not for sale,FtrFossilDiplodocusF,7251.0,a2r3s8t7bg4uZvdSy
dunkleosteus,https://acnhcdn.com/latest/FtrIcon/FtrFossilDunkleosteus.png,NFS,3500.0,"The dunkleosteus flourished long before the dinosaurs and was a sort of armored fish. Curiously, only fossils for the head and shoulders have been found. We must simply imagine the rest! While its face was rather frightening, I like to picture a cute little tail and perhaps some fluffy paws on its fins. Such speculation is not scientific, of course, and essentially amounts to paleontological fan fiction. I own that.",87.0,Gray,Brown,2x2,Assessing fossils,Room 1,No,Not for sale,FtrFossilDunkleosteus,4660.0,AtCoTAfo9bKFiGzFD
eusthenopteron,https://acnhcdn.com/latest/FtrIcon/FtrFossilFirstAmphibian.png,NFS,2000.0,"The eusthenopteron is famous for being the link between fish and land animals long before dinosaurs. It seems to have had strong fins capable of pulling it around areas where the water was shallow. When most creatures lived in the sea... they dreamed of land. If not for them, we mightn't be here today! Imagine if we'd not left the oceans... How might fashion and music be different in an aquatic world? How would we resolve differences? KPerhaps some sort of ink-squirting contest of champions?",87.0,Brown,Brown,1x1,Assessing fossils,Room 1,No,Not for sale,FtrFossilFirstAmphibian,4663.0,BHhdGwq7YeZuHmkEW
iguanodon skull,https://acnhcdn.com/latest/FtrIcon/FtrFossilIguanodonA.png,NFS,4000.0,"Ah, that graceful ballerina of the Cretaceous, the Iguanodon! When I say it was graceful, I mean by the...ahem...rather low bar set by other large herbivores. Apparently it would nimbly dodge the attacks of predators and fight back with its thumb claws! It could even walk on two legs when it wanted to! Er...truly it was the most elegant and lithe of dinosaurs.",87.0,Brown,Brown,2x2,Assessing fossils,Room 2,No,Not for sale,FtrFossilIguanodonA,188.0,pDn2iASHjo7yWKE3k
iguanodon tail,https://acnhcdn.com/latest/FtrIcon/FtrFossilIguanodonC.png,NFS,3000.0,"Ah, that graceful ballerina of the Cretaceous, the Iguanodon! When I say it was graceful, I mean by the...ahem...rather low bar set by other large herbivores. Apparently it would nimbly dodge the attacks of predators and fight back with its thumb claws! It could even walk on two legs when it wanted to! Er...truly it was the most elegant and lithe of dinosaurs.",87.0,Brown,Brown,2x2,Assessing fossils,Room 2,No,Not for sale,FtrFossilIguanodonC,190.0,GL2CuJXa4gYb4E4cE
iguanodon torso,https://acnhcdn.com/latest/FtrIcon/FtrFossilIguanodonB.png,NFS,3500.0,"Ah, that graceful ballerina of the Cretaceous, the Iguanodon! When I say it was graceful, I mean by the...ahem...rather low bar set by other large herbivores. Apparently it would nimbly dodge the attacks of predators and fight back with its thumb claws! It could even walk on two legs when it wanted to! Er...truly it was the most elegant and lithe of dinosaurs.",87.0,Brown,Brown,2x2,Assessing fossils,Room 2,No,Not for sale,FtrFossilIguanodonB,189.0,dJRCXccvviu6chWyK
juramaia,https://acnhcdn.com/latest/FtrIcon/FtrFossilFirstMammal.png,NFS,1500.0,"Ah, yes, the juramaia: one of the first mammals, and one of the few to live alongside the dinosaurs! In order to hide from much larger dinosaurs, it was less than four inches long and quite unobtrusive. Some even theorize that these mammals were nocturnal until the dinosaurs went extinct. They needed every advantage to live among those behemoths. They were nocturnal before it was cool!",87.0,Beige,Brown,1x1,Assessing fossils,Room 2,No,Not for sale,FtrFossilFirstMammal,4665.0,Ch68dGRXX2mu7ABgC
left megalo side,https://acnhcdn.com/latest/FtrIcon/FtrFossilMegalocerosB.png,NFS,4000.0,"The Megaloceros was a relative of the deer that lived during the Ice Age, long after the dinosaurs. It was also known as ""megaloceros giganteus""...which just means ""deer with large horns"". True to their name, they were deer with antlers spanning roughly 10 feet across! Imagine the majesty! While smaller than many dinosaurs, they were nonetheless a very charismatic example of megafauna.",87.0,Beige,Brown,2x2,Assessing fossils,Room 3,No,Not for sale,FtrFossilMegalocerosB,4659.0,7YzSLZWsjXQNp5xRY
left ptera wing,https://acnhcdn.com/latest/FtrIcon/FtrFossilPteranodonC.png,NFS,4500.0,"The mighty Pteranodon! Among the very largest animals ever to fly, they were role models to us all. With a wingspan of over 23 feet in some cases, I find it simply stunning that they ever did more than glide! But fly they did, soaring dynamically and dramatically over land and sea! I wish I could have seen it...",87.0,Brown,Brown,2x2,Assessing fossils,Room 2,No,Not for sale,FtrFossilPteranodonC,208.0,GJtNP9DjAFjGQdMPN
left quetzal wing,https://acnhcdn.com/latest/FtrIcon/FtrFossilQuetzalcoatlusC.png,NFS,5000.0,"The Quetzalcoatlus! The undisputed ruler of the skies...at least during the late Cretaceous period. It had a magnificent wingspan of roughly 36 feet, making it one of the largest flying animals ever! While it no doubt soared magnificently, we now know that it also crawled on all fours. It's a bit disappointing, really... This illustrious sky god scrabbling on the ground like a common beetle... They say you should never meet your heroes...",87.0,Brown,Brown,2x2,Assessing fossils,Room 2,No,Not for sale,FtrFossilQuetzalcoatlusC,4699.0,rS4iizyMDxN4yizLT
mammoth skull,https://acnhcdn.com/latest/FtrIcon/FtrFossilMammothA.png,NFS,3000.0,"Ah, Mammoths, the bad boys—and girls!—of the ancient-mammal world. So woolly! So unkempt! They are, of course, most famous for their size, which could be up to 13 tons for the largest males. But they were subject to no one's rules, and some species were SMALLER than modern elephants! Scientists have pondered for years: were mammoths the COOLEST of all extinct species? Perhaps so!",87.0,Beige,Brown,2x2,Assessing fossils,Room 3,No,Not for sale,FtrFossilMammothA,195.0,96CTubnHfYqmHyd3s
mammoth torso,https://acnhcdn.com/latest/FtrIcon/FtrFossilMammothB.png,NFS,2500.0,"Ah, Mammoths, the bad boys—and girls!—of the ancient-mammal world. So woolly! So unkempt! They are, of course, most famous for their size, which could be up to 13 tons for the largest males. But they were subject to no one's rules, and some species were SMALLER than modern elephants! Scientists have pondered for years: were mammoths the COOLEST of all extinct species? Perhaps so!",87.0,Beige,Brown,2x2,Assessing fossils,Room 3,No,Not for sale,FtrFossilMammothB,196.0,hT68CXm4z8LreXqWS
megacero skull,https://acnhcdn.com/latest/FtrIcon/FtrFossilBrontotheriumA.png,NFS,4500.0,"Hoo! I had been hoping someone would bring me a Megacerops! This large fellow was a bit like our modern rhinocerous, but with two horns on its nose! Sadly, their small teeth restricted them to a diet of rather soft plants, and eventually they died out. I feel there is a valuable lesson to be had there about learning to enjoy a variety of foods.",87.0,Brown,Brown,2x2,Assessing fossils,Room 3,No,Not for sale,FtrFossilBrontotheriumA,180.0,8CF9fvWstP6cWRbRD
megacero tail,https://acnhcdn.com/latest/FtrIcon/FtrFossilBrontotheriumC.png,NFS,3000.0,"Hoo! I had been hoping someone would bring me a Megacerops! This large fellow was a bit like our modern rhinocerous, but with two horns on its nose! Sadly, their small teeth restricted them to a diet of rather soft plants, and eventually they died out. I feel there is a valuable lesson to be had there about learning to enjoy a variety of foods.",87.0,Brown,Brown,2x2,Assessing fossils,Room 3,No,Not for sale,FtrFossilBrontotheriumC,182.0,NQcfdw5y6fokTPNGs
megacero torso,https://acnhcdn.com/latest/FtrIcon/FtrFossilBrontotheriumB.png,NFS,3500.0,"Hoo! I had been hoping someone would bring me a Megacerops! This large fellow was a bit like our modern rhinocerous, but with two horns on its nose! Sadly, their small teeth restricted them to a diet of rather soft plants, and eventually they died out. I feel there is a valuable lesson to be had there about learning to enjoy a variety of foods.",87.0,Brown,Brown,2x2,Assessing fossils,Room 3,No,Not for sale,FtrFossilBrontotheriumB,181.0,NcbHKXp9gq6Y96Wtw
myllokunmingia,https://acnhcdn.com/latest/FtrIcon/FtrFossilFirstFish.png,NFS,1500.0,"The myllokunmingia! Said to be one of the oldest fish-like animals, it lived well before the dinosaurs. It was about an inch long and seems to have had no lower jaw. It is awe-inspiring imagining such ancient life! There is much we still don't know. We may yet discover even older organisms with even fewer jaws!",87.0,Gray,Gray,1x1,Assessing fossils,Room 1,No,Not for sale,FtrFossilFirstFish,4662.0,XjLHtDMYXqwjZd4wT
ophthalmo skull,https://acnhcdn.com/latest/FtrIcon/FtrFossilOphthalmosaurusA.png,NFS,2500.0,"The adorable Ophthalmosaurus— cutest of all the Ichthyosaurs! What makes a large, sea-dwelling reptile cute, you may ask? I shall tell you... The eyes! Ophthalmosaurus's name means ""eye lizard"", and its face was quite dominated by those great orbs! Beside their cutifying effect, these eyes gave the creature great vision, making it a very successful hunter. And no doubt because its big doe eyes lulled prey into a false sense of security...",87.0,Brown,Brown,2x2,Assessing fossils,Room 2,No,Not for sale,FtrFossilOphthalmosaurusA,192.0,Sq6yQQ6EH2AMqQo2A
ophthalmo torso,https://acnhcdn.com/latest/FtrIcon/FtrFossilOphthalmosaurusB.png,NFS,2000.0,"The adorable Ophthalmosaurus— cutest of all the Ichthyosaurs! What makes a large, sea-dwelling reptile cute, you may ask? I shall tell you... The eyes! Ophthalmosaurus's name means ""eye lizard"", and its face was quite dominated by those great orbs! Beside their cutifying effect, these eyes gave the creature great vision, making it a very successful hunter. And no doubt because its big doe eyes lulled prey into a false sense of security...",87.0,Brown,Brown,2x2,Assessing fossils,Room 2,No,Not for sale,FtrFossilOphthalmosaurusB,193.0,8tzwNNwbSKAeWAzfP
pachy skull,https://acnhcdn.com/latest/FtrIcon/FtrFossilPachycephalosaurusA.png,NFS,4000.0,"Pachycephalosaurus was, to be blunt, not the brightest star in the dinosaur firmament. What I mean is, with its incredibly thick skull, some 10 inches thick in spots, it didn't have much room for... well, for brains. Its brain was likely quite small, but at least it was extremely safe...in its...bony...prison.",87.0,Brown,Brown,2x2,Assessing fossils,Room 2,Yes,Not for sale,FtrFossilPachycephalosaurusA,198.0,tgNyyjMaE9GbzMJzQ
pachy tail,https://acnhcdn.com/latest/FtrIcon/FtrFossilPachycephalosaurusB.png,NFS,3500.0,"Pachycephalosaurus was, to be blunt, not the brightest star in the dinosaur firmament. What I mean is, with its incredibly thick skull, some 10 inches thick in spots, it didn't have much room for... well, for brains. Its brain was likely quite small, but at least it was extremely safe...in its...bony...prison.",87.0,Brown,Brown,2x2,Assessing fossils,Room 2,No,Not for sale,FtrFossilPachycephalosaurusB,199.0,assKMf95bhB6pe3PM
parasaur skull,https://acnhcdn.com/latest/FtrIcon/FtrFossilParasaurolophusA.png,NFS,3500.0,"Hootie-hoo, Parasaurolophus! I like to think of it as the beast with the golden tones. You see, the three-foot structure of hollow bone atop its head MAY have been an elaborate noisemaker! As a dyed-in-the-feathers optimist AND music fan, I like to think it serenaded the late Cretaceous!",87.0,Brown,Brown,2x2,Assessing fossils,Room 2,No,Not for sale,FtrFossilParasaurolophusA,202.0,6xAZRPKhHNNQLofoE
parasaur tail,https://acnhcdn.com/latest/FtrIcon/FtrFossilParasaurolophusC.png,NFS,2500.0,"Hootie-hoo, Parasaurolophus! I like to think of it as the beast with the golden tones. You see, the three-foot structure of hollow bone atop its head MAY have been an elaborate noisemaker! As a dyed-in-the-feathers optimist AND music fan, I like to think it serenaded the late Cretaceous!",87.0,Brown,Brown,2x2,Assessing fossils,Room 2,No,Not for sale,FtrFossilParasaurolophusC,204.0,fEFd7AbLQpNwkzC8a
parasaur torso,https://acnhcdn.com/latest/FtrIcon/FtrFossilParasaurolophusB.png,NFS,3000.0,"Hootie-hoo, Parasaurolophus! I like to think of it as the beast with the golden tones. You see, the three-foot structure of hollow bone atop its head MAY have been an elaborate noisemaker! As a dyed-in-the-feathers optimist AND music fan, I like to think it serenaded the late Cretaceous!",87.0,Brown,Brown,2x2,Assessing fossils,Room 2,No,Not for sale,FtrFossilParasaurolophusB,203.0,GgX3Tdgzmf4hjguGF
plesio skull,https://acnhcdn.com/latest/FtrIcon/FtrFossilElasmosaurusA.png,NFS,4000.0,"Woo HOO! The Plesiosaurus is a classic of the ancient-reptile world! That long, graceful neck, the wee little head, and the plump, turtle-like body make for a striking silhouette. Incidentally, despite the ""saurus"" name, it wasn't actually a dinosaur. Common error, eh wot. But they were surely a majestic sight, swimming in those ancient seas... like a long-necked rubber ducky...",87.0,Brown,Brown,2x2,Assessing fossils,Room 2,No,Not for sale,FtrFossilElasmosaurusA,234.0,ioAEHvPecRoCBLJsK
plesio tail,https://acnhcdn.com/latest/FtrIcon/FtrFossilElasmosaurusC.png,NFS,4500.0,"Woo HOO! The Plesiosaurus is a classic of the ancient-reptile world! That long, graceful neck, the wee little head, and the plump, turtle-like body make for a striking silhouette. Incidentally, despite the ""saurus"" name, it wasn't actually a dinosaur. Common error, eh wot. But they were surely a majestic sight, swimming in those ancient seas... like a long-necked rubber ducky...",87.0,Brown,Brown,2x2,Assessing fossils,Room 2,No,Not for sale,FtrFossilElasmosaurusC,236.0,7dLqS33KYzWRFvkde
plesio torso,https://acnhcdn.com/latest/FtrIcon/FtrFossilElasmosaurusB.png,NFS,4500.0,"Woo HOO! The Plesiosaurus is a classic of the ancient-reptile world! That long, graceful neck, the wee little head, and the plump, turtle-like body make for a striking silhouette. Incidentally, despite the ""saurus"" name, it wasn't actually a dinosaur. Common error, eh wot. But they were surely a majestic sight, swimming in those ancient seas... like a long-necked rubber ducky...",87.0,Brown,Brown,2x2,Assessing fossils,Room 2,No,Not for sale,FtrFossilElasmosaurusB,235.0,jbfiPhmAcserk23rm
