Name,Inventory Image,Storage Image,DIY,Stack Size,Buy,Sell,Miles Price,Source,Source Notes,HHA Base Points,Tag,Color 1,Color 2,Version Added,Version Unlocked,Filename,Internal ID,Unique Entry ID
blue-hydrangea nursery,https://acnhcdn.com/latest/MenuIcon/PltHydrangeaBlue.png,,No,1.0,280.0,70.0,NA,Planting a bush start,,0.0,NA,None,None,1.2.0,1.2.0,PltHydrangeaBlue0,12749.0,dGy5iDQkBijsuNMLM
blue-hydrangea start,https://acnhcdn.com/latest/ShopPlant/SeedHydrangeaBlue.png,https://acnhcdn.com/latest/FtrIcon/SeedHydrangeaBlue.png,No,10.0,280.0,70.0,NA,Leif,,0.0,NA,None,None,1.2.0,1.2.0,SeedHydrangeaBlue,3798.0,GNsNR4uHsjm4B7XJr
blue-pansy plant,https://acnhcdn.com/latest/MenuIcon/PltPansi5.png,,No,1.0,NFS,80.0,NA,White/white pansies,,0.0,Plants,None,None,1.0.0,1.0.0,PltPansyBlue3,3860.0,Zd4CiamQfSEbYcymn
blue-rose plant,https://acnhcdn.com/latest/MenuIcon/PltRose7.png,,No,1.0,NFS,1000.0,NA,Orange/orange roses,,0.0,Plants,None,None,1.0.0,1.0.0,PltRoseBlue3,3876.0,XXDs7bACfxsb5ospo
blue-windflower plant,https://acnhcdn.com/latest/MenuIcon/PltAnemone5.png,,No,1.0,NFS,80.0,NA,"White/white windflowers
Orange/white windflowers",,0.0,Plants,None,None,1.0.0,1.0.0,PltAnemonesBlue3,3902.0,A4yXEFxhamZ2fCfmG
boot,https://acnhcdn.com/latest/MenuIcon/Boots.png,https://acnhcdn.com/latest/FtrIcon/TrashBoot.png,No,1.0,40.0,10.0,NA,Fishing,Medium shadow,0.0,NA,None,None,1.0.0,1.0.0,TrashBoot,3469.0,7jBpMwNw25uQW345e
brick path permit,https://acnhcdn.com/latest/MenuIcon/Helmet.png,,No,1.0,NFS,NA,2000.0,Nook Miles Redemption,Found under the Special tab of the Nook Miles Redemption service.,0.0,NA,None,None,1.0.0,1.0.0,FtrGroundMakerBrick,8774.0,oHZbjoqc3QKK6WLCC
bridge construction kit,https://acnhcdn.com/latest/MenuIcon/TentWhite.png,,Yes,1.0,NFS,NA,NA,Tom Nook,,0.0,Outdoors Decor,None,None,1.0.0,1.0.0,BridgeLogReserveKit,7211.0,qT8ewTJpgMGSEENoY
bridge marker kit,https://acnhcdn.com/latest/MenuIcon/TentWhite.png,,No,1.0,NFS,NA,NA,Tom Nook,,0.0,NA,None,None,1.0.0,1.0.0,BridgeReserveKit,4310.0,nS86mCT42JirpqqPY
brown wrapping paper,https://acnhcdn.com/latest/MenuIcon/WPaperBrown.png,https://acnhcdn.com/latest/FtrIcon/WPaperBrown.png,No,10.0,160.0,40.0,NA,Nook's Cranny,,0.0,NA,None,None,1.0.0,1.0.0,WPaperBrown,7696.0,hJhmHZLzeNSDBEoSo
campsite construction kit,https://acnhcdn.com/latest/MenuIcon/TentWhite.png,,Yes,1.0,NFS,NA,NA,Tom Nook,,0.0,NA,None,None,1.0.0,1.0.0,CampsiteReserveKit,5166.0,ezCup9En25XEqADNt
campsite moving kit,https://acnhcdn.com/latest/MenuIcon/TentWhite.png,,No,1.0,NFS,NA,NA,Tom Nook,,0.0,NA,None,None,1.0.0,1.0.0,MovingKitCampsite,6841.0,ZXGmQ8gab2KnTmP5a
Cancer fragment,https://acnhcdn.com/latest/MenuIcon/StarpieceCancer.png,https://acnhcdn.com/latest/FtrIcon/StarpieceCancer.png,No,10.0,NFS,500.0,NA,Wishing on shooting stars,"Only available during the Cancer Zodiac, June 21 - July 22",0.0,NA,None,None,1.0.0,1.0.0,StarpieceCancer,5991.0,SmqC4auAEN7GSNraA
Capricorn fragment,https://acnhcdn.com/latest/MenuIcon/StarpieceCapricornus.png,https://acnhcdn.com/latest/FtrIcon/StarpieceCapricornus.png,No,10.0,NFS,500.0,NA,Wishing on shooting stars,"Only available during the Capricorn Zodiac, December 23 - January 19",0.0,NA,None,None,1.0.0,1.0.0,StarpieceCapricornus,5985.0,Yv5hZXu5AkG7sWNQ6
cedar sapling,https://acnhcdn.com/latest/MenuIcon/SeedlingConifer.png,https://acnhcdn.com/latest/FtrIcon/SeedCedar.png,No,10.0,640.0,160.0,NA,Nook's Cranny,,0.0,Plants,None,None,1.0.0,1.0.0,SeedCedar,2800.0,LP6TnsveSD3AGAMmQ
cedar tree,https://acnhcdn.com/latest/MenuIcon/PltConifer.png,,No,1.0,NFS,240.0,NA,Planting a cedar sapling,,0.0,Plants,None,None,1.0.0,1.0.0,PltCedar4,2805.0,scFwAJ9XXGD3G6NbX
chartreuse wrapping paper,https://acnhcdn.com/latest/MenuIcon/WPaperLightGreen.png,https://acnhcdn.com/latest/FtrIcon/WPaperLightGreen.png,No,10.0,160.0,40.0,NA,Nook's Cranny,,0.0,NA,None,None,1.0.0,1.0.0,WPaperLightGreen,7686.0,RWcJQMBA79cybhZDM
cherry,https://acnhcdn.com/latest/MenuIcon/Cherry.png,https://acnhcdn.com/latest/FtrIcon/Cherry.png,No,10.0,400.0,500.0,NA,Cherry Tree,,0.0,NA,None,None,1.0.0,1.0.0,Cherry,2287.0,vAujDBhEiEHX39WDn
cherry tree,https://acnhcdn.com/latest/MenuIcon/PltCherry.png,,No,1.0,NFS,300.0,NA,Planting a cherry,,0.0,Plants,None,None,1.0.0,1.0.0,PltCherry4,3381.0,GhjdFWs3sFftbtd2W
cherry-blossom petal,https://acnhcdn.com/latest/MenuIcon/Sakurapetal.png,https://acnhcdn.com/latest/FtrIcon/Sakurapetal.png,No,10.0,NFS,NA,NA,Catching with a net,Only available during the Cherry-Blossom Season,0.0,NA,None,None,1.0.0,1.0.0,Sakurapetal,5859.0,7hYtxcDFLTySLx8Nz
clay,https://acnhcdn.com/latest/MenuIcon/OreClay.png,https://acnhcdn.com/latest/FtrIcon/DIYClay.png,No,30.0,NFS,100.0,NA,Hitting a rock,,0.0,NA,None,None,1.0.0,1.0.0,DIYClay,3090.0,3yoCRN4WNjdYKQEJB
cliff construction permit,https://acnhcdn.com/latest/MenuIcon/ToolCliffMaker.png,,No,1.0,NFS,NA,6000.0,Nook Miles Redemption,Found under the Special tab of the Nook Miles Redemption service.,0.0,NA,None,None,1.0.0,1.0.0,FtrCliffMaker,8781.0,WQsguRuMd9bwEFu5j
clump of weeds,https://acnhcdn.com/latest/MenuIcon/Weed.png,https://acnhcdn.com/latest/FtrIcon/PltWeed.png,No,99.0,NFS,10.0,NA,On ground,,0.0,Plants,None,None,1.0.0,1.0.0,PltWeed,2624.0,GEtNwS4vwNF7oBvw9
coconut,https://acnhcdn.com/latest/MenuIcon/Coconut.png,https://acnhcdn.com/latest/FtrIcon/Coconut.png,No,10.0,NFS,250.0,NA,Coconut Tree,,0.0,NA,None,None,1.0.0,1.0.0,Coconut,2288.0,eHNoTML3CsNoaHoZ9
coconut tree,https://acnhcdn.com/latest/MenuIcon/PltPalm.png,,No,1.0,NFS,500.0,NA,Planting a coconut,,0.0,Plants,None,None,1.0.0,1.0.0,PltPalm4,2810.0,c4FSMaXCEqboxnQzT
coin,https://acnhcdn.com/latest/MenuIcon/Coin.png,https://acnhcdn.com/latest/FtrIcon/PhotoStudioBell.png,No,9.0,NFS,0.0,NA,Shaking a hardwood or cedar tree,,0.0,NA,None,None,1.0.0,1.0.0,PhotoStudioBell,7730.0,jNjH659eycYXADzaq
communicator,https://acnhcdn.com/latest/MenuIcon/PirateQuest.png,,No,10.0,NFS,222.0,NA,Dive spot,Only available while on a quest for Gulliver,,,None,None,1.3.0,1.3.0,PirateQuest,13105.0,4MLwWcvfFjET6hgMc
communicator part,https://acnhcdn.com/latest/MenuIcon/JohnyParts.png,,No,10.0,NFS,20.0,NA,Clam dig spot,Only available while on a quest for Gulliver,0.0,NA,None,None,1.0.0,1.0.0,JohnnyQuest1,2381.0,XiM7GBuMGY9HReqm2
conch,https://acnhcdn.com/latest/MenuIcon/Shell1.png,https://acnhcdn.com/latest/FtrIcon/ShellDriftHora.png,No,10.0,NFS,700.0,NA,Beach,,0.0,NA,None,None,1.0.0,1.0.0,ShellDriftHora,1376.0,rtDktiz93Crc46m5c
coral,https://acnhcdn.com/latest/MenuIcon/Shell3.png,https://acnhcdn.com/latest/FtrIcon/ShellDriftSango.png,No,10.0,NFS,500.0,NA,Beach,,0.0,NA,None,None,1.0.0,1.0.0,ShellDriftSango,1380.0,4CHLh45qehAS8wHpb
cowrie,https://acnhcdn.com/latest/MenuIcon/Shell7.png,https://acnhcdn.com/latest/FtrIcon/ShellDriftTakara.png,No,10.0,NFS,60.0,NA,Beach,,0.0,NA,None,None,1.0.0,1.0.0,ShellDriftTakara,1382.0,zxAax3FMiJMX9Chet
custom design path permit,https://acnhcdn.com/latest/MenuIcon/Helmet.png,,No,1.0,NFS,NA,2300.0,Nook Miles Redemption,Found under the Special tab of the Nook Miles Redemption service.,0.0,NA,None,None,1.0.0,1.0.0,FtrGroundMakerMydesign,9771.0,gsKtaovfLwrynQzh2
Custom Design Pro Editor,,,No,1.0,NFS,NA,800.0,Nook Miles Redemption,,0.0,NA,None,None,1.0.0,1.0.0,HowtoBookMydesingPro,12185.0,MMYBdDHWn2kW2Maze
customizable phone case kit,https://acnhcdn.com/latest/MenuIcon/SmartphoneCase.png,,No,1.0,NFS,9000.0,1800.0,Nook Miles Redemption,Found under the Special tab of the Nook Miles Redemption service.,0.0,Home Appliances,None,None,1.0.0,1.0.0,SmartphoneCase,8760.0,nwyFbGaLtmPjknPTY
customization kit,https://acnhcdn.com/latest/MenuIcon/RemakeKit.png,https://acnhcdn.com/latest/FtrIcon/RemakeKit.png,No,50.0,600.0,150.0,NA,Nook's Cranny,,0.0,Supplies,None,None,1.0.0,1.0.0,RemakeKit,2513.0,Ld3gGWdjsFZscs6Qq
dark dirt path permit,https://acnhcdn.com/latest/MenuIcon/Helmet.png,,No,1.0,NFS,NA,2000.0,Nook Miles Redemption,Found under the Special tab of the Nook Miles Redemption service.,0.0,NA,None,None,1.0.0,1.0.0,FtrGroundMakerDarkSoil,8775.0,E6p3k7jqPy5nQZqkx
delivery,https://acnhcdn.com/latest/MenuIcon/Cardboard.png,,No,1.0,NFS,222.0,NA,Delivering item for a villager,,0.0,NA,None,None,1.0.0,1.0.0,DummyCardboard,4645.0,dSEW4GQniyS8P6SnE
delivery box,https://acnhcdn.com/latest/MenuIcon/Present2.png,,No,1.0,NFS,NA,NA,Nook Shopping,,0.0,NA,None,None,1.0.0,1.0.0,QuestWrappingBox,4245.0,KGs8SGuNQXerMe7xC
DIY for Beginners,https://acnhcdn.com/latest/MenuIcon/BookRecipe.png,https://acnhcdn.com/latest/FtrIcon/DIYbook1.png,No,1.0,480.0,NA,NA,Nook's Cranny,,0.0,NA,None,None,1.0.0,1.0.0,DIYbook1,5603.0,Xg3ZJkcs2GKKj629h
earth egg,https://acnhcdn.com/latest/MenuIcon/EggGround.png,https://acnhcdn.com/latest/FtrIcon/EggGround.png,No,30.0,NFS,200.0,NA,Dig Spot,Only available during Bunny Day,0.0,NA,None,None,1.1.0,1.1.0a,EggGround,12509.0,GfuzxkKwqvLMLq4TJ
egg message bottle,https://acnhcdn.com/latest/MenuIcon/MessageBottleEgg.png,,No,1.0,NFS,NA,NA,Beach,Only available during Bunny Day,0.0,NA,None,None,1.1.0,1.1.0a,MessageBottleEgg,12544.0,AQictTWfneH93yYQM
elegant mushroom,https://acnhcdn.com/latest/MenuIcon/Mush0.png,https://acnhcdn.com/latest/FtrIcon/MushSplendid.png,No,10.0,NFS,10000.0,NA,On ground,Only available during Mushroom Season,0.0,NA,None,None,1.0.0,1.0.0,MushSplendid,3276.0,kHtGRmaZmf3foEhwz
empty can,https://acnhcdn.com/latest/MenuIcon/Can.png,https://acnhcdn.com/latest/FtrIcon/TrashCan.png,No,1.0,NFS,10.0,NA,Fishing,Small shadow,0.0,NA,None,None,1.0.0,1.0.0,TrashCan,3466.0,rqiTcqwQexTmYoPTH
fish bait,https://acnhcdn.com/latest/MenuIcon/FishBait.png,https://acnhcdn.com/latest/FtrIcon/FishBait.png,Yes,10.0,NFS,200.0,NA,Crafting ,,103.0,NA,None,None,1.0.0,1.0.0,FishBait,4549.0,Ghm4XtGMDXTpyFQSj
flat mushroom,https://acnhcdn.com/latest/MenuIcon/Mush3.png,https://acnhcdn.com/latest/FtrIcon/MushFlat.png,No,10.0,NFS,200.0,NA,On ground,Only available during Mushroom Season,0.0,NA,None,None,1.0.0,1.0.0,MushFlat,3279.0,Ym7BRDNMQF6nZL446
fossil,https://acnhcdn.com/latest/MenuIcon/Fossil.png,https://acnhcdn.com/latest/FtrIcon/Fossil.png,No,1.0,NFS,100.0,NA,Dig Spot,,0.0,NA,None,None,1.0.0,1.0.0,Fossil,2579.0,ZwqydviSR4WiRWdDA
Gemini fragment,https://acnhcdn.com/latest/MenuIcon/StarpieceGemini.png,https://acnhcdn.com/latest/FtrIcon/StarpieceGemini.png,No,10.0,NFS,500.0,NA,Wishing on shooting stars,"Only available during the Gemini Zodiac, May 21 - June 21",0.0,NA,None,None,1.0.0,1.0.0,StarpieceGemini,5990.0,FKd48SRH79uQKweuZ
giant clam,https://acnhcdn.com/latest/MenuIcon/Shell2.png,https://acnhcdn.com/latest/FtrIcon/ShellDriftSyako.png,No,10.0,NFS,900.0,NA,Beach,,0.0,NA,None,None,1.0.0,1.0.0,ShellDriftSyako,1381.0,yzrzGTGG6mdN2N4d4
gold nugget,https://acnhcdn.com/latest/MenuIcon/Gold_Ore.png,https://acnhcdn.com/latest/FtrIcon/DIYGold.png,No,30.0,NFS,10000.0,NA,Hitting a rock,,0.0,NA,None,None,1.0.0,1.0.0,DIYGold,2505.0,i7QscMET7RcTdffLC
gold ornament,https://acnhcdn.com/latest/MenuIcon/ChristmasOrnamentC.png,https://acnhcdn.com/latest/FtrIcon/DIYOrnamentGold.png,No,30.0,NFS,50.0,NA,Cedar Tree,Shaking decorated trees; Only available during the Festive Season,0.0,NA,None,None,1.0.0,1.0.0,DIYOrnamentGold,5732.0,PDc3gmJTvyra4nNb6
gold roses,https://acnhcdn.com/latest/MenuIcon/GoldenRose.png,https://acnhcdn.com/latest/FtrIcon/FlwRoseGold.png,No,10.0,NFS,1000.0,NA,Picking flowers,,87.0,Plants,Yellow,Yellow,1.0.0,1.0.0,FlwRoseGold,2963.0,6B9RaLkgxyFA72rdm
gold wrapping paper,https://acnhcdn.com/latest/MenuIcon/WPaperGold.png,https://acnhcdn.com/latest/FtrIcon/WPaperGold.png,No,10.0,160.0,40.0,NA,Nook's Cranny,,0.0,NA,None,None,1.0.0,1.0.0,WPaperGold,7695.0,nKFEifDX73E7y86s3
gold-rose plant,https://acnhcdn.com/latest/MenuIcon/PltGoldenRose.png,,No,1.0,NFS,1000.0,NA,"Black/black roses
Water with gold watering can",,0.0,Plants,None,None,1.0.0,1.0.0,PltRoseGold3,3878.0,vgqcsR2h6B96skooq
gray wrapping paper,https://acnhcdn.com/latest/MenuIcon/WPaperGray.png,https://acnhcdn.com/latest/FtrIcon/WPaperGray.png,No,10.0,160.0,40.0,NA,Nook's Cranny,,0.0,NA,None,None,1.0.0,1.0.0,WPaperGray,7697.0,yiydxSjmgGZiNBxsm
green mums,https://acnhcdn.com/latest/MenuIcon/Mum4.png,https://acnhcdn.com/latest/FtrIcon/FlwMumGreen.png,No,10.0,NFS,240.0,NA,Picking flowers,,87.0,Plants,Green,Green,1.0.0,1.0.0,FlwMumGreen,5175.0,iZDGXg9rxMCXkkRXQ
green wrapping paper,https://acnhcdn.com/latest/MenuIcon/WPaperGreen.png,https://acnhcdn.com/latest/FtrIcon/WPaperGreen.png,No,10.0,160.0,40.0,NA,Nook's Cranny,,0.0,NA,None,None,1.0.0,1.0.0,WPaperGreen,7687.0,3mskzQhZ5uWSBJ373
green-mum plant,https://acnhcdn.com/latest/MenuIcon/PltMum4.png,,No,1.0,NFS,240.0,NA,Purple/purple mums,,0.0,Plants,None,None,1.0.0,1.0.0,PltMumGreen3,3934.0,ejT89srWvyFe6eQKf
hardwood,https://acnhcdn.com/latest/MenuIcon/DIYWoodHard.png,https://acnhcdn.com/latest/FtrIcon/DIYWoodHard.png,No,30.0,NFS,60.0,NA,Chopping a tree,,0.0,NA,None,None,1.0.0,1.0.0,DIYWoodHard,2769.0,ni3n8DjyCZ9cghTD2
hardwood tree,https://acnhcdn.com/latest/MenuIcon/PltOak.png,,No,1.0,NFS,240.0,NA,Planting a sapling,,0.0,Plants,None,None,1.0.0,1.0.0,PltOak4,2799.0,iGMxqfQ39pMGzJrji
heart crystal,https://acnhcdn.com/latest/MenuIcon/Love.png,https://acnhcdn.com/latest/FtrIcon/Love.png,No,30.0,400.0,100.0,NA,Reese,Reward for helping Cyrus & Reese during Wedding Season,0.0,NA,None,None,1.2.0,1.2.1c,Love,12546.0,Seo4ym9pKPhr7A6yb
holly bush,https://acnhcdn.com/latest/MenuIcon/PltHolly.png,,No,1.0,560.0,140.0,NA,Digging up a fully grown bush,,0.0,NA,None,None,1.2.0,1.2.0,PltHolly2,3027.0,iS4C5XqHay6jggFoL
holly nursery,https://acnhcdn.com/latest/MenuIcon/PltHolly.png,,No,1.0,280.0,70.0,NA,Planting a bush start,,0.0,NA,None,None,1.2.0,1.2.0,PltHolly0,12757.0,vyJTecdJnm8PS8zh6
holly start,https://acnhcdn.com/latest/ShopPlant/SeedHolly.png,https://acnhcdn.com/latest/FtrIcon/SeedHolly.png,No,10.0,280.0,70.0,NA,Leif,,0.0,NA,None,None,1.2.0,1.2.0,SeedHolly,3024.0,ikDCfcT8TcvyPNH8Y
housing kit,https://acnhcdn.com/latest/MenuIcon/TentWhite.png,,No,1.0,NFS,NA,NA,Tom Nook,,0.0,NA,None,None,1.0.0,1.0.0,NnpcNewHousingkit,3349.0,3H4M8fad4hXPPK9tq
incline marker kit,https://acnhcdn.com/latest/MenuIcon/TentWhite.png,,No,1.0,NFS,NA,NA,Tom Nook,,0.0,NA,None,None,1.0.0,1.0.0,SlopeReserveKit,4311.0,Nmp2P7XPoEWX2tQG6
iron nugget,https://acnhcdn.com/latest/MenuIcon/OreIron.png,https://acnhcdn.com/latest/FtrIcon/DIYIron.png,No,30.0,NFS,375.0,NA,Hitting a rock,,0.0,NA,None,None,1.0.0,1.0.0,DIYIron,2511.0,smkrptPsq6cK6e7ya
large snowflake,https://acnhcdn.com/latest/MenuIcon/SnowCrystalLarge.png,https://acnhcdn.com/latest/FtrIcon/SnowCrystalLarge.png,No,10.0,NFS,NA,NA,Snowboy,Reward for making a perfect Snowboy; Only available during Winter,0.0,NA,None,None,1.0.0,1.0.0,SnowCrystalLarge,3540.0,roPJbuZmNfYv9k3Q5
