Name,Image,#1,Material 1,#2,Material 2,#3,Material 3,#4,Material 4,#5,Material 5,#6,Material 6,Buy,Sell,Miles Price,Source,Source Notes,Version Added,Version Unlocked,Recipes to Unlock,Category,Crafted Item Internal ID,Card Color,Serial ID,Internal ID,Unique Entry ID
axe,https://acnhcdn.com/latest/DIYRecipeIcon/ToolAxe.png,1.0,flimsy axe,3.0,wood,1.0,iron nugget,,,,,,,NFS,200.0,NA,Pretty Good Tools Recipes,Purchase Pretty Good Tools Recipes via Nook Miles Redemption,1.0.0,1.0.0,0.0,Tools,2100.0,beige,102.0,271.0,b3QE9sXE7w5KCXkS5
backyard lawn,https://acnhcdn.com/latest/DIYRecipeIcon/RoomTexFloorLawn00.png,30.0,clump of weeds,,,,,,,,,,,NFS,200.0,NA,Peppy villagers,,1.0.0,1.0.0,0.0,Floors,4979.0,green,1261.0,487.0,pCoJi3w8hqsWKsBvz
bamboo basket,https://acnhcdn.com/latest/DIYRecipeIcon/FtrBambooBasket.png,7.0,bamboo piece,,,,,,,,,,,NFS,200.0,NA,Snooty villagers,,1.0.0,1.0.0,50.0,Housewares,3658.0,green,2409.0,152.0,y7Zjyax97JJo6k4oJ
bamboo bench,https://acnhcdn.com/latest/DIYRecipeIcon/FtrBambooChairL.png,8.0,bamboo piece,,,,,,,,,,,NFS,200.0,NA,Normal villagers,,1.0.0,1.0.0,50.0,Housewares,710.0,green,2401.0,46.0,iRBcw227DDdksTz3J
bamboo candleholder,https://acnhcdn.com/latest/DIYRecipeIcon/FtrBambooCandle.png,3.0,bamboo piece,2.0,clay,,,,,,,,,NFS,200.0,NA,Snooty villagers,,1.0.0,1.0.0,50.0,Miscellaneous,3554.0,green,2402.0,153.0,9FCcnLSsxLXkR2NEA
bamboo doll,https://acnhcdn.com/latest/DIYRecipeIcon/FtrBambooSurprisedbox.png,6.0,young spring bamboo,,,,,,,,,,,NFS,200.0,NA,Balloons,Only available during Spring,1.0.0,1.0.0,0.0,Housewares,3555.0,green,2500.0,158.0,gc6yP5HuqTxEGBK48
bamboo drum,https://acnhcdn.com/latest/DIYRecipeIcon/FtrBamboodrum.png,3.0,bamboo piece,2.0,softwood,,,,,,,,,NFS,200.0,NA,Jock villagers,,1.0.0,1.0.0,50.0,Miscellaneous,4093.0,green,2413.0,397.0,K5pwygoJtxAXbj7db
bamboo floor lamp,https://acnhcdn.com/latest/DIYRecipeIcon/FtrBambooLamp.png,8.0,bamboo piece,,,,,,,,,,,NFS,200.0,NA,Normal villagers,,1.0.0,1.0.0,50.0,Housewares,3557.0,green,2410.0,159.0,47AeakgHNdNvSvLRb
bamboo flooring,https://acnhcdn.com/latest/DIYRecipeIcon/RoomTexFloorBamboo00.png,15.0,bamboo piece,,,,,,,,,,,NFS,200.0,NA,Cranky villagers,,1.0.0,1.0.0,50.0,Floors,4964.0,green,2460.0,485.0,JyK3oMGwWg46SZ7M6
bamboo hat,https://acnhcdn.com/latest/DIYRecipeIcon/CapHatAjiroBeige.png,10.0,clump of weeds,,,,,,,,,,,NFS,200.0,NA,Cranky villagers,,1.0.0,1.0.0,0.0,Equipment,5143.0,green,1284.0,607.0,p6dWvgRwv6574A7md
bamboo lattice fence,https://acnhcdn.com/latest/DIYRecipeIcon/ItemFenceBamboo.png,6.0,bamboo piece,,,,,,,,,,,NFS,200.0,1000.0,Nook Miles Exchange,,1.0.0,1.0.0,0.0,Other,3403.0,green,2490.0,101.0,kFi2XW9eoPkAoWdS5
bamboo lunch box,https://acnhcdn.com/latest/DIYRecipeIcon/FtrBambooLunch.png,4.0,bamboo piece,,,,,,,,,,,NFS,200.0,NA,Snooty villagers,,1.0.0,1.0.0,50.0,Miscellaneous,5978.0,green,2406.0,421.0,ejw8RfXvq8vPJuLod
bamboo noodle slide,https://acnhcdn.com/latest/DIYRecipeIcon/FtrBambooSomen.png,7.0,young spring bamboo,3.0,wood,,,,,,,,,NFS,200.0,NA,Balloons; Isabelle,Only available during Spring,1.0.0,1.0.0,0.0,Housewares,5979.0,green,2502.0,424.0,P9SmzDkYdcYuPmRop
bamboo partition,https://acnhcdn.com/latest/DIYRecipeIcon/FtrBambooScreen.png,7.0,bamboo piece,6.0,stone,,,,,,,,,NFS,200.0,NA,Cranky villagers,,1.0.0,1.0.0,50.0,Housewares,3553.0,green,2403.0,157.0,6B3A3RrMHHYeGnDR4
bamboo shelf,https://acnhcdn.com/latest/DIYRecipeIcon/FtrBambooShelf.png,15.0,bamboo piece,,,,,,,,,,,NFS,200.0,NA,Snooty villagers,,1.0.0,1.0.0,50.0,Housewares,3551.0,green,2405.0,155.0,ATFSAKswogCggcGbd
bamboo speaker,https://acnhcdn.com/latest/DIYRecipeIcon/FtrBambooMusic.png,3.0,bamboo piece,1.0,iron nugget,,,,,,,,,NFS,200.0,NA,Snooty villagers,,1.0.0,1.0.0,50.0,Housewares,10743.0,green,2411.0,591.0,59rwk7hPFaeWEX7AY
bamboo sphere,https://acnhcdn.com/latest/DIYRecipeIcon/FtrBambooBall.png,3.0,bamboo piece,,,,,,,,,,,NFS,200.0,NA,Normal villagers,,1.0.0,1.0.0,50.0,Miscellaneous,5976.0,green,2404.0,420.0,4DSiABqB4KvShtQdM
bamboo stool,https://acnhcdn.com/latest/DIYRecipeIcon/FtrBambooStool.png,5.0,bamboo piece,,,,,,,,,,,NFS,200.0,NA,Snooty villagers,,1.0.0,1.0.0,50.0,Housewares,10742.0,green,2400.0,590.0,cSywc8qQTGtF5PTqT
bamboo stopblock,https://acnhcdn.com/latest/DIYRecipeIcon/FtrBambooCarstop.png,3.0,bamboo piece,,,,,,,,,,,NFS,200.0,NA,Jock villagers,,1.0.0,1.0.0,50.0,Housewares,3556.0,green,2412.0,154.0,g6cSM6je3YN47KiMD
bamboo wall,https://acnhcdn.com/latest/DIYRecipeIcon/RoomTexWallBamboo00.png,15.0,bamboo piece,,,,,,,,,,,NFS,200.0,NA,Cranky villagers,,1.0.0,1.0.0,50.0,Wallpaper,4833.0,green,2450.0,322.0,BYCNmo3a3HZQXWqHK
bamboo wall decoration,https://acnhcdn.com/latest/DIYRecipeIcon/FtrBambooFlowerwall.png,1.0,bamboo piece,,,,,,,,,,,NFS,200.0,NA,Jock villagers,,1.0.0,1.0.0,50.0,Wall-mounted,3558.0,green,2430.0,151.0,Xb2ywJv5tsDeSKG2H
bamboo wand,https://acnhcdn.com/latest/DIYRecipeIcon/ToolStickBamboo.png,6.0,young spring bamboo,3.0,star fragment,,,,,,,,,NFS,200.0,NA,Balloons,Only available during Spring,1.0.0,1.0.0,0.0,Tools,7590.0,green,2590.0,538.0,Z5FSewP6wM2McqRCJ
bamboo-grove wall,https://acnhcdn.com/latest/DIYRecipeIcon/RoomTexWallChikurin00.png,7.0,young spring bamboo,3.0,bamboo shoot,,,,,,,,,NFS,200.0,NA,Balloons,Only available during Spring,1.0.0,1.0.0,0.0,Wallpaper,4853.0,green,2551.0,300.0,YEqTcFmBecj7pp4XX
bamboo-shoot lamp,https://acnhcdn.com/latest/DIYRecipeIcon/FtrBambooshootLamp.png,4.0,young spring bamboo,5.0,bamboo shoot,4.0,clay,,,,,,,NFS,200.0,NA,Balloons,Only available during Spring,1.0.0,1.0.0,0.0,Miscellaneous,5977.0,green,2504.0,385.0,kdfzcoLwkhis8mbtR
barbed-wire fence,https://acnhcdn.com/latest/DIYRecipeIcon/ItemFenceBarbedWire.png,3.0,hardwood,2.0,iron nugget,,,,,,,,,NFS,200.0,1000.0,Nook Miles Exchange,,1.0.0,1.0.0,0.0,Other,5213.0,brown,585.0,561.0,dgW8J3q4JWsyyrDxP
barbell,https://acnhcdn.com/latest/DIYRecipeIcon/FtrBarbell.png,10.0,iron nugget,,,,,,,,,,,NFS,200.0,NA,Jock villagers,,1.0.0,1.0.0,0.0,Housewares,4078.0,dark gray,914.0,395.0,A3fKpbNzYnRZwYMbx
barrel,https://acnhcdn.com/latest/DIYRecipeIcon/FtrPirateBarrel.png,5.0,wood,2.0,iron nugget,,,,,,,,,NFS,200.0,NA,Tom Nook; Cranky villagers,50% chance of being obtained during the main storyline during the villager house development quest,1.0.0,1.0.0,0.0,Housewares,1266.0,brown,431.0,165.0,QBxsHQZ8DpGYE7d8S
basement flooring,https://acnhcdn.com/latest/DIYRecipeIcon/RoomTexFloorBasement00.png,10.0,stone,,,,,,,,,,,NFS,200.0,NA,Smug villagers,,1.0.0,1.0.0,0.0,Floors,4797.0,light gray,860.0,474.0,RdpaWYGrZLzQWtKDJ
basket pack,https://acnhcdn.com/latest/DIYRecipeIcon/BagBackpackBasket0.png,6.0,young spring bamboo,,,,,,,,,,,NFS,200.0,NA,Balloons,Only available during Spring,1.0.0,1.0.0,0.0,Equipment,7506.0,green,2580.0,645.0,j2a3p7Gtpy8fW2Z5S
beekeeper's hive,https://acnhcdn.com/latest/DIYRecipeIcon/FtrBeekeepingbox.png,3.0,wasp nest,5.0,wood,,,,,,,,,NFS,200.0,NA,Jock villagers,,1.0.0,1.0.0,0.0,Housewares,3406.0,orange,2000.0,204.0,nxtm2DdtRcHzAyrZX
big festive tree,https://acnhcdn.com/latest/DIYRecipeIcon/FtrTreeXmasL.png,6.0,red ornament,6.0,blue ornament,4.0,gold ornament,5.0,wood,5.0,clay,,,NFS,200.0,NA,Balloons,Only available during Festive Season,1.0.0,1.0.0,0.0,Housewares,3966.0,white,3404.0,273.0,xArzFHH3vK5tq4r6y
birdbath,https://acnhcdn.com/latest/DIYRecipeIcon/FtrBirdbus.png,6.0,stone,,,,,,,,,,,NFS,200.0,NA,Tom Nook; Snooty villagers,50% chance of being obtained during the main storyline during the villager house development quest,1.0.0,1.0.0,0.0,Housewares,331.0,light gray,802.0,42.0,73BAmDLcYdhSDnHLR
birdcage,https://acnhcdn.com/latest/DIYRecipeIcon/FtrBirdcage.png,8.0,wood,,,,,,,,,,,NFS,200.0,NA,Big Sister villagers,,1.0.0,1.0.0,0.0,Housewares,865.0,brown,404.0,216.0,Dm56HseZexdC2ctda
birdhouse,https://acnhcdn.com/latest/DIYRecipeIcon/FtrBirdhouse.png,2.0,wood,5.0,softwood,,,,,,,,,NFS,200.0,NA,Tom Nook; Peppy villagers,,1.0.0,1.0.0,0.0,Housewares,333.0,brown,435.0,41.0,cDe3r9tficCbWgmH4
blossom-viewing lantern,https://acnhcdn.com/latest/DIYRecipeIcon/FtrSakuraLantern.png,6.0,cherry-blossom petal,4.0,hardwood,,,,,,,,,NFS,200.0,NA,Balloons,Only available during Cherry-Blossom Season,1.0.0,1.0.0,0.0,Housewares,6831.0,pink,2604.0,427.0,7dxFMY3pjTmv4D3QX
blue rose crown,https://acnhcdn.com/latest/DIYRecipeIcon/CapOrnamentRose4.png,6.0,blue roses,,,,,,,,,,,NFS,200.0,NA,All villagers,,1.0.0,1.0.0,200.0,Equipment,7377.0,green,3615.0,459.0,5oscGctPhHbHFeSHY
blue rose wreath,https://acnhcdn.com/latest/DIYRecipeIcon/FtrDoorOrnamentWreathRoseUrtraRare.png,10.0,blue roses,,,,,,,,,,,NFS,200.0,NA,All villagers,,1.0.0,1.0.0,200.0,Wall-mounted,5772.0,green,3555.0,447.0,XbGbAr5htMNb6h4mr
bone doorplate,https://acnhcdn.com/latest/DIYRecipeIcon/FtrDoorPlateBone.png,3.0,softwood,,,,,,,,,,,NFS,200.0,NA,Lazy villagers,,1.0.0,1.0.0,50.0,Wall-mounted,4751.0,brown,500.0,467.0,jbvhjbWecrky57s9e
bonfire,https://acnhcdn.com/latest/DIYRecipeIcon/FtrCampfire.png,1.0,campfire,10.0,wood,,,,,,,,,NFS,200.0,NA,Tom Nook; Cranky villagers,,1.0.0,1.0.0,0.0,Housewares,1430.0,brown,201.0,34.0,JxApKgoud4gfvEcwk
bonsai shelf,https://acnhcdn.com/latest/DIYRecipeIcon/FtrBonsaiShelf.png,1.0,cherry-blossom bonsai,1.0,pine bonsai tree,8.0,wood,,,,,,,NFS,200.0,NA,Cranky villagers,,1.0.0,1.0.0,100.0,Housewares,3580.0,brown,437.0,593.0,ybNj2deAkSr4AkbXf
boomerang,https://acnhcdn.com/latest/DIYRecipeIcon/FtrBoomerang.png,3.0,hardwood,,,,,,,,,,,NFS,200.0,NA,Lazy villagers,,1.0.0,1.0.0,50.0,Wall-mounted,682.0,brown,481.0,171.0,rMasSCDby69z84Fai
brick fence,https://acnhcdn.com/latest/DIYRecipeIcon/ItemFenceWallRenga.png,6.0,clay,,,,,,,,,,,NFS,200.0,1000.0,Nook Miles Exchange,,1.0.0,1.0.0,0.0,Other,3080.0,brick,790.0,99.0,F7bg775Kh6niY7gcZ
brick oven,https://acnhcdn.com/latest/DIYRecipeIcon/FtrStoneoven.png,8.0,clay,2.0,iron nugget,6.0,wood,,,,,,,NFS,200.0,NA,Wildest Dreams DIY,Purchase Wildest Dreams DIY from Nook's Cranny,1.0.0,1.0.0,0.0,Housewares,1157.0,brick,706.0,58.0,HKzfxMGvbz6Xhni9E
brick well,https://acnhcdn.com/latest/DIYRecipeIcon/FtrWellBrick.png,8.0,clay,5.0,wood,1.0,flimsy shovel,,,,,,,NFS,200.0,2000.0,Nook Miles Exchange,,1.0.0,1.0.0,0.0,Housewares,3776.0,brick,707.0,408.0,MZhaSK4GZ9D3jkRMw
bridge construction kit,https://acnhcdn.com/latest/DIYRecipeIcon/BridgeLogReserveKit.png,4.0,log stakes,4.0,clay,4.0,stone,,,,,,,NFS,200.0,NA,Tom Nook,Obtained during the main storyline,1.0.0,1.0.0,0.0,Other,7211.0,NA,1.0,458.0,5aMdJ9fqw3nFtTSYR
brown herringbone wall,https://acnhcdn.com/latest/DIYRecipeIcon/RoomTexWallHerringbone00.png,15.0,softwood,,,,,,,,,,,NFS,200.0,NA,Big Sister villagers,,1.0.0,1.0.0,0.0,Wallpaper,4804.0,brown,524.0,312.0,YXiuGMDZmkG7wbuQn
Bunny Day arch,https://acnhcdn.com/latest/DIYRecipeIcon/FtrEggArch.png,2.0,earth egg,2.0,stone egg,2.0,leaf egg,2.0,wood egg,2.0,sky egg,2.0,water egg,NFS,200.0,NA,Zipper,Reward from Zipper after collecting all 6 egg types; Only available during Bunny Day,1.1.0,1.1.0a,0.0,Housewares,12398.0,yellow,3708.0,695.0,LnuCzHYJaAs4HNMdm
Bunny Day bag,https://acnhcdn.com/latest/DIYRecipeIcon/BagBackpackEgg0.png,1.0,earth egg,1.0,stone egg,1.0,leaf egg,1.0,wood egg,1.0,sky egg,1.0,water egg,NFS,200.0,NA,All villagers,Only available during Bunny Day,1.1.0,1.1.0a,0.0,Equipment,12447.0,yellow,3781.0,694.0,9njGw9d2nxaB5RiGR
Bunny Day bed,https://acnhcdn.com/latest/DIYRecipeIcon/FtrEggBedW.png,1.0,earth egg,1.0,stone egg,1.0,leaf egg,1.0,wood egg,1.0,sky egg,1.0,water egg,NFS,200.0,NA,Egg bottle; Egg balloon,Only available during Bunny Day,1.1.0,1.1.0a,0.0,Housewares,12414.0,yellow,3704.0,698.0,FiJ85ZKnHbkjNQ7FF
Bunny Day crown,https://acnhcdn.com/latest/DIYRecipeIcon/CapOrnamentCEgg0.png,1.0,earth egg,1.0,stone egg,1.0,leaf egg,1.0,wood egg,1.0,sky egg,1.0,water egg,NFS,200.0,NA,All villagers,Only available during Bunny Day,1.1.0,1.1.0a,0.0,Equipment,12445.0,yellow,3780.0,693.0,ARB6gWR7MFyiPoP3b
Bunny Day fence,https://acnhcdn.com/latest/DIYRecipeIcon/ItemFenceEgg.png,1.0,earth egg,1.0,stone egg,1.0,leaf egg,1.0,wood egg,1.0,sky egg,1.0,water egg,NFS,200.0,NA,Egg bottle; Egg balloon,Only available during Bunny Day,1.1.0,1.1.0a,0.0,Other,12630.0,yellow,3790.0,712.0,4Kdig9tWPTr4Xx6Kv
Bunny Day festive balloons,https://acnhcdn.com/latest/DIYRecipeIcon/FtrEggBalloonB.png,1.0,stone egg,1.0,wood egg,1.0,water egg,,,,,,,NFS,200.0,NA,Egg bottle; Egg balloon,Only available during Bunny Day,1.1.0,1.1.0a,0.0,Housewares,12421.0,yellow,3707.0,704.0,gSFqr84aRRt85bwzj
Bunny Day flooring,https://acnhcdn.com/latest/DIYRecipeIcon/RoomTexFloorEaster00.png,2.0,earth egg,2.0,stone egg,2.0,leaf egg,2.0,wood egg,2.0,sky egg,2.0,water egg,NFS,200.0,NA,Egg bottle; Egg balloon,Only available during Bunny Day,1.1.0,1.1.0a,0.0,Floors,12423.0,yellow,3751.0,710.0,niHGKnTgXRGTbpEwc
Bunny Day glowy garland,https://acnhcdn.com/latest/DIYRecipeIcon/FtrEggLampWall.png,1.0,earth egg,1.0,stone egg,1.0,leaf egg,1.0,wood egg,1.0,sky egg,1.0,water egg,NFS,200.0,NA,Egg bottle; Egg balloon,Only available during Bunny Day,1.1.0,1.1.0a,0.0,Wall-mounted,12417.0,yellow,3731.0,700.0,o4dxxDMeguMH8zQzx
Bunny Day lamp,https://acnhcdn.com/latest/DIYRecipeIcon/FtrEggLamp.png,4.0,wood egg,,,,,,,,,,,NFS,200.0,NA,Egg bottle; Egg balloon,Only available during Bunny Day,1.1.0,1.1.0a,0.0,Miscellaneous,12413.0,yellow,3705.0,697.0,aJAmvizpFhDespKHb
Bunny Day merry balloons,https://acnhcdn.com/latest/DIYRecipeIcon/FtrEggBalloonA.png,1.0,earth egg,1.0,leaf egg,1.0,sky egg,,,,,,,NFS,200.0,NA,Egg bottle; Egg balloon,Only available during Bunny Day,1.1.0,1.1.0a,0.0,Housewares,12419.0,yellow,3706.0,702.0,8JL8MamAW5zYTfT3J
Bunny Day rug,https://acnhcdn.com/latest/DIYRecipeIcon/RugOtherEasterM00.png,1.0,earth egg,1.0,stone egg,1.0,leaf egg,1.0,wood egg,1.0,sky egg,1.0,water egg,NFS,200.0,NA,Egg bottle; Egg balloon,Only available during Bunny Day,1.1.0,1.1.0a,0.0,Rugs,7546.0,yellow,3752.0,709.0,qhQxRtRZztg72hh23
Bunny Day stool,https://acnhcdn.com/latest/DIYRecipeIcon/FtrEggStool.png,3.0,water egg,,,,,,,,,,,NFS,200.0,NA,Egg bottle; Egg balloon,Only available during Bunny Day,1.1.0,1.1.0a,0.0,Housewares,12415.0,yellow,3700.0,699.0,wa4bcffdYLswPfJ2B
Bunny Day table,https://acnhcdn.com/latest/DIYRecipeIcon/FtrEggTableS.png,4.0,earth egg,,,,,,,,,,,NFS,200.0,NA,Egg bottle; Egg balloon,Only available during Bunny Day,1.1.0,1.1.0a,0.0,Housewares,12436.0,yellow,3701.0,705.0,9aQh9Qrq3vpQdqueu
Bunny Day vanity,https://acnhcdn.com/latest/DIYRecipeIcon/FtrEggDresser.png,4.0,leaf egg,,,,,,,,,,,NFS,200.0,NA,Egg bottle; Egg balloon,Only available during Bunny Day,1.1.0,1.1.0a,0.0,Housewares,12420.0,yellow,3703.0,703.0,NnTWBXepctfiLMjnL
Bunny Day wall,https://acnhcdn.com/latest/DIYRecipeIcon/RoomTexWallEaster00.png,2.0,earth egg,2.0,stone egg,2.0,leaf egg,2.0,wood egg,2.0,sky egg,2.0,water egg,NFS,200.0,NA,Egg bottle; Egg balloon,Only available during Bunny Day,1.1.0,1.1.0a,0.0,Wallpaper,5231.0,yellow,3750.0,708.0,fJWKvdNQwBqRaKjsz
Bunny Day wall clock,https://acnhcdn.com/latest/DIYRecipeIcon/FtrEggClock.png,3.0,sky egg,,,,,,,,,,,NFS,200.0,NA,Egg bottle; Egg balloon,Only available during Bunny Day,1.1.0,1.1.0a,0.0,Wall-mounted,12418.0,yellow,3730.0,701.0,CYdX8kEStsmMXX96v
Bunny Day wand,https://acnhcdn.com/latest/DIYRecipeIcon/ToolStickEgg.png,1.0,wobbling Zipper toy,3.0,star fragment,,,,,,,,,NFS,200.0,NA,Zipper,Reward from Zipper after crafting wobbling Zipper toy; Only available during Bunny Day,1.1.0,1.1.0a,0.0,Tools,12578.0,yellow,3791.0,711.0,ySsGKkX7k5TFeytzQ
Bunny Day wardrobe,https://acnhcdn.com/latest/DIYRecipeIcon/FtrEggClosetLR.png,4.0,stone egg,,,,,,,,,,,NFS,200.0,NA,Egg bottle; Egg balloon,Only available during Bunny Day,1.1.0,1.1.0a,0.0,Housewares,12437.0,yellow,3702.0,706.0,CNAhe3aeGYQ22Q7LG
Bunny Day wreath,https://acnhcdn.com/latest/DIYRecipeIcon/FtrDoorOrnamentWreathEaster.png,1.0,earth egg,1.0,stone egg,1.0,leaf egg,1.0,wood egg,1.0,sky egg,1.0,water egg,NFS,200.0,NA,Egg bottle; Egg balloon,Only available during Bunny Day,1.1.0,1.1.0a,0.0,Wall-mounted,12517.0,yellow,3740.0,707.0,296Ws5ikbL8hMv3ZC
butter churn,https://acnhcdn.com/latest/DIYRecipeIcon/FtrButtermixer.png,4.0,wood,2.0,iron nugget,,,,,,,,,NFS,200.0,NA,Snooty villagers,,1.0.0,1.0.0,0.0,Housewares,7805.0,brown,433.0,508.0,zAPyFGPvmSTCdivgm
cabin wall,https://acnhcdn.com/latest/DIYRecipeIcon/RoomTexWallLog00.png,15.0,hardwood,,,,,,,,,,,NFS,200.0,NA,Peppy villagers,,1.0.0,1.0.0,0.0,Wallpaper,4840.0,brown,527.0,315.0,vYePWAqNbmHCX2n7u
campfire,https://acnhcdn.com/latest/DIYRecipeIcon/FtrBonfire.png,3.0,tree branch,,,,,,,,,,,NFS,200.0,NA,Tom Nook,Obtained from Tom Nook after completing his DIY Workshop at the beginning of the game,1.0.0,1.0.0,0.0,Housewares,1429.0,brown,200.0,13.0,YDCiZFYQHNweKWYcz
campsite construction kit,https://acnhcdn.com/latest/DIYRecipeIcon/CampsiteReserveKit.png,15.0,wood,15.0,softwood,15.0,hardwood,15.0,iron nugget,,,,,NFS,200.0,NA,Tom Nook,Obtained during the main storyline,1.0.0,1.0.0,0.0,Other,5166.0,NA,1.0,461.0,r2Hct8GMigwWDdwc8
Cancer table,https://acnhcdn.com/latest/DIYRecipeIcon/FtrZodiacCancer.png,3.0,star fragment,2.0,Cancer fragment,2.0,gold nugget,3.0,stone,,,,,NFS,200.0,NA,Celeste,,1.0.0,1.0.0,0.0,Housewares,5959.0,silver,2303.0,371.0,FvH6DXMtKuuXbmRdS
Capricorn ornament,https://acnhcdn.com/latest/DIYRecipeIcon/FtrZodiacCapricornus.png,3.0,star fragment,2.0,Capricorn fragment,2.0,gold nugget,12.0,stone,,,,,NFS,200.0,NA,Celeste,,1.0.0,1.0.0,0.0,Housewares,5957.0,silver,2309.0,370.0,WzAvFzPD5oa7ZijeY
cardboard bed,https://acnhcdn.com/latest/DIYRecipeIcon/FtrCardboardBedS.png,4.0,cardboard box,,,,,,,,,,,NFS,200.0,NA,Lazy villagers,,1.0.0,1.0.0,0.0,Housewares,7161.0,yellow,2133.0,497.0,egMT9pGzXF4tW2TcQ
