Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Source,Source Notes,Seasonal Availability,Mannequin Piece,Style,Label Themes,Sort Order,Villager Equippable,Catalog,Version Added,Version Unlocked,Filename,ClothGroup ID,Internal ID,Unique Entry ID
athletic pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalJersey1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalJersey1.png,Green,No,880.0,220.0,51.0,Green,White,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Active,outdoorsy; comfy; sporty,4.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsNormalJersey1,127.0,11295.0,Ygp8L2zeem8ECZroK
athletic pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalJersey3.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalJersey3.png,Blue,No,880.0,220.0,51.0,Blue,White,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Active,outdoorsy; comfy; sporty,5.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsNormalJersey3,127.0,11297.0,R6apb74ivZCDbvEvi
athletic pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalJersey5.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalJersey5.png,Navy blue,No,880.0,220.0,51.0,Blue,White,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Active,outdoorsy; comfy; sporty,6.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsNormalJersey5,127.0,11299.0,zauG7p57gDAPSqPH4
athletic shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfJersey2.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfJersey2.png,Black,No,560.0,140.0,51.0,Black,White,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,Yes,Active,outdoorsy; comfy; sporty,1.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsHalfJersey2,422.0,11906.0,XZyRpyaiPbfw5nwTD
athletic shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfJersey4.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfJersey4.png,Berry red,No,560.0,140.0,51.0,Red,White,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Active,outdoorsy; comfy; sporty,2.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsHalfJersey4,422.0,11908.0,QWxKgGJSnKgHEyz5Y
athletic shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfJersey0.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfJersey0.png,Red,No,560.0,140.0,51.0,Red,White,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Active,outdoorsy; comfy; sporty,3.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsHalfJersey0,422.0,4518.0,Pz4KvZgNanynj88ut
athletic shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfJersey1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfJersey1.png,Green,No,560.0,140.0,51.0,Green,White,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Active,outdoorsy; comfy; sporty,4.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsHalfJersey1,422.0,11905.0,Cgi5fvfgm5YEdCpNu
athletic shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfJersey3.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfJersey3.png,Blue,No,560.0,140.0,51.0,Blue,White,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Active,outdoorsy; comfy; sporty,5.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsHalfJersey3,422.0,11907.0,omNsW8d3EgoAs3tLL
athletic shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfJersey5.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfJersey5.png,Navy blue,No,560.0,140.0,51.0,Blue,White,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Active,outdoorsy; comfy; sporty,6.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsHalfJersey5,422.0,11909.0,wkX3PL2R5dYC8PNJ2
basketball shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBasketball7.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBasketball7.png,Black,No,980.0,245.0,51.0,Black,Red,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Active,sporty; work,1.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsHalfBasketball7,849.0,11313.0,gRj6pG26jHFQZB8TA
basketball shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBasketball1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBasketball1.png,Red,No,980.0,245.0,51.0,Red,Black,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Active,sporty; work,2.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsHalfBasketball1,849.0,11307.0,TpYJQMq2Z8tEkK2Wd
basketball shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBasketball3.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBasketball3.png,Orange,No,980.0,245.0,51.0,Orange,Blue,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Active,sporty; work,3.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsHalfBasketball3,849.0,11309.0,iHFbTwYkKaqut6RnX
basketball shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBasketball5.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBasketball5.png,Yellow,No,980.0,245.0,51.0,Yellow,Green,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Active,sporty; work,4.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsHalfBasketball5,849.0,11311.0,zjahPrxJ4ZBRcnq74
basketball shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBasketball2.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBasketball2.png,Green,No,980.0,245.0,51.0,Green,Orange,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Active,sporty; work,5.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsHalfBasketball2,849.0,11308.0,KCggjKmE8js3MG6bq
basketball shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBasketball6.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBasketball6.png,Light blue,No,980.0,245.0,51.0,Light blue,Blue,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Active,sporty; work,6.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsHalfBasketball6,849.0,11312.0,iDr7MMuWGDqgsh5Be
basketball shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBasketball4.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBasketball4.png,Blue,No,980.0,245.0,51.0,Blue,Red,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Active,sporty; work,7.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsHalfBasketball4,849.0,11310.0,4iB4fmJjkKNNzWJBS
basketball shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBasketball0.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBasketball0.png,Purple,No,980.0,245.0,51.0,Purple,Yellow,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Active,sporty; work,8.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsHalfBasketball0,849.0,5720.0,yTsGx7eQh4JWNdXB2
bell-bottoms,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsWideBellbottoms0.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsWideBellbottoms0.png,Orange,No,1320.0,330.0,51.0,Orange,Orange,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Gorgeous,everyday,1.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsWideBellbottoms0,327.0,4364.0,sAGeX7YksW4qTsRz9
bell-bottoms,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsWideBellbottoms3.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsWideBellbottoms3.png,Green,No,1320.0,330.0,51.0,Green,Green,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Yes,Gorgeous,everyday,2.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsWideBellbottoms3,327.0,9272.0,tn3suswYrh2ZcD649
bell-bottoms,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsWideBellbottoms4.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsWideBellbottoms4.png,Blue,No,1320.0,330.0,51.0,Blue,Blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Gorgeous,everyday,3.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsWideBellbottoms4,327.0,9273.0,mRdLrYzxuYuP7yqB9
bell-bottoms,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsWideBellbottoms1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsWideBellbottoms1.png,Brown,No,1320.0,330.0,51.0,Brown,Brown,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Gorgeous,everyday,4.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsWideBellbottoms1,327.0,9270.0,AhZR3qCS8owvTgWS9
bell-bottoms,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsWideBellbottoms2.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsWideBellbottoms2.png,Beige,No,1320.0,330.0,51.0,Beige,Beige,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Gorgeous,everyday,5.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsWideBellbottoms2,327.0,9271.0,h5fKoKik2BmT6JPAb
belted wraparound skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongWrap1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongWrap1.png,Red,No,1040.0,260.0,51.0,Red,Black,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Simple,everyday; comfy,1.0,No,For sale,1.0.0,1.0.0,BottomsTexSkirtLongWrap1,429.0,8721.0,TuKyTJdQckfqf2nae
belted wraparound skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongWrap0.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongWrap0.png,Yellow,No,1040.0,260.0,51.0,Yellow,Black,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Simple,everyday; comfy,2.0,No,For sale,1.0.0,1.0.0,BottomsTexSkirtLongWrap0,429.0,4545.0,6j99icX2C8n2NQSxe
belted wraparound skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongWrap2.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongWrap2.png,Green,No,1040.0,260.0,51.0,Green,Black,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Simple,everyday; comfy,3.0,No,For sale,1.0.0,1.0.0,BottomsTexSkirtLongWrap2,429.0,8722.0,FCtNFz4XG85wdDcbu
belted wraparound skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongWrap3.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongWrap3.png,Blue,No,1040.0,260.0,51.0,Blue,Black,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Simple,everyday; comfy,4.0,No,For sale,1.0.0,1.0.0,BottomsTexSkirtLongWrap3,429.0,8723.0,Z3y37JrC5nnCjyFgC
boa shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBoa7.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBoa7.png,Black,No,1200.0,300.0,51.0,Black,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,No,Active,everyday; outdoorsy,1.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsHalfBoa7,734.0,9120.0,3Z3cYyfhRkhmDKKKP
boa shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBoa4.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBoa4.png,Red,No,1200.0,300.0,51.0,Red,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,No,Active,everyday; outdoorsy,2.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsHalfBoa4,734.0,9117.0,Ydd3mZGaYrNupaAop
boa shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBoa5.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBoa5.png,Orange,No,1200.0,300.0,51.0,Orange,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,Yes,Active,everyday; outdoorsy,3.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsHalfBoa5,734.0,9118.0,nmpe6DS922LwufDP5
boa shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBoa1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBoa1.png,Avocado,No,1200.0,300.0,51.0,Green,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,No,Active,everyday; outdoorsy,4.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsHalfBoa1,734.0,9114.0,diDTCzmh2EfcQ8Est
boa shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBoa6.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBoa6.png,Peacock blue,No,1200.0,300.0,51.0,Light blue,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,No,Active,everyday; outdoorsy,5.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsHalfBoa6,734.0,9119.0,y3bqMB4hjKdxHjeRQ
boa shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBoa3.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBoa3.png,Blue,No,1200.0,300.0,51.0,Blue,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,No,Active,everyday; outdoorsy,6.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsHalfBoa3,734.0,9116.0,uNMeoCpWFsgQnhyGJ
boa shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBoa0.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBoa0.png,Purple,No,1200.0,300.0,51.0,Purple,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,No,Active,everyday; outdoorsy,7.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsHalfBoa0,734.0,5419.0,hHHSAxKeTKy94FrLh
boa shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBoa2.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBoa2.png,Beige,No,1200.0,300.0,51.0,Beige,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,No,Active,everyday; outdoorsy,8.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsHalfBoa2,734.0,9115.0,rxrscQDTFaB6T3CS3
boa skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxBoa3.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxBoa3.png,Red,No,1300.0,325.0,51.0,Red,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,No,Active,everyday; outdoorsy,1.0,No,For sale,1.0.0,1.0.0,BottomsTexSkirtBoxBoa3,733.0,9109.0,ef7PeMEWM8geRb2JX
boa skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxBoa4.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxBoa4.png,Yellow,No,1300.0,325.0,51.0,Yellow,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,No,Active,everyday; outdoorsy,2.0,No,For sale,1.0.0,1.0.0,BottomsTexSkirtBoxBoa4,733.0,9110.0,sBZFNvhEg4Bsi8WLM
boa skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxBoa0.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxBoa0.png,Green,No,1300.0,325.0,51.0,Green,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,No,Active,everyday; outdoorsy,3.0,No,For sale,1.0.0,1.0.0,BottomsTexSkirtBoxBoa0,733.0,5418.0,nFzxYepHxpSzdLHrw
boa skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxBoa5.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxBoa5.png,Light blue,No,1300.0,325.0,51.0,Light blue,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,No,Active,everyday; outdoorsy,4.0,No,For sale,1.0.0,1.0.0,BottomsTexSkirtBoxBoa5,733.0,9111.0,JzeKHWEDDS5k9KpBy
boa skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxBoa1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxBoa1.png,Blue,No,1300.0,325.0,51.0,Blue,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,No,Active,everyday; outdoorsy,5.0,No,For sale,1.0.0,1.0.0,BottomsTexSkirtBoxBoa1,733.0,9107.0,MYjHWe4KXX2bDwP6k
boa skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxBoa2.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxBoa2.png,Purple,No,1300.0,325.0,51.0,Purple,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,No,Active,everyday; outdoorsy,6.0,No,For sale,1.0.0,1.0.0,BottomsTexSkirtBoxBoa2,733.0,9108.0,eSPxEhawpKLm2ceMk
boa skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxBoa7.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxBoa7.png,Brown,No,1300.0,325.0,51.0,Brown,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,Yes,Active,everyday; outdoorsy,7.0,No,For sale,1.0.0,1.0.0,BottomsTexSkirtBoxBoa7,733.0,9113.0,uDTLrmXkDEqToQbJ3
boa skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxBoa6.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxBoa6.png,Beige,No,1300.0,325.0,51.0,Beige,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,No,Active,everyday; outdoorsy,8.0,No,For sale,1.0.0,1.0.0,BottomsTexSkirtBoxBoa6,733.0,9112.0,GtiB2HMiy56rLvCYA
bomber-style skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongMaone1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongMaone1.png,Black,No,1320.0,330.0,51.0,Black,Black,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Cool,everyday; outdoorsy,1.0,No,For sale,1.0.0,1.0.0,BottomsTexSkirtLongMaone1,851.0,11663.0,Bp7H3PBvjLpJycCqv
bomber-style skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongMaone0.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongMaone0.png,Avocado,No,1320.0,330.0,51.0,Green,Green,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Cool,everyday; outdoorsy,2.0,No,For sale,1.0.0,1.0.0,BottomsTexSkirtLongMaone0,851.0,5722.0,jhqr7bGfmAXM6uK3x
bomber-style skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongMaone2.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongMaone2.png,Blue,No,1320.0,330.0,51.0,Blue,Blue,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Cool,everyday; outdoorsy,3.0,No,For sale,1.0.0,1.0.0,BottomsTexSkirtLongMaone2,851.0,11664.0,EQerBX3MAFt27siGH
bomber-style skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongMaone3.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongMaone3.png,Brown,No,1320.0,330.0,51.0,Brown,Brown,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Cool,everyday; outdoorsy,4.0,No,For sale,1.0.0,1.0.0,BottomsTexSkirtLongMaone3,851.0,11665.0,xy5EjisA8WfpzSGcW
botanical shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBotanical1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBotanical1.png,White,No,700.0,175.0,51.0,White,Red,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Summer,No,Cool,comfy; vacation,1.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsHalfBotanical1,902.0,9193.0,iDnWPtRoBpziJEEwt
botanical shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBotanical0.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBotanical0.png,Black,No,700.0,175.0,51.0,Black,Red,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Summer,No,Cool,comfy; vacation,2.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsHalfBotanical0,902.0,5854.0,kFwQPwqhakmXTPHC2
box-pleated skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxBoxpleats2.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxBoxpleats2.png,Red,No,1320.0,330.0,51.0,Red,Red,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Simple,everyday; vacation,1.0,No,For sale,1.0.0,1.0.0,BottomsTexSkirtBoxBoxpleats2,842.0,11787.0,KxYmNHwegBmRL9uxJ
