Name,Image,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Kit Cost,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,HHA Category,Interact,Tag,Outdoor,Lighting Type,Door Deco,Catalog,Version Added,Version Unlocked,Filename,Variant ID,Internal ID,Unique Entry ID
autograph cards,https://acnhcdn.com/latest/FtrIcon/FtrAutograph_Remake_2_0.png,Illustration,NA,Musician's signature,Signature,No,No,Yes,1.0,1400.0,350.0,Beige,White,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",151.0,school,den,None,None,None,No,Study,No,No lighting,No,For sale,1.0.0,1.0.0,FtrAutograph_Remake_2_0,2_0,1899.0,mvuDgsouHqTwejnpx
autograph cards,https://acnhcdn.com/latest/FtrIcon/FtrAutograph_Remake_2_1.png,Illustration,NA,Comedian's signature,Signature,No,No,Yes,1.0,1400.0,350.0,Beige,White,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",151.0,school,den,None,None,None,No,Study,No,No lighting,No,For sale,1.0.0,1.0.0,FtrAutograph_Remake_2_1,2_1,1899.0,3brxKrQHt4tHAmJ5S
autograph cards,https://acnhcdn.com/latest/FtrIcon/FtrAutograph_Remake_3_0.png,Words of wisdom,NA,Musician's signature,Signature,No,No,Yes,1.0,1400.0,350.0,Beige,White,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",151.0,school,den,None,None,None,No,Study,No,No lighting,No,For sale,1.0.0,1.0.0,FtrAutograph_Remake_3_0,3_0,1899.0,7c4SDPyoLDewHz9Pg
autograph cards,https://acnhcdn.com/latest/FtrIcon/FtrAutograph_Remake_3_1.png,Words of wisdom,NA,Comedian's signature,Signature,No,No,Yes,1.0,1400.0,350.0,Beige,White,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",151.0,school,den,None,None,None,No,Study,No,No lighting,No,For sale,1.0.0,1.0.0,FtrAutograph_Remake_3_1,3_1,1899.0,yRB4GuGA6L86EBg5K
bamboo wall decoration,https://acnhcdn.com/latest/FtrIcon/FtrBambooFlowerwall_Remake_0_0.png,Green bamboo,Bamboo,NA,NA,Yes,Yes,No,1.0,NFS,160.0,Green,Red,0.5x1 ,Crafting,,201.0,zen-style,None,bamboo,None,Plant,No,Plants,No,No lighting,No,Not for sale,1.0.0,1.0.0,FtrBambooFlowerwall_Remake_0_0,0_0,3558.0,pbECjLkaDPDQ5dNXp
bamboo wall decoration,https://acnhcdn.com/latest/FtrIcon/FtrBambooFlowerwall_Remake_1_0.png,Dried bamboo,Bamboo,NA,NA,Yes,Yes,No,1.0,NFS,160.0,Yellow,Red,0.5x1 ,Crafting,,201.0,zen-style,None,bamboo,None,Plant,No,Plants,No,No lighting,No,Not for sale,1.0.0,1.0.0,FtrBambooFlowerwall_Remake_1_0,1_0,3558.0,QRLmHZaqguF5iy3hC
bamboo wall decoration,https://acnhcdn.com/latest/FtrIcon/FtrBambooFlowerwall_Remake_2_0.png,Smoke-cured bamboo,Bamboo,NA,NA,Yes,Yes,No,1.0,NFS,160.0,Brown,Green,0.5x1 ,Crafting,,201.0,zen-style,None,bamboo,None,Plant,No,Plants,No,No lighting,No,Not for sale,1.0.0,1.0.0,FtrBambooFlowerwall_Remake_2_0,2_0,3558.0,mNdcYvRwAHytnXPkp
bathroom towel rack,https://acnhcdn.com/latest/FtrIcon/FtrTowelrackWall_Remake_0_0.png,Silver,NA,NA,NA,No,No,No,NA,1400.0,350.0,Gray,White,1x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,151.0,bathroom,None,None,None,None,No,Bathroom Things,No,No lighting,No,For sale,1.0.0,1.0.0,FtrTowelrackWall_Remake_0_0,0_0,4030.0,3mD27HBCBkjy4beMd
bathroom towel rack,https://acnhcdn.com/latest/FtrIcon/FtrTowelrackWall_Remake_1_0.png,Gold,NA,NA,NA,No,No,No,NA,1400.0,350.0,Yellow,Brown,1x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,151.0,bathroom,None,None,None,None,No,Bathroom Things,No,No lighting,No,For sale,1.0.0,1.0.0,FtrTowelrackWall_Remake_1_0,1_0,4030.0,diaLMBMgpNoGW7dmg
bathroom towel rack,https://acnhcdn.com/latest/FtrIcon/FtrTowelrackWall_Remake_2_0.png,Copper,NA,NA,NA,No,No,No,NA,1400.0,350.0,Brown,Pink,1x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,151.0,bathroom,None,None,None,None,No,Bathroom Things,No,No lighting,No,For sale,1.0.0,1.0.0,FtrTowelrackWall_Remake_2_0,2_0,4030.0,WKsy8zDRasXY5xQTt
bathroom towel rack,https://acnhcdn.com/latest/FtrIcon/FtrTowelrackWall_Remake_3_0.png,Black,NA,NA,NA,No,No,No,NA,1400.0,350.0,Black,Gray,1x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,151.0,bathroom,None,None,None,None,No,Bathroom Things,No,No lighting,No,For sale,1.0.0,1.0.0,FtrTowelrackWall_Remake_3_0,3_0,4030.0,o9DTtEZtFwAwXyZw2
blue rose wreath,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentWreathRoseUrtraRare.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,20000.0,Blue,Blue,1x1 ,Crafting,,103.0,fancy,None,flowers,None,None,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,1.0.0,FtrDoorOrnamentWreathRoseUrtraRare,NA,5772.0,WAhbxkq89fSuMSSNa
bone doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorPlateBone_Remake_0_0.png,Brown,Color,NA,NA,Yes,Yes,No,1.0,NFS,360.0,Brown,Beige,1x1 ,Crafting,,103.0,child's room,living room,None,None,None,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,1.0.0,FtrDoorPlateBone_Remake_0_0,0_0,4751.0,GWsheTRiG46HjezX3
bone doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorPlateBone_Remake_1_0.png,White,Color,NA,NA,Yes,Yes,No,1.0,NFS,360.0,White,Red,1x1 ,Crafting,,103.0,child's room,living room,None,None,None,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,1.0.0,FtrDoorPlateBone_Remake_1_0,1_0,4751.0,DKpXvEcErego2mzTR
bone doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorPlateBone_Remake_2_0.png,Black,Color,NA,NA,Yes,Yes,No,1.0,NFS,360.0,Black,Beige,1x1 ,Crafting,,103.0,child's room,living room,None,None,None,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,1.0.0,FtrDoorPlateBone_Remake_2_0,2_0,4751.0,NzaREJBzeZgh5Dj8Z
bone doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorPlateBone_Remake_3_0.png,Pink,Color,NA,NA,Yes,Yes,No,1.0,NFS,360.0,Pink,Red,1x1 ,Crafting,,103.0,child's room,living room,None,None,None,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,1.0.0,FtrDoorPlateBone_Remake_3_0,3_0,4751.0,ZWgvwP6XWE92ueBg7
bone doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorPlateBone_Remake_4_0.png,Red,Color,NA,NA,Yes,Yes,No,1.0,NFS,360.0,Red,Beige,1x1 ,Crafting,,103.0,child's room,living room,None,None,None,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,1.0.0,FtrDoorPlateBone_Remake_4_0,4_0,4751.0,srNuKC9nZL6Tq8dCL
bone doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorPlateBone_Remake_5_0.png,Yellow,Color,NA,NA,Yes,Yes,No,1.0,NFS,360.0,Yellow,Brown,1x1 ,Crafting,,103.0,child's room,living room,None,None,None,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,1.0.0,FtrDoorPlateBone_Remake_5_0,5_0,4751.0,zL68LPrwNxepQii85
bone doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorPlateBone_Remake_6_0.png,Blue,Color,NA,NA,Yes,Yes,No,1.0,NFS,360.0,Blue,White,1x1 ,Crafting,,103.0,child's room,living room,None,None,None,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,1.0.0,FtrDoorPlateBone_Remake_6_0,6_0,4751.0,TRnRBfdFBygGPv3To
bone doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorPlateBone_Remake_7_0.png,Natural wood,Color,NA,NA,Yes,Yes,No,1.0,NFS,360.0,Beige,Brown,1x1 ,Crafting,,103.0,child's room,living room,None,None,None,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,1.0.0,FtrDoorPlateBone_Remake_7_0,7_0,4751.0,dpi3G97osXcuEgpQv
boomerang,https://acnhcdn.com/latest/FtrIcon/FtrBoomerang_Remake_0_0.png,Natural,Design,NA,NA,Yes,Yes,No,1.0,NFS,360.0,Brown,Beige,1x0.5 ,Crafting,,103.0,child's room,None,None,None,None,No,Toy,No,No lighting,No,Not for sale,1.0.0,1.0.0,FtrBoomerang_Remake_0_0,0_0,682.0,ckBkMWTsoQs9DqJyY
boomerang,https://acnhcdn.com/latest/FtrIcon/FtrBoomerang_Remake_1_0.png,Green & orange,Design,NA,NA,Yes,Yes,No,1.0,NFS,360.0,Green,Orange,1x0.5 ,Crafting,,103.0,child's room,None,None,None,None,No,Toy,No,No lighting,No,Not for sale,1.0.0,1.0.0,FtrBoomerang_Remake_1_0,1_0,682.0,vzCmcxEKbdd3QwJZC
boomerang,https://acnhcdn.com/latest/FtrIcon/FtrBoomerang_Remake_2_0.png,Dark brown,Design,NA,NA,Yes,Yes,No,1.0,NFS,360.0,Brown,Black,1x0.5 ,Crafting,,103.0,child's room,None,None,None,None,No,Toy,No,No lighting,No,Not for sale,1.0.0,1.0.0,FtrBoomerang_Remake_2_0,2_0,682.0,CDsTmvKkhfAfvRM29
boomerang,https://acnhcdn.com/latest/FtrIcon/FtrBoomerang_Remake_3_0.png,Red & black,Design,NA,NA,Yes,Yes,No,1.0,NFS,360.0,Red,Black,1x0.5 ,Crafting,,103.0,child's room,None,None,None,None,No,Toy,No,No lighting,No,Not for sale,1.0.0,1.0.0,FtrBoomerang_Remake_3_0,3_0,682.0,gxzuuSAcAGoXWT7gy
boomerang,https://acnhcdn.com/latest/FtrIcon/FtrBoomerang_Remake_4_0.png,White & blue,Design,NA,NA,Yes,Yes,No,1.0,NFS,360.0,White,Light blue,1x0.5 ,Crafting,,103.0,child's room,None,None,None,None,No,Toy,No,No lighting,No,Not for sale,1.0.0,1.0.0,FtrBoomerang_Remake_4_0,4_0,682.0,FyvCZvwaADP3n5jMt
breaker,https://acnhcdn.com/latest/FtrIcon/FtrBreaker.png,NA,NA,NA,NA,No,No,No,NA,820.0,205.0,White,Black,1x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",151.0,garage,facility,None,None,Appliance,No,Home Appliances,No,No lighting,No,For sale,1.0.0,1.0.0,FtrBreaker,NA,875.0,qkoNJc3xgRsWMkDiy
bronze HHA plaque,https://acnhcdn.com/latest/FtrIcon/FtrShieldHhaBronze.png,NA,NA,NA,NA,No,No,No,NA,NFS,400.0,Brown,Red,1x1 ,HHA,,573.0,living room,expensive,None,None,None,No,Museum,No,No lighting,No,Not for sale,1.0.0,1.0.0,FtrShieldHhaBronze,NA,7037.0,PN2tS6ktAtJor7dYQ
broom and dustpan,https://acnhcdn.com/latest/FtrIcon/FtrCleaningset_Remake_0_0.png,Natural,NA,NA,NA,No,No,No,NA,910.0,227.0,Brown,Gray,1x1.5 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,151.0,school,None,None,None,None,No,Supplies,No,No lighting,No,For sale,1.0.0,1.0.0,FtrCleaningset_Remake_0_0,0_0,3967.0,ng3LSLuHpPTEwNfED
broom and dustpan,https://acnhcdn.com/latest/FtrIcon/FtrCleaningset_Remake_1_0.png,White,NA,NA,NA,No,No,No,NA,910.0,227.0,White,Gray,1x1.5 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,151.0,school,None,None,None,None,No,Supplies,No,No lighting,No,For sale,1.0.0,1.0.0,FtrCleaningset_Remake_1_0,1_0,3967.0,3XZn5qtRhWhh5J8TH
broom and dustpan,https://acnhcdn.com/latest/FtrIcon/FtrCleaningset_Remake_2_0.png,Dark brown,NA,NA,NA,No,No,No,NA,910.0,227.0,Brown,Black,1x1.5 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,151.0,school,None,None,None,None,No,Supplies,No,No lighting,No,For sale,1.0.0,1.0.0,FtrCleaningset_Remake_2_0,2_0,3967.0,AP7AP7JTcGdCpkYwA
broom and dustpan,https://acnhcdn.com/latest/FtrIcon/FtrCleaningset_Remake_3_0.png,Colorful,NA,NA,NA,No,No,No,NA,910.0,227.0,Pink,Brown,1x1.5 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,151.0,school,None,None,None,None,No,Supplies,No,No lighting,No,For sale,1.0.0,1.0.0,FtrCleaningset_Remake_3_0,3_0,3967.0,zbGz5Z3N9daD8vogA
bug plaque,https://acnhcdn.com/latest/FtrIcon/FtrMuseumInsectWall.png,NA,NA,NA,NA,No,No,No,NA,NFS,300.0,Yellow,Brown,1x1,International Museum Day,Reward for completing the Stamp Rally in the bug exhibit,0.0,expensive,den,None,None,None,No,Museum,No,No lighting,No,Not for sale,1.2.0,1.2.0b,FtrMuseumInsectWall,0_0,12485.0,qpp8eyzBrCe7eFFfg
Bunny Day glowy garland,https://acnhcdn.com/latest/FtrIcon/FtrEggLampWall.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,2400.0,Colorful,Colorful,2x1,Crafting,,351.0,fancy,party,Bunny Day,None,None,Yes,Lamp,No,Emission,No,Not for sale,1.1.0,1.1.0a,FtrEggLampWall,NA,12417.0,5BcF8Sk7rTzrG3pzr
Bunny Day wall clock,https://acnhcdn.com/latest/FtrIcon/FtrEggClock.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,1200.0,Light blue,Colorful,1x1.5,Crafting,,351.0,fancy,None,Bunny Day,None,Clock,Yes,Clock,No,No lighting,No,Not for sale,1.1.0,1.1.0a,FtrEggClock,NA,12418.0,Tb7KSuoRanow4ekqm
Bunny Day wreath,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentWreathEaster.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,2400.0,None,None,1x1,Crafting,,351.0,fancy,party,Bunny Day,None,None,No,House Door Decor,No,No lighting,Yes,Not for sale,1.1.0,1.1.0a,FtrDoorOrnamentWreathEaster,NA,12517.0,4HcJP4W3RFWRSbspS
butterfly-fish model,https://acnhcdn.com/latest/FtrIcon/FtrFishChouchouuoWall.png,NA,NA,NA,NA,No,No,No,NA,1300.0,325.0,Yellow,Yellow,1x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",151.0,ocean,facility,None,None,None,No,Special Fish,No,No lighting,No,For sale,1.0.0,1.0.0,FtrFishChouchouuoWall,NA,11182.0,QgzRi2QqTEcpKac5q
cherry lamp,https://acnhcdn.com/latest/FtrIcon/FtrFruitsLampW_Remake_0_0.png,Cherry,Fruit type,NA,NA,Yes,Yes,No,4.0,NFS,2400.0,Red,Green,1x1 ,Crafting,,103.0,fancy,None,fruits,cherry,Lighting,Yes,Lamp,No,Fluorescent,No,Not for sale,1.0.0,1.0.0,FtrFruitsLampW_Remake_0_0,0_0,4012.0,LvZKcdaWM6pSLdxni
cherry lamp,https://acnhcdn.com/latest/FtrIcon/FtrFruitsLampW_Remake_1_0.png,Black cherry,Fruit type,NA,NA,Yes,Yes,No,4.0,NFS,2400.0,Red,Green,1x1 ,Crafting,,103.0,fancy,None,fruits,cherry,Lighting,Yes,Lamp,No,Fluorescent,No,Not for sale,1.0.0,1.0.0,FtrFruitsLampW_Remake_1_0,1_0,4012.0,NWu6WpRu8MpRXPwii
cherry-blossom clock,https://acnhcdn.com/latest/FtrIcon/FtrSakuraClockW_Remake_0_0.png,Pink,Color,NA,NA,Yes,Yes,No,4.0,NFS,2750.0,Pink,Pink,1x1 ,Crafting,,201.0,fancy,None,cherry blossoms,None,Clock,Yes,Clock,No,No lighting,No,Not for sale,1.0.0,1.0.0,FtrSakuraClockW_Remake_0_0,0_0,6832.0,tb9y9v6vrf98WExq7
cherry-blossom clock,https://acnhcdn.com/latest/FtrIcon/FtrSakuraClockW_Remake_1_0.png,Pink-white,Color,NA,NA,Yes,Yes,No,4.0,NFS,2750.0,Pink,White,1x1 ,Crafting,,201.0,fancy,None,cherry blossoms,None,Clock,Yes,Clock,No,No lighting,No,Not for sale,1.0.0,1.0.0,FtrSakuraClockW_Remake_1_0,1_0,6832.0,iw6Qpmkn6qEaenEtP
chic cosmos wreath,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentWreathCosmosRare.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,4800.0,Black,Black,1x1 ,Crafting,,103.0,fancy,None,flowers,None,None,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,1.0.0,FtrDoorOrnamentWreathCosmosRare,NA,5764.0,DgLEZbDS2BsJ59K78
chic windflower wreath,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentWreathAnemoneRare.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,4800.0,Purple,Purple,1x1 ,Crafting,,103.0,fancy,None,flowers,None,None,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,1.0.0,FtrDoorOrnamentWreathAnemoneRare,NA,5765.0,tBJvNsSQvk8ajonsT
coconut wall planter,https://acnhcdn.com/latest/FtrIcon/FtrPlanterPalm.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,600.0,Green,Beige,1x1.5 ,Crafting,,103.0,ocean,living room,None,None,Plant,No,Plants,No,No lighting,No,Not for sale,1.0.0,1.0.0,FtrPlanterPalm,NA,4130.0,wsXGBE5N9NwenYTRj
cool hyacinth wreath,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentWreathHyacinthMix.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,1440.0,Blue,Orange,1x1 ,Crafting,,103.0,fancy,None,flowers,None,None,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,1.0.0,FtrDoorOrnamentWreathHyacinthMix,NA,5750.0,MLMnpWFmufqDeg479
cool pansy wreath,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentWreathPansyRare.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,4800.0,Purple,Purple,1x1 ,Crafting,,103.0,fancy,None,flowers,None,None,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,1.0.0,FtrDoorOrnamentWreathPansyRare,NA,5767.0,wS4t24ixhhAnsRXFB
cool windflower wreath,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentWreathAnemoneMix.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,1200.0,Blue,Blue,1x1 ,Crafting,,103.0,fancy,None,flowers,None,None,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,1.0.0,FtrDoorOrnamentWreathAnemoneMix,NA,5746.0,uZT5wfceZaKMP2nZZ
corkboard,https://acnhcdn.com/latest/FtrIcon/FtrCorkboard_Remake_0_0.png,Natural,NA,Apple,Favorite card,No,No,Yes,1.0,1400.0,350.0,Beige,Red,2x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,151.0,school,office,None,None,None,No,Study,No,No lighting,No,For sale,1.0.0,1.0.0,FtrCorkboard_Remake_0_0,0_0,1783.0,5QL4Epdhwtt3e6CKB
corkboard,https://acnhcdn.com/latest/FtrIcon/FtrCorkboard_Remake_0_1.png,Natural,NA,Fish,Favorite card,No,No,Yes,1.0,1400.0,350.0,Beige,Blue,2x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,151.0,school,office,None,None,None,No,Study,No,No lighting,No,For sale,1.0.0,1.0.0,FtrCorkboard_Remake_0_1,0_1,1783.0,QBTmJYYjs9Bjx9fvz
corkboard,https://acnhcdn.com/latest/FtrIcon/FtrCorkboard_Remake_0_2.png,Natural,NA,Flower,Favorite card,No,No,Yes,1.0,1400.0,350.0,Beige,Green,2x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,151.0,school,office,None,None,None,No,Study,No,No lighting,No,For sale,1.0.0,1.0.0,FtrCorkboard_Remake_0_2,0_2,1783.0,eFDwvWFJb58YycAWt
corkboard,https://acnhcdn.com/latest/FtrIcon/FtrCorkboard_Remake_1_0.png,White,NA,Apple,Favorite card,No,No,Yes,1.0,1400.0,350.0,White,Red,2x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,151.0,school,office,None,None,None,No,Study,No,No lighting,No,For sale,1.0.0,1.0.0,FtrCorkboard_Remake_1_0,1_0,1783.0,X5PSeoz28t2QeLAGP
