Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Seasonal Availability,Mannequin Piece,Style,Label Themes,Sort Order,Villager Equippable,Catalog,Version Added,Version Unlocked,Filename,ClothGroup ID,Internal ID,Unique Entry ID
argyle crew socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexArgyle1.png,https://acnhcdn.com/latest/FtrIcon/SocksTexArgyle1.png,Red,No,720.0,180.0,51.0,Red,White,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Elegant,everyday; formal; work,3.0,No,For sale,1.0.0,1.0.0,SocksTexArgyle1,880.0,9921.0,9MeYsgc2wAGCmj4mC
argyle crew socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexArgyle7.png,https://acnhcdn.com/latest/FtrIcon/SocksTexArgyle7.png,Pink,No,720.0,180.0,51.0,Pink,White,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Elegant,everyday; formal; work,4.0,No,For sale,1.0.0,1.0.0,SocksTexArgyle7,880.0,9927.0,9Gibgt5gRyngn6EuR
argyle crew socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexArgyle6.png,https://acnhcdn.com/latest/FtrIcon/SocksTexArgyle6.png,Orange,No,720.0,180.0,51.0,Orange,White,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Elegant,everyday; formal; work,5.0,No,For sale,1.0.0,1.0.0,SocksTexArgyle6,880.0,9926.0,CyRT5FdBTnic9cYrF
argyle crew socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexArgyle2.png,https://acnhcdn.com/latest/FtrIcon/SocksTexArgyle2.png,Green,No,720.0,180.0,51.0,Green,Yellow,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Elegant,everyday; formal; work,6.0,No,For sale,1.0.0,1.0.0,SocksTexArgyle2,880.0,9922.0,dm4YEXfYftcwG3NB8
argyle crew socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexArgyle0.png,https://acnhcdn.com/latest/FtrIcon/SocksTexArgyle0.png,Blue,No,720.0,180.0,51.0,Blue,Light blue,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Elegant,everyday; formal; work,7.0,No,For sale,1.0.0,1.0.0,SocksTexArgyle0,880.0,5806.0,QyJBC6G3E7dzXidaW
argyle crew socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexArgyle3.png,https://acnhcdn.com/latest/FtrIcon/SocksTexArgyle3.png,Beige,No,720.0,180.0,51.0,Beige,Brown,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Elegant,everyday; formal; work,8.0,No,For sale,1.0.0,1.0.0,SocksTexArgyle3,880.0,9923.0,KrrN2AHTcePZaMyMo
back-bow socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexRibbon3.png,https://acnhcdn.com/latest/FtrIcon/SocksTexRibbon3.png,White,No,600.0,150.0,23.0,White,Pink,1x1,NA,Kicks,,Spring,No,Cute,everyday; fairy tale; party; vacation,1.0,No,For sale,1.0.0,1.0.0,SocksTexRibbon3,519.0,9055.0,NXYXEomdp3yqkafZ7
back-bow socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexRibbon2.png,https://acnhcdn.com/latest/FtrIcon/SocksTexRibbon2.png,Black,No,600.0,150.0,23.0,Black,White,1x1,NA,Kicks,,Spring,No,Cute,everyday; fairy tale; party; vacation,2.0,No,For sale,1.0.0,1.0.0,SocksTexRibbon2,519.0,9054.0,NbaHgge5Zf54Y6dQT
back-bow socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexRibbon0.png,https://acnhcdn.com/latest/FtrIcon/SocksTexRibbon0.png,Pink,No,600.0,150.0,23.0,Pink,Black,1x1,NA,Kicks,,Spring,No,Cute,everyday; fairy tale; party; vacation,3.0,No,For sale,1.0.0,1.0.0,SocksTexRibbon0,519.0,4718.0,SerX2gLYQTKxmFi7W
back-bow socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexRibbon1.png,https://acnhcdn.com/latest/FtrIcon/SocksTexRibbon1.png,Yellow,No,600.0,150.0,23.0,Yellow,Green,1x1,NA,Kicks,,Spring,No,Cute,everyday; fairy tale; party; vacation,4.0,No,For sale,1.0.0,1.0.0,SocksTexRibbon1,519.0,9053.0,KE3idPQwqM2kvbNFw
back-bow socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexRibbon5.png,https://acnhcdn.com/latest/FtrIcon/SocksTexRibbon5.png,Peacock blue,No,600.0,150.0,23.0,Green,Pink,1x1,NA,Kicks,,Spring,No,Cute,everyday; fairy tale; party; vacation,5.0,No,For sale,1.0.0,1.0.0,SocksTexRibbon5,519.0,9057.0,ju47pefTtHj739pAr
back-bow socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexRibbon4.png,https://acnhcdn.com/latest/FtrIcon/SocksTexRibbon4.png,Blue,No,600.0,150.0,23.0,Light blue,Yellow,1x1,NA,Kicks,,Spring,No,Cute,everyday; fairy tale; party; vacation,6.0,No,For sale,1.0.0,1.0.0,SocksTexRibbon4,519.0,9056.0,ZuzCi6zDF9G9Swfci
bobby socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexFolded0.png,https://acnhcdn.com/latest/FtrIcon/SocksTexFolded0.png,White,No,480.0,120.0,51.0,White,White,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,Yes,Elegant,formal; work,1.0,No,For sale,1.0.0,1.0.0,SocksTexFolded0,604.0,5171.0,aL52HPePkC84gPQup
bobby socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexFolded1.png,https://acnhcdn.com/latest/FtrIcon/SocksTexFolded1.png,Gray,No,480.0,120.0,51.0,Gray,Gray,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Elegant,formal; work,2.0,No,For sale,1.0.0,1.0.0,SocksTexFolded1,604.0,10017.0,a9aLEHyXSdpHqYLm8
bobby socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexFolded2.png,https://acnhcdn.com/latest/FtrIcon/SocksTexFolded2.png,Black,No,480.0,120.0,51.0,Black,Black,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Elegant,formal; work,3.0,No,For sale,1.0.0,1.0.0,SocksTexFolded2,604.0,10018.0,iby3kB32wD5rkxYod
bobby socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexFolded3.png,https://acnhcdn.com/latest/FtrIcon/SocksTexFolded3.png,Brown,No,480.0,120.0,51.0,Brown,Brown,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Elegant,formal; work,4.0,No,For sale,1.0.0,1.0.0,SocksTexFolded3,604.0,10019.0,ZH9uTJSirjyNrH3Qw
color-blocked socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexMultiblock5.png,https://acnhcdn.com/latest/FtrIcon/SocksTexMultiblock5.png,White,No,840.0,210.0,23.0,White,Colorful,1x1,NA,Kicks,,All Year,No,Cute,everyday,1.0,No,For sale,1.0.0,1.0.0,SocksTexMultiblock5,612.0,9899.0,bxt6nkbfnX6KEKifX
color-blocked socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexMultiblock7.png,https://acnhcdn.com/latest/FtrIcon/SocksTexMultiblock7.png,Pink,No,840.0,210.0,23.0,Pink,Colorful,1x1,NA,Kicks,,All Year,No,Cute,everyday,2.0,No,For sale,1.0.0,1.0.0,SocksTexMultiblock7,612.0,9901.0,3Y9LcSKLMJbT5YJfH
color-blocked socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexMultiblock6.png,https://acnhcdn.com/latest/FtrIcon/SocksTexMultiblock6.png,Lime,No,840.0,210.0,23.0,Green,Colorful,1x1,NA,Kicks,,All Year,No,Cute,everyday,3.0,No,For sale,1.0.0,1.0.0,SocksTexMultiblock6,612.0,9900.0,jDEgNFRCGWgFw5hNq
color-blocked socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexMultiblock1.png,https://acnhcdn.com/latest/FtrIcon/SocksTexMultiblock1.png,Green,No,840.0,210.0,23.0,Green,Colorful,1x1,NA,Kicks,,All Year,No,Cute,everyday,4.0,No,For sale,1.0.0,1.0.0,SocksTexMultiblock1,612.0,9895.0,gSZ3co7FeNLM2DqmZ
color-blocked socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexMultiblock3.png,https://acnhcdn.com/latest/FtrIcon/SocksTexMultiblock3.png,Blue,No,840.0,210.0,23.0,Blue,Colorful,1x1,NA,Kicks,,All Year,No,Cute,everyday,5.0,No,For sale,1.0.0,1.0.0,SocksTexMultiblock3,612.0,9897.0,EKGnqpYcYK5KDre8R
color-blocked socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexMultiblock0.png,https://acnhcdn.com/latest/FtrIcon/SocksTexMultiblock0.png,Purple,No,840.0,210.0,23.0,Purple,Colorful,1x1,NA,Kicks,,All Year,No,Cute,everyday,6.0,No,For sale,1.0.0,1.0.0,SocksTexMultiblock0,612.0,5180.0,5nRBXNdkdjyAjs5RQ
color-blocked socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexMultiblock2.png,https://acnhcdn.com/latest/FtrIcon/SocksTexMultiblock2.png,Brown,No,840.0,210.0,23.0,Brown,Colorful,1x1,NA,Kicks,,All Year,No,Cute,everyday,7.0,No,For sale,1.0.0,1.0.0,SocksTexMultiblock2,612.0,9896.0,tTwmQJF35W2CdDRNL
color-blocked socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexMultiblock4.png,https://acnhcdn.com/latest/FtrIcon/SocksTexMultiblock4.png,Beige,No,840.0,210.0,23.0,Beige,Colorful,1x1,NA,Kicks,,All Year,No,Cute,everyday,8.0,No,For sale,1.0.0,1.0.0,SocksTexMultiblock4,612.0,9898.0,tkbYFgGoKnqAJZ49K
compression tights,https://acnhcdn.com/latest/ClosetIcon/SocksTexCompression4.png,https://acnhcdn.com/latest/FtrIcon/SocksTexCompression4.png,Red,No,600.0,150.0,23.0,Black,Red,1x1,NA,Kicks,,All Year,No,Active,outdoorsy; sporty; work,1.0,No,For sale,1.0.0,1.0.0,SocksTexCompression4,603.0,9793.0,qrFTn5ab3j4nHqzwd
compression tights,https://acnhcdn.com/latest/ClosetIcon/SocksTexCompression2.png,https://acnhcdn.com/latest/FtrIcon/SocksTexCompression2.png,Pink,No,600.0,150.0,23.0,Black,Pink,1x1,NA,Kicks,,All Year,No,Active,outdoorsy; sporty; work,2.0,No,For sale,1.0.0,1.0.0,SocksTexCompression2,603.0,9791.0,SsdRjyHarAqc72Kmv
compression tights,https://acnhcdn.com/latest/ClosetIcon/SocksTexCompression1.png,https://acnhcdn.com/latest/FtrIcon/SocksTexCompression1.png,Yellow,No,600.0,150.0,23.0,Black,Yellow,1x1,NA,Kicks,,All Year,No,Active,outdoorsy; sporty; work,3.0,No,For sale,1.0.0,1.0.0,SocksTexCompression1,603.0,9790.0,otHYAzdH3cf86yKEo
compression tights,https://acnhcdn.com/latest/ClosetIcon/SocksTexCompression3.png,https://acnhcdn.com/latest/FtrIcon/SocksTexCompression3.png,Mint,No,600.0,150.0,23.0,Black,Green,1x1,NA,Kicks,,All Year,No,Active,outdoorsy; sporty; work,4.0,No,For sale,1.0.0,1.0.0,SocksTexCompression3,603.0,9792.0,j6AcTLGBGdk9xgThP
compression tights,https://acnhcdn.com/latest/ClosetIcon/SocksTexCompression0.png,https://acnhcdn.com/latest/FtrIcon/SocksTexCompression0.png,Blue,No,600.0,150.0,23.0,Black,Blue,1x1,NA,Kicks,,All Year,No,Active,outdoorsy; sporty; work,5.0,No,For sale,1.0.0,1.0.0,SocksTexCompression0,603.0,5170.0,Fc8uttzc2hwQM7RKw
country socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexCountry3.png,https://acnhcdn.com/latest/FtrIcon/SocksTexCountry3.png,Black ribbons,No,720.0,180.0,51.0,White,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Elegant,formal; work,1.0,No,For sale,1.0.0,1.0.0,SocksTexCountry3,926.0,8944.0,ptJF3tBrJxAYRLT5T
country socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexCountry0.png,https://acnhcdn.com/latest/FtrIcon/SocksTexCountry0.png,Red ribbons,No,720.0,180.0,51.0,White,Red,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Elegant,formal; work,2.0,No,For sale,1.0.0,1.0.0,SocksTexCountry0,926.0,6044.0,wgBZqqpZomaTLZhcz
country socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexCountry1.png,https://acnhcdn.com/latest/FtrIcon/SocksTexCountry1.png,Green ribbons,No,720.0,180.0,51.0,White,Green,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Elegant,formal; work,3.0,No,For sale,1.0.0,1.0.0,SocksTexCountry1,926.0,8942.0,RWpifRdqLmYQL5dGf
country socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexCountry2.png,https://acnhcdn.com/latest/FtrIcon/SocksTexCountry2.png,Blue ribbons,No,720.0,180.0,51.0,White,Blue,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Elegant,formal; work,4.0,No,For sale,1.0.0,1.0.0,SocksTexCountry2,926.0,8943.0,mDTdqvPWaESchMEGe
crocheted socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexCrocheting1.png,https://acnhcdn.com/latest/FtrIcon/SocksTexCrocheting1.png,Gray,No,600.0,150.0,51.0,Gray,Gray,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Elegant,everyday; comfy,1.0,No,For sale,1.0.0,1.0.0,SocksTexCrocheting1,626.0,8939.0,mopfLb9yhXEj9qXS2
crocheted socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexCrocheting2.png,https://acnhcdn.com/latest/FtrIcon/SocksTexCrocheting2.png,Purple,No,600.0,150.0,51.0,Pink,Pink,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Elegant,everyday; comfy,2.0,No,For sale,1.0.0,1.0.0,SocksTexCrocheting2,626.0,8940.0,PT7ZGkfTfkvtkBmJx
crocheted socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexCrocheting3.png,https://acnhcdn.com/latest/FtrIcon/SocksTexCrocheting3.png,Blue,No,600.0,150.0,51.0,Light blue,Light blue,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Elegant,everyday; comfy,3.0,No,For sale,1.0.0,1.0.0,SocksTexCrocheting3,626.0,8941.0,k8aPtaZcFrRZwZvD6
crocheted socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexCrocheting0.png,https://acnhcdn.com/latest/FtrIcon/SocksTexCrocheting0.png,Beige,No,600.0,150.0,51.0,Beige,Beige,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Elegant,everyday; comfy,4.0,No,For sale,1.0.0,1.0.0,SocksTexCrocheting0,626.0,5202.0,phkn7YMAHEZZFyC3L
denim leggings,https://acnhcdn.com/latest/ClosetIcon/SocksTexDenimleggings1.png,https://acnhcdn.com/latest/FtrIcon/SocksTexDenimleggings1.png,Indigo blue,No,540.0,135.0,51.0,Blue,Blue,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,Yes,Simple,everyday; outdoorsy; sporty,1.0,No,For sale,1.0.0,1.0.0,SocksTexDenimleggings1,539.0,9782.0,zX9ge6E48pkgAtvJG
denim leggings,https://acnhcdn.com/latest/ClosetIcon/SocksTexDenimleggings3.png,https://acnhcdn.com/latest/FtrIcon/SocksTexDenimleggings3.png,Light blue,No,540.0,135.0,51.0,Light blue,Light blue,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Simple,everyday; outdoorsy; sporty,2.0,No,For sale,1.0.0,1.0.0,SocksTexDenimleggings3,539.0,9784.0,kJjSEP42iYeHw2XTP
denim leggings,https://acnhcdn.com/latest/ClosetIcon/SocksTexDenimleggings2.png,https://acnhcdn.com/latest/FtrIcon/SocksTexDenimleggings2.png,Saxon blue,No,540.0,135.0,51.0,Light blue,Light blue,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Simple,everyday; outdoorsy; sporty,3.0,No,For sale,1.0.0,1.0.0,SocksTexDenimleggings2,539.0,9783.0,z4ygu9Huw9NGZBeYZ
denim leggings,https://acnhcdn.com/latest/ClosetIcon/SocksTexDenimleggings0.png,https://acnhcdn.com/latest/FtrIcon/SocksTexDenimleggings0.png,Blue,No,540.0,135.0,51.0,Blue,Blue,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Simple,everyday; outdoorsy; sporty,4.0,No,For sale,1.0.0,1.0.0,SocksTexDenimleggings0,539.0,4745.0,3FSnfcpAYm5Fjbctc
dotted knee-high socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexDotknee3.png,https://acnhcdn.com/latest/FtrIcon/SocksTexDotknee3.png,Gray,No,720.0,180.0,51.0,Gray,Gray,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,Yes,Cute,everyday,1.0,No,For sale,1.0.0,1.0.0,SocksTexDotknee3,1188.0,12181.0,wJw3R2v2MKdSepbvE
dotted knee-high socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexDotknee0.png,https://acnhcdn.com/latest/FtrIcon/SocksTexDotknee0.png,Black,No,720.0,180.0,51.0,Black,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,Yes,Cute,everyday,2.0,No,For sale,1.0.0,1.0.0,SocksTexDotknee0,1188.0,12174.0,NvX65fPWJDEAJdBh8
dotted knee-high socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexDotknee1.png,https://acnhcdn.com/latest/FtrIcon/SocksTexDotknee1.png,Yellow,No,720.0,180.0,51.0,Yellow,Yellow,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Cute,everyday,3.0,No,For sale,1.0.0,1.0.0,SocksTexDotknee1,1188.0,12179.0,2yn8c76aCod8W6H9t
dotted knee-high socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexDotknee2.png,https://acnhcdn.com/latest/FtrIcon/SocksTexDotknee2.png,Cyan,No,720.0,180.0,51.0,Green,Green,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Cute,everyday,4.0,No,For sale,1.0.0,1.0.0,SocksTexDotknee2,1188.0,12180.0,Kvp83zH2Qcp6XeJro
embroidered-flower tights,https://acnhcdn.com/latest/ClosetIcon/SocksTexEmbroidery1.png,https://acnhcdn.com/latest/FtrIcon/SocksTexEmbroidery1.png,Black,No,1000.0,250.0,51.0,Black,White,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Cute,everyday; fairy tale; party,1.0,No,For sale,1.0.0,1.0.0,SocksTexEmbroidery1,628.0,9907.0,SiWtz8aTYoK75JfRz
embroidered-flower tights,https://acnhcdn.com/latest/ClosetIcon/SocksTexEmbroidery2.png,https://acnhcdn.com/latest/FtrIcon/SocksTexEmbroidery2.png,Green,No,1000.0,250.0,51.0,Green,Yellow,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Cute,everyday; fairy tale; party,2.0,No,For sale,1.0.0,1.0.0,SocksTexEmbroidery2,628.0,9908.0,jPQA8CohQNBhSwsiq
embroidered-flower tights,https://acnhcdn.com/latest/ClosetIcon/SocksTexEmbroidery4.png,https://acnhcdn.com/latest/FtrIcon/SocksTexEmbroidery4.png,Blue,No,1000.0,250.0,51.0,Blue,Orange,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Cute,everyday; fairy tale; party,3.0,No,For sale,1.0.0,1.0.0,SocksTexEmbroidery4,628.0,9910.0,fmZu6dNagF4XW6rvd
embroidered-flower tights,https://acnhcdn.com/latest/ClosetIcon/SocksTexEmbroidery5.png,https://acnhcdn.com/latest/FtrIcon/SocksTexEmbroidery5.png,Purple,No,1000.0,250.0,51.0,Purple,Pink,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Cute,everyday; fairy tale; party,4.0,No,For sale,1.0.0,1.0.0,SocksTexEmbroidery5,628.0,9911.0,iivtbk5pG2i2asvBC
embroidered-flower tights,https://acnhcdn.com/latest/ClosetIcon/SocksTexEmbroidery0.png,https://acnhcdn.com/latest/FtrIcon/SocksTexEmbroidery0.png,Brown,No,1000.0,250.0,51.0,Brown,Red,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Cute,everyday; fairy tale; party,5.0,No,For sale,1.0.0,1.0.0,SocksTexEmbroidery0,628.0,5204.0,qAsvxHbnuC6DDNZjG
embroidered-flower tights,https://acnhcdn.com/latest/ClosetIcon/SocksTexEmbroidery3.png,https://acnhcdn.com/latest/FtrIcon/SocksTexEmbroidery3.png,Beige,No,1000.0,250.0,51.0,Beige,Red,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Cute,everyday; fairy tale; party,6.0,No,For sale,1.0.0,1.0.0,SocksTexEmbroidery3,628.0,9909.0,fwcHa7FkHcm4BZdYP
everyday socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexDailysocks5.png,https://acnhcdn.com/latest/FtrIcon/SocksTexDailysocks5.png,White,No,600.0,150.0,51.0,White,White,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,Yes,Simple,everyday; work,1.0,No,For sale,1.0.0,1.0.0,SocksTexDailysocks5,1059.0,10038.0,4s4vWXEwkLbb3efNb
everyday socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexDailysocks3.png,https://acnhcdn.com/latest/FtrIcon/SocksTexDailysocks3.png,Gray,No,600.0,150.0,51.0,Gray,Gray,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Simple,everyday; work,2.0,No,For sale,1.0.0,1.0.0,SocksTexDailysocks3,1059.0,10036.0,RYHfit78bZMtfDcGL
