Name,Image,Variation,Body Title,DIY,Customize,Kit Cost,Uses,Stack Size,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Set,Miles Price,Source,Source Notes,Version Added,Version Unlocked,Filename,Variant ID,Internal ID,Unique Entry ID
colorful watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringColorful_Remake_5_0.png,Purple,Color,No,Yes,1.0,60.0,1.0,2500.0,625.0,0.0,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,1.0.0,ToolWateringColorful_Remake_5_0,5_0,8534.0,fAm9eEkidwn5LSjSd
colorful watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringColorful_Remake_6_0.png,White,Color,No,Yes,1.0,60.0,1.0,2500.0,625.0,0.0,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,1.0.0,ToolWateringColorful_Remake_6_0,6_0,8534.0,4ySFWfB9G3KCq8sKf
colorful watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringColorful_Remake_7_0.png,Black,Color,No,Yes,1.0,60.0,1.0,2500.0,625.0,0.0,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,1.0.0,ToolWateringColorful_Remake_7_0,7_0,8534.0,yLHsKfxS39qTMyZ67
cosmos wand,https://acnhcdn.com/latest/FtrIcon/ToolStickCosmos.png,NA,NA,Yes,No,NA,Unlimited,1.0,NFS,1580.0,0.0,None,None,1x1,None,NA,Crafting,,1.0.0,1.0.0,ToolStickCosmos,NA,5092.0,vNqGM6xMEtteYKoza
elephant watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringElephant_Remake_0_0.png,Gray,Color,No,Yes,1.0,60.0,1.0,2500.0,625.0,0.0,None,None,1x1,None,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,1.0.0,ToolWateringElephant_Remake_0_0,0_0,8535.0,AjAhCPjQAreLmqKCB
elephant watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringElephant_Remake_1_0.png,Green,Color,No,Yes,1.0,60.0,1.0,2500.0,625.0,0.0,None,None,1x1,None,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,1.0.0,ToolWateringElephant_Remake_1_0,1_0,8535.0,JBApgvSrYbJcSmsd2
elephant watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringElephant_Remake_2_0.png,Blue,Color,No,Yes,1.0,60.0,1.0,2500.0,625.0,0.0,None,None,1x1,None,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,1.0.0,ToolWateringElephant_Remake_2_0,2_0,8535.0,HcqA5ggg9XBLsfYNK
elephant watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringElephant_Remake_3_0.png,Pink,Color,No,Yes,1.0,60.0,1.0,2500.0,625.0,0.0,None,None,1x1,None,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,1.0.0,ToolWateringElephant_Remake_3_0,3_0,8535.0,mvF2W6yf4hcXLu3eM
elephant watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringElephant_Remake_4_0.png,Red,Color,No,Yes,1.0,60.0,1.0,2500.0,625.0,0.0,None,None,1x1,None,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,1.0.0,ToolWateringElephant_Remake_4_0,4_0,8535.0,B6oWDPizvZRRBDbop
elephant watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringElephant_Remake_5_0.png,Yellow,Color,No,Yes,1.0,60.0,1.0,2500.0,625.0,0.0,None,None,1x1,None,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,1.0.0,ToolWateringElephant_Remake_5_0,5_0,8535.0,AoZCaqfJYb6TSNctg
elephant watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringElephant_Remake_6_0.png,Light blue,Color,No,Yes,1.0,60.0,1.0,2500.0,625.0,0.0,None,None,1x1,None,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,1.0.0,ToolWateringElephant_Remake_6_0,6_0,8535.0,cBG6avJmvncbTX56k
elephant watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringElephant_Remake_7_0.png,Black,Color,No,Yes,1.0,60.0,1.0,2500.0,625.0,0.0,None,None,1x1,None,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,1.0.0,ToolWateringElephant_Remake_7_0,7_0,8535.0,XphbdnArYGwJp8kmj
fish fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodColorful_Remake_0_0.png,Green,Color,No,Yes,1.0,30.0,1.0,2500.0,625.0,0.0,None,None,1x1,None,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,1.0.0,ToolFishingrodColorful_Remake_0_0,0_0,8471.0,dBNahAnSJkF5q7Wta
fish fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodColorful_Remake_1_0.png,Yellow,Color,No,Yes,1.0,30.0,1.0,2500.0,625.0,0.0,None,None,1x1,None,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,1.0.0,ToolFishingrodColorful_Remake_1_0,1_0,8471.0,ziRQL2REqF652sgkc
fish fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodColorful_Remake_2_0.png,Orange,Color,No,Yes,1.0,30.0,1.0,2500.0,625.0,0.0,None,None,1x1,None,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,1.0.0,ToolFishingrodColorful_Remake_2_0,2_0,8471.0,7id3sXPC6a2qTsM9S
fish fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodColorful_Remake_3_0.png,Light blue,Color,No,Yes,1.0,30.0,1.0,2500.0,625.0,0.0,None,None,1x1,None,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,1.0.0,ToolFishingrodColorful_Remake_3_0,3_0,8471.0,txjiE4Yoi66P59Rpi
fish fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodColorful_Remake_4_0.png,Blue,Color,No,Yes,1.0,30.0,1.0,2500.0,625.0,0.0,None,None,1x1,None,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,1.0.0,ToolFishingrodColorful_Remake_4_0,4_0,8471.0,mQQKH3hfMyn2P4SAT
fish fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodColorful_Remake_5_0.png,Purple,Color,No,Yes,1.0,30.0,1.0,2500.0,625.0,0.0,None,None,1x1,None,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,1.0.0,ToolFishingrodColorful_Remake_5_0,5_0,8471.0,oPumzrhQMfYrdrhfC
fish fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodColorful_Remake_6_0.png,Pink,Color,No,Yes,1.0,30.0,1.0,2500.0,625.0,0.0,None,None,1x1,None,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,1.0.0,ToolFishingrodColorful_Remake_6_0,6_0,8471.0,A44B9ELrDxsrY6HaR
fish fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodColorful_Remake_7_0.png,Red,Color,No,Yes,1.0,30.0,1.0,2500.0,625.0,0.0,None,None,1x1,None,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,1.0.0,ToolFishingrodColorful_Remake_7_0,7_0,8471.0,k6AepGHtwTJhBzxXZ
fish wand,https://acnhcdn.com/latest/FtrIcon/ToolStickFish.png,NA,NA,No,No,NA,Unlimited,1.0,NFS,1500.0,501.0,None,None,1x1,None,NA,Fishing Tourney,,1.0.0,1.0.0,ToolStickFish,NA,8770.0,HrGFzby54HCv326PJ
fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolAngling_Remake_0_0.png,Blue,Color,Yes,Yes,1.0,30.0,1.0,NFS,600.0,0.0,None,None,1x1,None,NA,Crafting,,1.0.0,1.0.0,ToolAngling_Remake_0_0,0_0,2377.0,Y62px4Jy5vaMtN46u
fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolAngling_Remake_1_0.png,Yellow,Color,Yes,Yes,1.0,30.0,1.0,NFS,600.0,0.0,None,None,1x1,None,NA,Crafting,,1.0.0,1.0.0,ToolAngling_Remake_1_0,1_0,2377.0,JLMypnErvJc6n9wS8
fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolAngling_Remake_2_0.png,Green,Color,Yes,Yes,1.0,30.0,1.0,NFS,600.0,0.0,None,None,1x1,None,NA,Crafting,,1.0.0,1.0.0,ToolAngling_Remake_2_0,2_0,2377.0,WTqWoAYMKuJsXjWWv
fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolAngling_Remake_3_0.png,Red,Color,Yes,Yes,1.0,30.0,1.0,NFS,600.0,0.0,None,None,1x1,None,NA,Crafting,,1.0.0,1.0.0,ToolAngling_Remake_3_0,3_0,2377.0,SWX3JZeySqWz8PKQi
fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolAngling_Remake_4_0.png,Purple,Color,Yes,Yes,1.0,30.0,1.0,NFS,600.0,0.0,None,None,1x1,None,NA,Crafting,,1.0.0,1.0.0,ToolAngling_Remake_4_0,4_0,2377.0,PBLScat4po99B5h4k
fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolAngling_Remake_5_0.png,Pink,Color,Yes,Yes,1.0,30.0,1.0,NFS,600.0,0.0,None,None,1x1,None,NA,Crafting,,1.0.0,1.0.0,ToolAngling_Remake_5_0,5_0,2377.0,9bT9ZRhRG3e3WA8Bn
fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolAngling_Remake_6_0.png,White,Color,Yes,Yes,1.0,30.0,1.0,NFS,600.0,0.0,None,None,1x1,None,NA,Crafting,,1.0.0,1.0.0,ToolAngling_Remake_6_0,6_0,2377.0,G58mfRs22f48nF9QA
fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolAngling_Remake_7_0.png,Black,Color,Yes,Yes,1.0,30.0,1.0,NFS,600.0,0.0,None,None,1x1,None,NA,Crafting,,1.0.0,1.0.0,ToolAngling_Remake_7_0,7_0,2377.0,bgrXEg4NvgPjudWar
flimsy axe,https://acnhcdn.com/latest/FtrIcon/ToolAxeStone.png,NA,NA,Yes,No,NA,40.0,1.0,800.0,200.0,0.0,None,None,1x1,None,NA,Nook's Cranny; Crafting,Available after unlocking the axe in the story,1.0.0,1.0.0,ToolAxeStone,NA,3068.0,L79jandXPjEAoQScd
flimsy fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodWood.png,NA,NA,Yes,No,NA,9.5,1.0,400.0,100.0,0.0,None,None,1x1,None,NA,Nook's Cranny; Crafting,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",1.0.0,1.0.0,ToolFishingrodWood,NA,3084.0,qtA9zfSRuaCkmmQXr
flimsy net,https://acnhcdn.com/latest/FtrIcon/ToolNet.png,NA,NA,Yes,No,NA,10.0,1.0,400.0,100.0,0.0,None,None,1x1,None,NA,Nook's Cranny; Crafting,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",1.0.0,1.0.0,ToolNet,NA,2376.0,PHe3aaN2nsXFcQXxN
flimsy shovel,https://acnhcdn.com/latest/FtrIcon/ToolShovelWood.png,NA,NA,Yes,No,NA,40.0,1.0,800.0,200.0,0.0,None,None,1x1,None,NA,Nook's Cranny; Crafting,Available after unlocking the shovel in the story,1.0.0,1.0.0,ToolShovelWood,NA,3082.0,PnLgMCQ34R3HxWqcT
flimsy watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringWood.png,NA,NA,Yes,No,NA,20.0,1.0,800.0,200.0,0.0,None,None,1x1,None,NA,Nook's Cranny; Crafting,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",1.0.0,1.0.0,ToolWateringWood,NA,3083.0,BdRyC6atcvz3KJnnM
