#,Name,Icon Image,Critterpedia Image,Furniture Image,Sell,Shadow,Movement Speed,Total Catches to Unlock,Spawn Rates,NH Jan,NH Feb,NH Mar,NH Apr,NH May,NH Jun,NH Jul,NH Aug,NH Sep,NH Oct,NH Nov,NH Dec,SH Jan,SH Feb,SH Mar,SH Apr,SH May,SH Jun,SH Jul,SH Aug,SH Sep,SH Oct,SH Nov,SH Dec,Size,Surface,Description,Catch phrase,HHA Base Points,HHA Category,Color 1,Color 2,Lighting Type,Icon Filename,Critterpedia Filename,Furniture Filename,Version Added,Version Unlocked,Internal ID,Unique Entry ID
34.0,lobster,https://acnhcdn.com/latest/MenuIcon/Fish54.png,https://acnhcdn.com/latest/BookDiveFishIcon/DiveFishLobsterCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrDiveFishLobster.png,4500.0,Large,Fast,40.0,1–2,All day,NA,NA,All day,All day,All day,NA,NA,NA,NA,NA,All day,NA,NA,NA,NA,NA,All day,All day,NA,NA,All day,All day,All day,1x1,Yes,"The lobster is rather famous for its two large claws. But did you know that, in fact, it has six claws total? Of course, the four tiny claws aren't as threatening as its large ""crusher claw"" is. That pincer can put a hundred pounds of pressure on in a pinch! Just a little something to bear in mind when a lobster tries to shake your hand.",I got a lobster! Lobjective complete.,0.0,Pet,None,None,Fluorescent,Fish54,DiveFishLobster,FtrDiveFishLobster,1.3.0,1.3.0,2849.0,5DadWMEddJREFyXKo
32.0,mantis shrimp,https://acnhcdn.com/latest/MenuIcon/Shako.png,https://acnhcdn.com/latest/BookDiveFishIcon/DiveFishSyakoCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrDiveFishShako.png,2500.0,Small,Medium,20.0,2–8,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,1x1,Yes,"Think carefully before you mock the mantis shrimp for its diminutive size. I warn you, it's itching for a fight! A pugilist through and through, this brightly hued fellow packs a punch unparalleled on land or sea. Not only are its forelimbs shaped like clubs and scythes, its arms are naturally spring-loaded too! Thus the mantis shrimp's high-speed blows crack open crabs and oyster shells with ease. And should you grab it with your hands, you might discover why it's called ""the thumb splitter"" too!",I got a mantis shrimp! Shrimply amazing!,0.0,Pet,None,None,Fluorescent,Shako,DiveFishSyako,FtrDiveFishShako,1.3.0,1.3.0,2845.0,WvZWyzkotj6WQ3tLy
9.0,moon jellyfish,https://acnhcdn.com/latest/MenuIcon/Mizukurage.png,https://acnhcdn.com/latest/BookDiveFishIcon/DiveFishMizukurageCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrDiveFishMizukurage.png,600.0,Small,Very slow,0.0,4–12,NA,NA,NA,NA,NA,NA,All day,All day,All day,NA,NA,NA,All day,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,NA,1x1,Yes,"Ah, the moon jellyfish...what's not to love about this pretty floating flower of the sea... Well, I suppose its tentacles do give a sting when touched...but it's only a mild thing to the likes of us. Other creatures may not be so fond of this translucent beauty. Though who can blame them, really? Moon jellyfish have stinging cells called cnidocytes that kill fish and other small critters that float by. And they use their ""oral arms"" to pull these morsels into their mouths and stomachs. Indeed, one need but observe the moon jellyfish to see how brutal AND beautiful nature can be.",I got a moon jellyfish! Now to find a sun peanutbutterfish.,0.0,Pet,None,None,Fluorescent,Mizukurage,DiveFishMizukurage,FtrDiveFishMizukurage,1.3.0,1.3.0,7245.0,iugx8EqNWqiwv73C7
12.0,mussel,https://acnhcdn.com/latest/MenuIcon/Muhrugai.png,https://acnhcdn.com/latest/BookDiveFishIcon/DiveFishMuhrugaiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrDiveFishMuhrugai.png,1500.0,Small,Slow,0.0,3–8,NA,NA,NA,NA,NA,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,NA,NA,NA,NA,NA,All day,1x1,No,"Did you know the mussel has a beard?! Hoo! It's true! Well, partially true, anyway. Mussels have a special gland that secretes a thing called ""bysuss"" or ""byssal thread."" They use these tough beard-like fibers to anchor themselves to rocks and keep themselves in place. So, you see, the mussel's beard is functional rather than merely stylish. Then again, perhaps all beards should be this way.",I got a mussel! It's been working out,0.0,Pet,None,None,No lighting,Muhrugai,DiveFishMuhrugai,FtrDiveFishMuhrugai,1.3.0,1.3.0,7411.0,M784h47XqSbBSthgT
20.0,octopus,https://acnhcdn.com/latest/MenuIcon/Tako.png,https://acnhcdn.com/latest/BookDiveFishIcon/DiveFishTakoCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrDiveFishTako.png,1200.0,Medium,Slow,0.0,2–8,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,1x1,Yes,"With its eight limbs, three hearts, and surprisingly big brain, the octopus is quite the wonder. It is also an escape artist like no other! You see, the octopus has specialized skin cells that can change color and texture with lightening speed. Thus it can look for all the world like a patch of seabed one minute...and a pile of rocks the next! But the deception doesn't stop there, wot wot. When attacked by a predator, the octopus releases a cloud of ink and -POOF- makes its escape. Let's just call the octopus what it is, shall we? The ninja of the deep!",I got an octopus! It can give four hugs at once!,0.0,Pet,None,None,Fluorescent,Tako,DiveFishTako,FtrDiveFishTako,1.3.0,1.3.0,2854.0,f7amqwd7b3fHnvPFA
13.0,oyster,https://acnhcdn.com/latest/MenuIcon/Kaki.png,https://acnhcdn.com/latest/BookDiveFishIcon/DiveFishOysterCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrDiveFishKaki.png,1100.0,Small,Slow,0.0,5–12,All day,All day,NA,NA,NA,NA,NA,NA,All day,All day,All day,All day,NA,NA,All day,All day,All day,All day,All day,All day,NA,NA,NA,NA,1x1,No,"Oysters are marvelous mollusks and, in many ways, the social butterflies of the seas. That is, these bivalves tend to live attached to rocks in large groups known as oyster beds. These reef-like structures provide home and habitat for a delightful variety of creatures. Mussels, barnacles, and sea anemones have all been known to set up house. Meanwhile, small fish and crabs hide from predators and even raise their young among the snuggling oysters. With all the hubbub, an oyster bed sounds like the last place one would get some sleep!",I got an oyster! It's a little shellfish.,0.0,Pet,None,None,No lighting,Kaki,DiveFishOyster,FtrDiveFishKaki,1.3.0,1.3.0,2833.0,aacYapCp5wKdQDCmB
11.0,pearl oyster,https://acnhcdn.com/latest/MenuIcon/Akoyagai.png,https://acnhcdn.com/latest/BookDiveFishIcon/DiveFishAkoyagaiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrDiveFishAkoyagai.png,2800.0,Small,Medium,20.0,2–4,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,1x1,No,"Hoo, indeed, hoot! What a splendid pearl oyster! Did you know the famed pearl oyster can live for 40 years and grow up to a foot in size? 'Tis true, hootie-hoo! Of course, this briny bivalve is best known for the precious gems it grows within. The pearl-making process begins when an irritant gains access to the delicate insides of the oyster. The intruder is then covered with layer upon layer of ""nacre,"" the same substance used to create its shell. It takes years for a pearl to form, but in the end, the irritant is rendered harmless. Ahh, if only we all had the power to turn things that annoy us... into things of beauty instead.","I got a pearl oyster! Aw, shucks. Don't clam up now!",0.0,Pet,None,None,No lighting,Akoyagai,DiveFishAkoyagai,FtrDiveFishAkoyagai,1.3.0,1.3.0,2838.0,Hr2jZ9XybS3jYFw8H
27.0,red king crab,https://acnhcdn.com/latest/MenuIcon/Tarabagani.png,https://acnhcdn.com/latest/BookDiveFishIcon/DiveFishTarabaganiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrDiveFishTarabagani.png,8000.0,Large,Very fast,80.0,1–2,All day,All day,All day,NA,NA,NA,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,All day,All day,All day,All day,All day,NA,NA,NA,2x1,Yes,"The red king crab is a mighty crustacean to be sure. Though it must be said that there is some debate about its royal lineage. King crabs, unlike other crabs, are thought to be descended from hermit crabs, you see. And have you noticed... GASP! They have but eight legs, though conventional crabs have 10! It matters not, I say. For the red king crab is as regal as can be. Weighing up to 20 pounds with a leg span reaching five feet... I bow to this crab's nobility.",I caught a red king crab! It's royally flushed.,0.0,Pet,None,None,Fluorescent,Tarabagani,DiveFishTarabagani,FtrDiveFishTarabagani,1.3.0,1.3.0,2852.0,F3XTwHJQcfdrJk4vk
14.0,scallop,https://acnhcdn.com/latest/MenuIcon/Hotate.png,https://acnhcdn.com/latest/BookDiveFishIcon/DiveFishHotateCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrDiveFishHotate.png,1200.0,Medium,Slow,5.0,6–8,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,1x1,Yes,"Ah, the scallop! It just goes to show, you can't keep a good bivalve down. While most members of its family are known for staying put, the scallop is a nimble fellow indeed. When a hungry sea star approaches, the scallop can swim away by clap-clap-clapping its shells together! ""How does a scallop know when a predator approaches?"" you ask. Why, it has 200 eyes to see with! It makes one wonder what else the scallop sees with all those eyes... I fear it sees into my very soul!",I got a scallop! It otter be savored.,0.0,Pet,None,None,Fluorescent,Hotate,DiveFishHotate,FtrDiveFishHotate,1.3.0,1.3.0,2839.0,fMwWEu3Zwy6tZdX2X
8.0,sea anemone,https://acnhcdn.com/latest/MenuIcon/Isogintyaku.png,https://acnhcdn.com/latest/BookDiveFishIcon/DiveFishIsogintyakuCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrDiveFishIsogintyaku.png,500.0,Large,Stationary,0.0,3–14,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,1x1,No,"Medusa herself would be impressed by the sea anemone. This pretty predator loves to wave its colorful flowing locks about. But these gorgeous tresses are, in fact, deadly tentacles surrounding a hungry mouth! Triggered by the slightest touch, these tentacles harpoon victims with neurotoxin. The sea anemone then pulls the helpless, hapless prey into its mouth for a spot of lunch! I say, let this be a lesson! Never, ever make an enemy... out of an anemone!",I got a sea anemone! The enemy of my anemone is my afrenome!,0.0,Pet,None,None,Fluorescent,Isogintyaku,DiveFishIsogintyaku,FtrDiveFishIsogintyaku,1.3.0,1.3.0,2840.0,fre7kn6ALvnpnH8yC
3.0,sea cucumber,https://acnhcdn.com/latest/MenuIcon/Namako.png,https://acnhcdn.com/latest/BookDiveFishIcon/DiveFishNamakoCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrDiveFishNamako.png,500.0,Medium,Very slow,0.0,4–12,All day,All day,All day,All day,NA,NA,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,All day,All day,All day,All day,All day,All day,NA,NA,1x1,Yes,"The sea cucumber, much like its relatives the sea urchin and sea star, has no heart nor brain. However, unlike its relatives, it has no shell nor spikes to with which to protect itself either. So how does a softy such as this stay safe in the open ocean? Brace yourself I say… when threatened sea cucumbers jettison their innards out of their backsides! Hoo! Gross but true! The sticky, stringy stuff ensnares predators, allowing the cuke to make its escape and grow its insides back. One might say…the sea cucumber is a GUTSY creature, indeed. Hoo hoo, hee hee! Do forgive me!",I got a sea cucumber! It's a bit cumbersome,0.0,Pet,None,None,Fluorescent,Namako,DiveFishNamako,FtrDiveFishNamako,1.3.0,1.3.0,2842.0,2jxxcGooLMwyyiNQc
2.0,sea grapes,https://acnhcdn.com/latest/MenuIcon/Umibudou.png,https://acnhcdn.com/latest/BookDiveFishIcon/DiveFishUmibudouCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrDiveFishUmibudou.png,900.0,Small,Stationary,0.0,4–12,NA,NA,NA,NA,NA,All day,All day,All day,All day,NA,NA,NA,All day,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,All day,1x1,No,"Sea grapes are a marine algae that look much like their landlocked namesake. That is, they are green pearl-like orbs that cluster tightly along underwater vines. And sea grapes, like regular grapes, are a popular snack food too... albeit of the saltier variety. Fans of the briny delicacy enjoy the way the shiny pearls POP when chewed. It makes one wonder whether sea grape juice might have some appeal? 'Twould leave the drinker with sour grapes, I suppose.",I got some sea grapes! Can't let these go sour.,0.0,Pet,None,None,Fluorescent,Umibudou,DiveFishUmibudou,FtrDiveFishUmibudou,1.3.0,1.3.0,2830.0,eBdtw3eCrMuP9LWyn
4.0,sea pig,https://acnhcdn.com/latest/MenuIcon/Senjunamako.png,https://acnhcdn.com/latest/BookDiveFishIcon/DiveFishSenjunamakoCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrDiveFishSenjunamako.png,10000.0,Small,Very fast,80.0,1,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,NA,NA,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,NA,1x1,Yes,"Never have I seen a creature that walks the line between creepy and cute quite like the sea pig does. Sea pigs are, in fact, a type of sea cucumber that lives deep down on the ocean floor. About four inches long, these soft pinkish oddities use tube-like legs and feelers to get around. Thus they snuffle through the mud, slurping up particles from decaying carcasses. Meanwhile, predators be warned... This little piggy tastes like poison.",I got a sea pig! What's next? Air pigs?,0.0,Pet,None,None,Fluorescent,Senjunamako,DiveFishSenjunamako,FtrDiveFishSenjunamako,1.3.0,1.3.0,7303.0,kxxguvYvS4G3o7E5x
37.0,sea pineapple,https://acnhcdn.com/latest/MenuIcon/Hoya.png,https://acnhcdn.com/latest/BookDiveFishIcon/DiveFishHoyaCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrDiveFishHoya.png,1500.0,Small,Slow,0.0,2–6,NA,NA,NA,All day,All day,All day,All day,All day,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,NA,NA,NA,All day,All day,All day,1x1,Yes,"Try not to gawk as you look upon the sea pineapple. Its peculiar look is simply one of nature's many jokes. Though it may look like a half-rotten hunk of fruit, the sea pineapple is no plant, shellfish, or even sea slug. It's a tunicate, wot wot...a fancy name for a shallow-water filter feeder with a taste for plankton. It should be noted that the sea pineapple looks like a tadpole when it's young and can still swim about. Alas, its youthful cuteness wears off once it attaches itself for good to a rock. Ah, but let's put insults aside! Sea pineapples are full of water, you sea. And I fear we're asking for a squirt in the eye!","I got a sea pineapple! Your move, sea pizzas.",0.0,Pet,None,None,Fluorescent,Hoya,DiveFishHoya,FtrDiveFishHoya,1.3.0,1.3.0,7228.0,e29uLe7tkErhipLfS
10.0,sea slug,https://acnhcdn.com/latest/MenuIcon/Umiushi.png,https://acnhcdn.com/latest/BookDiveFishIcon/DiveFishUmiushiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrDiveFishUmiushi.png,600.0,X-Small,Very slow,0.0,1–12,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,1x1,No,"Imagine, if you will, a land slug...but one dressed in frilly attire full of bold colors, stripes, and spots! That is the sea slug, a gastropod that looks ready to walk the red carpet...or perform beneath a big top. But these clowns are no laughing matter, eh wot. Their garish colors and wild patterns warn predators to steer clear of their stinging, toxic taste. And THAT is how you dress for success, as they say!",I got a sea slug! It's kinda salty about that.,0.0,Pet,None,None,Fluorescent,Umiushi,DiveFishUmiushi,FtrDiveFishUmiushi,1.3.0,1.3.0,2843.0,3YjdEG93fagcXpiuf
