Name,Achievement Description,Achievement Criteria,#,Internal ID,Internal Name,Internal Category,Num of Tiers,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,Tier 6,Tier 1 Reward,Tier 2 Reward,Tier 3 Reward,Tier 4 Reward,Tier 5 Reward,Tier 6 Reward,Tier 1 Modifier,Tier 1 Noun,Tier 2 Modifier,Tier 2 Noun,Tier 3 Modifier,Tier 3 Noun,Tier 4 Modifier,Tier 4 Noun,Tier 5 Modifier,Tier 5 Noun,Tier 6 Modifier,Tier 6 Noun,Sequential,Version Added,Unique Entry ID
Rock-Splitting Champ,"You hit a single rock eight times in a row and knocked some things loose. But did you know that rock whacking is the activity that keeps on giving? Yes, yes! You're getting some Nook Miles now!",Hit a rock with your shovel and obtain all 8 materials from that rock,15.0,57.0,StrikeRock8Times,HHA,1.0,1.0,NA,NA,NA,NA,NA,500.0,NA,NA,NA,NA,NA,Sports-Minded,Muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,1.0.0,hgxFRczyFtmSmiTEG
Bona Fide Bone Finder!,"Congratulations on finding your first fossil! Of course, you'll need some Nook Miles to commemorate the occasion. But don't celebrate too hard. There are more fossils to dig up! Yes, yes!",Dig up your first fossil,16.0,61.0,DigFossil,HHA,1.0,1.0,NA,NA,NA,NA,NA,300.0,NA,NA,NA,NA,NA,Discovered,Fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,1.0.0,za7CbkxtzEysWCFJg
Fossil Assessment,"Yes, yes! You're getting Nook Miles based on the number of fossils you've had assessed. Dig up as many as you can and find out what they are!",Have Blathers assess a specified number of fossils,17.0,62.0,JudgeFossil,HHA,5.0,5.0,30.0,100.0,300.0,500.0,NA,300.0,500.0,1000.0,2000.0,3000.0,NA,Anonymous,Something Or Other,Ancient,Truth,History-Loving,Researcher,Evolving,Scatterbrain,Historic,Discovery,NA,NA,Yes,1.0.0,SYs89hReg8PJPhi7b
Greedy Weeder,"Nook Inc. salutes you for your beautification efforts. Nook Inc. rewards you with Nook Miles for selling weeds. Nook Inc. is quite generous, no?",Sell a specified number of weeds,18.0,37.0,SellWeed,Plant,5.0,50.0,200.0,1000.0,2000.0,3000.0,NA,300.0,500.0,1000.0,2000.0,3000.0,NA,Messy,Lawn Clippings,Omnivorous,Custodian,Herbivorous,Sorter,Vigorous,Sprout,Wild,Beast,NA,NA,Yes,1.0.0,MRjh6LGccgw56xxca
Flower Power,"Planting flowers makes your island more beautiful and can earn you miles. So...grow wild! Yes, yes!",Plant a specified number of flower seeds (digging up and replanting existing flowers does not count),19.0,6.0,PlantFlowerSeed,Plant,5.0,10.0,50.0,100.0,200.0,300.0,NA,300.0,500.0,1000.0,2000.0,3000.0,NA,Greenhouse,Flower,Thorny,Rose,Heavenly,Rejuvenator,Sweet-Smelling,Blossom,Gorgeous,Groom;Bride,NA,NA,Yes,1.0.0,aub4aeJa7i4ps92vt
Flower Tender,"If you encourage floral growth by showering the island's flowers with water, I'll encourage your growth by showering you with Nook Miles!",Water a specified number of flowers,20.0,23.0,WaterPlant,Plant,5.0,10.0,50.0,100.0,500.0,1000.0,NA,300.0,500.0,1000.0,2000.0,3000.0,NA,Refined,Caretaker,Detailed,Keeper,Careful,Gardener,Caretaking,Ringleader,Flower-Loving,Boss,NA,NA,Yes,1.0.0,8JeajqbS7bHbJ4KPH
Tomorrow's Trees Today,"To build a sustainable life on this island, we're going to need to plant a lot of trees! The more you plant, the more miles you can earn.",Plant a specified number of trees (planting fruits or replanting existing trees does not count),21.0,8.0,PlantTreeSeedling,Plant,3.0,5.0,10.0,30.0,NA,NA,NA,300.0,500.0,1000.0,NA,NA,NA,Outdoorsy,Defender,Organic,Dietitian,Hay-Feverish,Sneezer,NA,NA,NA,NA,NA,NA,Yes,1.0.0,eeDWd35DjuJy7CsM5
Pick of the Bunch,"You'll get Nook Miles based on the amount of fruit you've sold. Remember: If you sell our island's specialty fruit on other islands, you might be able to get a better price!",Sell a specified number of fruits,22.0,70.0,SellFruit,Plant,5.0,20.0,100.0,500.0,1000.0,3000.0,NA,300.0,500.0,1000.0,2000.0,3000.0,NA,Inexperienced,Observationist,Precocious,Bounty,Seasonal,Tree,Mature,Kind,Rotten,Scent,NA,NA,Yes,1.0.0,tGg8gEWooCRFAn2Km
Fruit Roots,"(island name)'s local fruit delicacy is a wonder, to be sure. But if you plant new varieties, guess what'll happen? Correct! You'll ""grow"" some Nook Miles! What you do with the fruit after that is up to you.","Plant each type of fruit (cherry, orange, pear, peach, apple, and coconut)",23.0,7.0,PlantFruit,Plant,6.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,200.0,300.0,500.0,700.0,1000.0,Twin's,Other Half,Total,Freshman,Unpearable,Pear,Plucky,Star,Crisp,"Mr. Popular;Ms. Popular
",Tropically Grown,Coconut,No,1.0.0,tNSnLaumH2MbDMSqK
Shrubbery Hububbery,"Different kinds of shrubs usher in the different seasons with their flowers, yes, yes! Folks who plant many shrubs will receive beauty and miles as a reward.",Plant a specified number of shrubs (replanting existing shrubs does not count),24.0,92.0,PlantBushSeedling,Plant,3.0,1.0,2.0,20.0,NA,NA,NA,300.0,500.0,1000.0,NA,NA,NA,Verdant,Wonder,Unrestrained,Sentinel,Surprising,Snake,NA,NA,NA,NA,NA,NA,Yes,1.2.0,kosAYGQuM92yWsRZx
Go Ahead. Be Shellfish!,You can earn Nook Miles based on the number of seashells you sell. (That's not easy to say!) And remember: You'll get different amounts of Bells for different types of shells. So pay attention!,Sell a specified number of seashells,25.0,69.0,SellShell,Fish,5.0,10.0,50.0,200.0,500.0,1000.0,NA,300.0,500.0,1000.0,2000.0,3000.0,NA,Shell-Grabbing,Shell Fan,Seashore,Seashell Seller,Shifty,Shellector,Over-Shelled,Shell Master,Shellfish,Shellaborator;Shellarina,NA,NA,Yes,1.0.0,eycL6Ntub97uvKwgB
Clam and Collected,"Dig up clams, collect Nook Miles. It's really that simple. The real bonus here is that you get to walk along the beach for this one.",Dig up a specified number of clams,26.0,63.0,DigShell,Fish,5.0,5.0,20.0,50.0,100.0,200.0,NA,300.0,500.0,1000.0,2000.0,3000.0,NA,Tidal,Season,Ready,Coast Dweller,Buried,Genius,Rare,Prodigy,Water's Edge,Mermaid,NA,NA,Yes,1.0.0,MsKyNAx2BBitXF4SQ
Trash Fishin',"You work extra hard to keep out island clean, even going so far as to fish up trash out of our lovely waters. So you're getting some Nook Miles for keeping the island extra tidy, yes, yes!","Fish a specified number of trash (cans, tires, or boots)",27.0,32.0,CatchTrash,Fish,3.0,3.0,10.0,20.0,NA,NA,NA,300.0,500.0,1000.0,NA,NA,NA,Untossable,Trash,Eco-Friendly,Ecologist,Waterway,Cleaner,NA,NA,NA,NA,NA,NA,Yes,1.0.0,gYpEcg4qf7X46Svfz
Cast Master,Cast your line carefully if you want to reel in this reward - you'll need to nab a bunch of fish in a row without a single one getting away to earn these miles.,Fish a specified number of fish in a single streak without any getting away,28.0,2.0,CatchFishContinuously,Fish,3.0,10.0,50.0,100.0,NA,NA,NA,300.0,500.0,1000.0,NA,NA,NA,Mistakenly Caught,Fish,Bait-Snatching,Frenzy,Wave-Tossed,Life-Form,NA,NA,NA,NA,NA,NA,Yes,1.0.0,PcXyzjRR7mMRJMpWA
Dream House,A home that you build yourself gives you greater livability - it's on a whole other level! I'll give Nook Miles to those who build or expand their home to taste the good life.,Expand your home a specified number of times,29.0,82.0,ExtendMyHome,Event,5.0,1.0,2.0,5.0,6.0,7.0,NA,500.0,1000.0,2000.0,3000.0,5000.0,NA,One-Room,Loner,Single-Occupant,Beginner,Homey,Sentiment,Second-Floor,Landlord,Basement,Backbone,NA,NA,Yes,1.0.0,FLDPYLE7KWu8S9uPg
Decorated Decorator,"You got an S ranking from the Happy Home Academy! Your decorating skills are truly an inspiration, and you deserve some Nook Miles.",Get an S ranking from the Happy Home Academy,30.0,40.0,GetSRankonHHA,Event,1.0,1.0,NA,NA,NA,NA,NA,1000.0,NA,NA,NA,NA,NA,Happy,Overachiever,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,1.0.0,kzJaqFiCaRivejX2x
Hoard Reward,Put more furniture in your house! Nook Inc. will give you Nook Miles based on the number of indoor furniture items you have. So you're earning rewards for making your house a home!,Place a specified number of furniture in your house,31.0,78.0,PlaceFurnitureMyHouse,Event,5.0,5.0,15.0,30.0,100.0,150.0,NA,300.0,1000.0,2000.0,3000.0,5000.0,NA,Interior,Sort,Tentative,Remodeler,Comparative,Sundries Fan,Assumed,Appliance Fan,Abounding,Interior-Design Fan,NA,NA,Yes,1.0.0,k6RF4XJhEdk3DWupM
Good Things in Store!,"I'll reward you with miles based on the number of items you have in storage, hm? Using the convenient storage feature will make life on the island more pleasant!",Store a specified number of items in your house storage,32.0,77.0,HouseStorageItem,Event,5.0,20.0,50.0,100.0,200.0,300.0,NA,300.0,1000.0,2000.0,3000.0,5000.0,NA,Overstuffed,Stylist,Partially Obscured,Talent,At-Capacity,Manager,Self-Possessed,Coordinator,Invulnerable,Life Hacker,NA,NA,Yes,1.0.0,vmFkmQFGyKNS6gPdo
Remarkable Remodeler,"You finished remodeling your house, hm? It looks like a completely new house now! I'll give you rewards based on the number of remodels you do, so keep it up!",Remodel your home's exterior a specified number of times,33.0,81.0,ReformMyHome,Event,3.0,1.0,3.0,5.0,NA,NA,NA,500.0,1000.0,2000.0,NA,NA,NA,Home,Transformer,Dreamy,Dreamer,Quintessential,Space,NA,NA,NA,NA,NA,NA,Yes,1.0.0,ZqLiA9gGSKTBGZQgZ
Smile Isle,"Good deeds are their own rewards. But go ahead and have some Nook Miles too for fulfilling requests from other island residents. Yes, yes!",Fulfill a specified number of requests from residents (such as returning lost items),34.0,59.0,AchieveVillagersQuest,Communication,5.0,1.0,10.0,50.0,100.0,300.0,NA,300.0,500.0,1000.0,2000.0,3000.0,NA,Kindly,Standard,Reliable,Ally,Generous,Supervisor,Exalted,Savior,Foolhardy,Hero;Heroine,NA,NA,Yes,1.0.0,2Cf5yBG3NFSeozMg2
Reaction Ruler,"You learned a Reaction! Let's celebrate this momentous occasion with...Nook Miles, hm? Reactions help you express yourself, so it's a good idea to learn them.",Learn a specified number of reactions,35.0,31.0,FillReactionList,Communication,5.0,1.0,10.0,20.0,30.0,42.0,NA,300.0,500.0,1000.0,2000.0,3000.0,NA,Overacting,Neophyte,Apprentice,Dancer,Dad-Joking,Semiprofessional,Solo,Comedian,Super-Popular,Mega Star,NA,NA,Yes,1.0.0,GRKenaH9cZf7SF3io
Island Shutterbug,"Congratulations on taking your first island photo! Please do show off your wonderful photos, whether they're impulse snaps or brilliant compositions.","Awarded the first time you take a photo using the camera app on the NookPhone (screenshot button does not count, must use the app)",36.0,75.0,TakePicture,Smartphone,1.0,1.0,NA,NA,NA,NA,NA,300.0,NA,NA,NA,NA,NA,Photogenic,Photographer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,1.0.0,amPim5PB25MTaEnZH
Edit Credit,"Your passport has some information you can edit! Nook Inc. will give Nook Miles to folks who customize their profiles. Take it slow, think about it, and make it your own.",Awarded the first time you edit your passport.,37.0,87.0,UpdatePassport,Smartphone,1.0,1.0,NA,NA,NA,NA,NA,300.0,NA,NA,NA,NA,NA,Future,Traveler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,1.0.0,97AnkL7nAoQsXaCR8
NookPhone Life,"Gotten used to using your NookPhone? The fact that you're reading this probably means you have! Keep using it, and enjoy some Nook Miles just for getting familiar with it.",Awarded after the 10th time you open your NookPhone,38.0,76.0,BootPhoneBeginner,Smartphone,1.0,10.0,NA,NA,NA,NA,NA,300.0,NA,NA,NA,NA,NA,Smartphone,Savant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,1.0.0,38g3QBF9r9HdzdhA5
That's One Smart Phone,"Nothing makes a smartphone manufacturer happier than a user who gets the most out of the device. At least, that's how Nook Inc. feels about the NookPhone. So we're giving you miles just for using your phone!",Awarded after the 1000th time you open your NookPhone,39.0,56.0,BootPhone,Smartphone,1.0,1000.0,NA,NA,NA,NA,NA,1000.0,NA,NA,NA,NA,NA,Digital-Age,Child,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,1.0.0,usRtbx9sTQwpwKzT3
Shop to It,Living on a remote island doesn't mean you have to go without life's luxuries. Shop to your heart's content with Nook Shopping and you'll earn Nook Miles!,Number of times you've ordered from the Nook Shopping catalog,40.0,16.0,BuyItemCatalog,Smartphone,5.0,1.0,20.0,50.0,100.0,200.0,NA,300.0,500.0,1000.0,2000.0,3000.0,NA,Internet,Surfer,Connected,Reviewer,Widely Accepted,Connector,Disconnected,Worrywart,Always-On,Bigwig,NA,NA,Yes,1.0.0,7rQbwihnNhEFFZmQo
Growing Collection,"You are aware that furniture and clothing you buy is added to your Nook Shopping catalog, yes? Were you also aware that you can earn miles for a large catalog? Well, you certainly are aware now!",Number of unique furniture pieces you've added to your catalog,41.0,15.0,FillCatalog,Smartphone,5.0,100.0,200.0,300.0,400.0,500.0,NA,300.0,500.0,1000.0,2000.0,3000.0,NA,Casual,Materialist,Curious,Force,Greedy,Collector,Materialistic,Avatar,Legendary,Walking Dictionary,NA,NA,Yes,1.0.0,nbEPYsfFJzwG8bozx
Nook Miles for Miles!,"Earning Nook Miles for earning Nook Miles? Yes, yes! You just earned miles for finishing Nook Miles+ goals! But where will it end?",Number of Nook Miles+ goals you've completed,42.0,58.0,AchieveAppQuest,Smartphone,5.0,5.0,50.0,200.0,1000.0,3000.0,NA,300.0,500.0,1000.0,2000.0,3000.0,NA,So-Called,Ground Traveler,Novice,Rookie,Wide-Ranging,Hobbyist,Perfectionist,Go-Getter,Year-Round,Dynamo,NA,NA,Yes,1.0.0,6Qsg6ca6qcXfQJvd9
First-Time Buyer,"You won't get miles every time you buy something on the island, but your first time is special! Enjoy these miles, courtesy of Nook Inc.",Awarded the first time you purchase an item from a shop,43.0,12.0,BuyItemRcm,Money,1.0,1.0,NA,NA,NA,NA,NA,300.0,NA,NA,NA,NA,NA,Full-Fledged,Consumer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,1.0.0,dRgaFTqnG9WJ3nDPj
Seller of Unwanted Stuff,"Selling things you don't need is a great way to keep down the clutter and earn a few extra Bells. And, in this case, a few extra miles! Hooray for your first sale!",Awarded the first time you sell an item to a shop,44.0,13.0,SellItemRcm,Money,1.0,1.0,NA,NA,NA,NA,NA,300.0,NA,NA,NA,NA,NA,Down-And-Out,Eventuality,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,1.0.0,SaJbYEBdon4j2HiML
Moving Fees Paid!,"Thank you for paying all your fees for moving to the island! Take a Nook Miles rebate as a gift and give yourself a nice pat on the back, hm?",Awarded when you pay off your initial loan using Nook Miles,45.0,33.0,PayImmigrationCost,Money,1.0,1.0,NA,NA,NA,NA,NA,500.0,NA,NA,NA,NA,NA,Autonomous,Life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,1.0.0,rQJoK5E25RSskQeW5
Bell Ringer,"Spending your Bells on the island helps revitalize the local economy, yes, yes! I'll reward you with miles based on how many Bells you've spent.",Number of total bells you've spent in shops,46.0,11.0,HowmuchBuyItem,Money,5.0,5000.0,50000.0,500000.0,2000000.0,5000000.0,NA,300.0,500.0,1000.0,2000.0,3000.0,NA,Invested,Shopaholic,Thrifty,Family Member,Covetous,Personality,Wasteful,Celebrity,Name-Dropping,VIP,NA,NA,Yes,1.0.0,r5mJC5k8vYuZRkXJT
Miles for Stalkholders,"I have Nook Miles to give any resident who purchases turnips. Buy them low, sell them high, and make a handsome profit! They’ll rot in a week, though, so be careful.",Awarded the first time you purchase turnips,47.0,9.0,BuyKabu,Money,1.0,1.0,NA,NA,NA,NA,NA,300.0,NA,NA,NA,NA,NA,Weekend,Stalkholder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,1.0.0,AzYYmDqvumcZwmqFf
Cornering the Stalk Market,The powers that be have been tracking your turnip transactions...and let's just say you've harvested your share of profits! Enjoy a few Nook Miles for helping contribute to the island's economy.,Number of total bells you've profited from selling turnips,48.0,10.0,HowmuchSellKabu,Money,5.0,1000.0,10000.0,100000.0,1000000.0,10000000.0,NA,300.0,500.0,1000.0,2000.0,3000.0,NA,Status-Minded,Speculator,Avaricious,Moneybags,Upstart,Trader,Worldwide,Bellionaire,Shadowy,Fixer,NA,NA,Yes,1.0.0,gvMPEpKkGPLmEeDPe
No More Loan Payments!,"You see how this works? You pay off your loan, get some Nook Miles! Thank you for doing business with Nook Inc.!",Awarded after paying off your first house loan with bells,49.0,34.0,RepayLoan,Money,1.0,1.0,NA,NA,NA,NA,NA,1000.0,NA,NA,NA,NA,NA,Responsible,Bill Payer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,1.0.0,uhbojHTBeM2Cnfkuh
Bulletin-Board Benefit,"Picture this: Getting Nook Miles from Nook Inc. the first time you write something on an island's bulletin board. Keep using bulletin boards to communicate with everyone on the island! Yes, yes!",Awarded the first time you post a message on your town bulletin board,50.0,83.0,PostMessageBoard,Communication,1.0,1.0,NA,NA,NA,NA,NA,300.0,NA,NA,NA,NA,NA,Rumermongering,Influencer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,1.0.0,rZLyEe6QGk9G7sLTP
Popular Pen Pal,"I'll reward you with miles if you send a lot of letters. Please keep sending letters to everyone and continuing to deepen friendships. Yes, yes!",Number of letters you've sent,51.0,50.0,SendLetter,Communication,5.0,5.0,20.0,50.0,100.0,200.0,NA,300.0,500.0,1000.0,2000.0,3000.0,NA,Art-School,Boy;Girl,Science-y,Student,Liberal-Arts,Poet,Subculture,Denizen,Deadline,Writer,NA,NA,Yes,1.0.0,EJMKZDs8N5xGkfduP
Flea Flicker,"Itchy fleas are a real hassle. If you see an island buddy struggling with fleas, by all means, help them out. Not only is it a nice thing to do, but you'll also get some miles for doing a good deed.",Number of times you've caught fleas off a villager,52.0,26.0,CatchNomi,Insect,3.0,1.0,5.0,10.0,NA,NA,NA,300.0,500.0,1000.0,NA,NA,NA,Tidy,Wild Child,Highly Aware,Neatnik,Fastidious,Character,NA,NA,NA,NA,NA,NA,Yes,1.0.0,WRvG4EsvYQbqJupxi
Cicada Memories,"Ah, cicada shells in the summer. They're not really all that useful, but collecting them does help create summer memories that will last a lifetime.",Awarded the first time you catch a cicada shell,53.0,25.0,CatchSeminonukegara,Insect,1.0,1.0,NA,NA,NA,NA,NA,1000.0,NA,NA,NA,NA,NA,Shell-Less,Being,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,1.0.0,t9vayZu88rPHrY79j
Netting Better!,"It's so impressive when someone can catch five wasps in a row - so impressive, in fact, that you'll earn some Nook Miles if you can do it!",Awarded the first time you catch five wasps in a row without running away or getting stung,54.0,71.0,CatchBeeContinuously,Insect,1.0,1.0,NA,NA,NA,NA,NA,1000.0,NA,NA,NA,NA,NA,Accurate,Deadeye,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,1.0.0,ojjJY4tQvSCs3BYda
Pit-y Party!,Enjoy some bonus Nook Miles to commemorate the creation of your first pit. Just make sure you don't fall victim to your own handiwork!,Awarded the first time you bury a pitfall seed,55.0,51.0,MakePitfall,HHA,1.0,1.0,NA,NA,NA,NA,NA,300.0,NA,NA,NA,NA,NA,Wild-Child,Troublemaker,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,1.0.0,MwQQ43gFXFky4Z2hG
Taking the Sting Out,"Getting stung by wasps hurts! Getting stung again before you can recover makes you faint! But at least you get some miles for that. I don't want you to be uncomfortable though, so take some medicine to heal up!",Awarded the first time you get stung by a wasp,56.0,24.0,BeStungbyWasp,Negative,1.0,1.0,NA,NA,NA,NA,NA,300.0,NA,NA,NA,NA,NA,Teary-Eyed,Crybaby,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,1.0.0,P82MkAcpWY9ZAQTnD
Faint of Heart,This island is home to creepy crawlers that would make anyone light-headed. Maybe wielding a net will make you less likely to faint...,Awarded the first time you get knocked out by a Scorpion or Tarantula,57.0,27.0,BeStungbyPoisonousInsect,Negative,1.0,1.0,NA,NA,NA,NA,NA,300.0,NA,NA,NA,NA,NA,Risen,Phoenix,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,1.0.0,NwntrWkuaxtB8NoL9
