Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Seasonal Availability,Mannequin Piece,Style,Label Themes,Sort Order,Type,Villager Equippable,Catalog,Version Added,Version Unlocked,Filename,ClothGroup ID,Internal ID,Unique Entry ID
apple hat,https://acnhcdn.com/latest/ClosetIcon/CapHatApple0.png,https://acnhcdn.com/latest/FtrIcon/CapHatApple0.png,NA,Yes,NFS,1000.0,103.0,Red,Yellow,1x1,NA,Crafting,,All Year,No,Cute,fairy tale; party; theatrical,1.0,HeadCap,Yes,Not for sale,1.0.0,1.0.0,CapHatApple0,1122.0,9871.0,rEpxF8jscsm4fwjSf
Aran-knit cap,https://acnhcdn.com/latest/ClosetIcon/CapHatAlan0.png,https://acnhcdn.com/latest/FtrIcon/CapHatAlan0.png,White,No,880.0,220.0,51.0,White,White,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter,Yes,Simple,everyday; outdoorsy; comfy,1.0,HeadCap,Yes,For sale,1.0.0,1.0.0,CapHatAlan0,1115.0,9864.0,6Zi8WYr34D8niHAnC
Aran-knit cap,https://acnhcdn.com/latest/ClosetIcon/CapHatAlan1.png,https://acnhcdn.com/latest/FtrIcon/CapHatAlan1.png,Red,No,880.0,220.0,51.0,Red,Red,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter,No,Simple,everyday; outdoorsy; comfy,2.0,HeadCap,Yes,For sale,1.0.0,1.0.0,CapHatAlan1,1115.0,12045.0,uFfoH47SuuTmAzaXG
Aran-knit cap,https://acnhcdn.com/latest/ClosetIcon/CapHatAlan3.png,https://acnhcdn.com/latest/FtrIcon/CapHatAlan3.png,Green,No,880.0,220.0,51.0,Green,Green,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter,No,Simple,everyday; outdoorsy; comfy,3.0,HeadCap,Yes,For sale,1.0.0,1.0.0,CapHatAlan3,1115.0,12047.0,fnowt95fR7QRBrux7
Aran-knit cap,https://acnhcdn.com/latest/ClosetIcon/CapHatAlan2.png,https://acnhcdn.com/latest/FtrIcon/CapHatAlan2.png,Blue,No,880.0,220.0,51.0,Blue,Blue,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter,No,Simple,everyday; outdoorsy; comfy,4.0,HeadCap,Yes,For sale,1.0.0,1.0.0,CapHatAlan2,1115.0,12046.0,jeSebE2Y5fYhTj22k
baby's hat,https://acnhcdn.com/latest/ClosetIcon/CapBangsBonnet4.png,https://acnhcdn.com/latest/FtrIcon/CapBangsBonnet4.png,Baby pink,No,560.0,140.0,51.0,Red,White,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Cute,comfy,1.0,Headgear_HasBang,No,For sale,1.0.0,1.0.0,CapBangsBonnet4,707.0,11856.0,wyPrRhtyyMtn7Hy3Y
baby's hat,https://acnhcdn.com/latest/ClosetIcon/CapBangsBonnet1.png,https://acnhcdn.com/latest/FtrIcon/CapBangsBonnet1.png,Baby purple,No,560.0,140.0,51.0,Pink,White,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Cute,comfy,2.0,Headgear_HasBang,No,For sale,1.0.0,1.0.0,CapBangsBonnet1,707.0,11853.0,5939Ws882wTSv7sJK
baby's hat,https://acnhcdn.com/latest/ClosetIcon/CapBangsBonnet7.png,https://acnhcdn.com/latest/FtrIcon/CapBangsBonnet7.png,Baby orange,No,560.0,140.0,51.0,Orange,White,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Cute,comfy,3.0,Headgear_HasBang,No,For sale,1.0.0,1.0.0,CapBangsBonnet7,707.0,11859.0,Pf6AxNWkC8D4BBoEN
baby's hat,https://acnhcdn.com/latest/ClosetIcon/CapBangsBonnet2.png,https://acnhcdn.com/latest/FtrIcon/CapBangsBonnet2.png,Baby yellow,No,560.0,140.0,51.0,Yellow,White,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Cute,comfy,4.0,Headgear_HasBang,No,For sale,1.0.0,1.0.0,CapBangsBonnet2,707.0,11854.0,qk3PJdK2SZK4vsFKo
baby's hat,https://acnhcdn.com/latest/ClosetIcon/CapBangsBonnet3.png,https://acnhcdn.com/latest/FtrIcon/CapBangsBonnet3.png,Baby green,No,560.0,140.0,51.0,Green,White,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Cute,comfy,5.0,Headgear_HasBang,No,For sale,1.0.0,1.0.0,CapBangsBonnet3,707.0,11855.0,hADTfx6Y2hKri4obE
baby's hat,https://acnhcdn.com/latest/ClosetIcon/CapBangsBonnet0.png,https://acnhcdn.com/latest/FtrIcon/CapBangsBonnet0.png,Baby mint,No,560.0,140.0,51.0,Light blue,White,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Cute,comfy,6.0,Headgear_HasBang,No,For sale,1.0.0,1.0.0,CapBangsBonnet0,707.0,5363.0,rv9rW8dCfB8k73Hzr
baby's hat,https://acnhcdn.com/latest/ClosetIcon/CapBangsBonnet6.png,https://acnhcdn.com/latest/FtrIcon/CapBangsBonnet6.png,Baby blue,No,560.0,140.0,51.0,Blue,White,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Cute,comfy,7.0,Headgear_HasBang,No,For sale,1.0.0,1.0.0,CapBangsBonnet6,707.0,11858.0,qHj5WWwZRstJtjP2d
baby's hat,https://acnhcdn.com/latest/ClosetIcon/CapBangsBonnet5.png,https://acnhcdn.com/latest/FtrIcon/CapBangsBonnet5.png,Baby gray,No,560.0,140.0,51.0,Beige,White,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Cute,comfy,8.0,Headgear_HasBang,No,For sale,1.0.0,1.0.0,CapBangsBonnet5,707.0,11857.0,7FLgET2RH6aejsb8v
balloon hat,https://acnhcdn.com/latest/ClosetIcon/CapHatBalloon1.png,https://acnhcdn.com/latest/FtrIcon/CapHatBalloon1.png,Orange,No,1120.0,280.0,51.0,Orange,Pink,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Active,party; theatrical,1.0,HeadCap,Yes,For sale,1.0.0,1.0.0,CapHatBalloon1,689.0,11050.0,rWRnH9TkRg3o9xDJQ
balloon hat,https://acnhcdn.com/latest/ClosetIcon/CapHatBalloon3.png,https://acnhcdn.com/latest/FtrIcon/CapHatBalloon3.png,Green,No,1120.0,280.0,51.0,Green,Yellow,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Active,party; theatrical,2.0,HeadCap,Yes,For sale,1.0.0,1.0.0,CapHatBalloon3,689.0,11052.0,CwDPA4FeLvQ44QncE
balloon hat,https://acnhcdn.com/latest/ClosetIcon/CapHatBalloon2.png,https://acnhcdn.com/latest/FtrIcon/CapHatBalloon2.png,Blue,No,1120.0,280.0,51.0,Blue,Purple,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Active,party; theatrical,3.0,HeadCap,Yes,For sale,1.0.0,1.0.0,CapHatBalloon2,689.0,11051.0,oKbK2uhkLaQaRnpWW
balloon hat,https://acnhcdn.com/latest/ClosetIcon/CapHatBalloon0.png,https://acnhcdn.com/latest/FtrIcon/CapHatBalloon0.png,Rainbow,No,1120.0,280.0,51.0,Colorful,Colorful,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Active,party; theatrical,4.0,HeadCap,Yes,For sale,1.0.0,1.0.0,CapHatBalloon0,689.0,5340.0,Y2LX2RKY9fu4DtjFs
bamboo hat,https://acnhcdn.com/latest/ClosetIcon/CapHatAjiroBeige.png,https://acnhcdn.com/latest/FtrIcon/CapHatAjiroBeige.png,NA,Yes,NFS,200.0,103.0,Beige,Beige,1x1,NA,Crafting,,All Year,No,Simple,fairy tale; outdoorsy,1.0,HeadCap,Yes,Not for sale,1.0.0,1.0.0,CapHatAjiroBeige,594.0,5143.0,ehxYwYvtXQ5wyi3pQ
barrette,https://acnhcdn.com/latest/ClosetIcon/CapOrnamentTBarrette0.png,https://acnhcdn.com/latest/FtrIcon/CapOrnamentTBarrette0.png,NA,No,490.0,122.0,51.0,Pink,White,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Elegant,everyday; fairy tale; party,1.0,HeadHairOrnament_Back,Yes,For sale,1.0.0,1.0.0,CapOrnamentTBarrette0,1111.0,9860.0,BK2NAfuYfrr4womPM
baseball cap,https://acnhcdn.com/latest/ClosetIcon/CapHatBaseball3.png,https://acnhcdn.com/latest/FtrIcon/CapHatBaseball3.png,Orange,No,840.0,210.0,51.0,Black,Orange,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Active,outdoorsy; sporty; work,1.0,HeadCap,Yes,For sale,1.0.0,1.0.0,CapHatBaseball3,1061.0,12094.0,HE8xZkXbRspp6qgoE
baseball cap,https://acnhcdn.com/latest/ClosetIcon/CapHatBaseball4.png,https://acnhcdn.com/latest/FtrIcon/CapHatBaseball4.png,Yellow,No,840.0,210.0,51.0,Black,Yellow,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Active,outdoorsy; sporty; work,2.0,HeadCap,Yes,For sale,1.0.0,1.0.0,CapHatBaseball4,1061.0,12095.0,rci5SRCfQ3Hre9vsT
baseball cap,https://acnhcdn.com/latest/ClosetIcon/CapHatBaseball0.png,https://acnhcdn.com/latest/FtrIcon/CapHatBaseball0.png,Red,No,840.0,210.0,51.0,Red,Red,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Active,outdoorsy; sporty; work,3.0,HeadCap,Yes,For sale,1.0.0,1.0.0,CapHatBaseball0,1061.0,9763.0,Yt7QudxePYGMbwcWt
baseball cap,https://acnhcdn.com/latest/ClosetIcon/CapHatBaseball2.png,https://acnhcdn.com/latest/FtrIcon/CapHatBaseball2.png,Green,No,840.0,210.0,51.0,Green,Green,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Active,outdoorsy; sporty; work,4.0,HeadCap,Yes,For sale,1.0.0,1.0.0,CapHatBaseball2,1061.0,12093.0,xYaGzJECou3ALoBz4
baseball cap,https://acnhcdn.com/latest/ClosetIcon/CapHatBaseball1.png,https://acnhcdn.com/latest/FtrIcon/CapHatBaseball1.png,Navy blue,No,840.0,210.0,51.0,Blue,Blue,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Active,outdoorsy; sporty; work,5.0,HeadCap,Yes,For sale,1.0.0,1.0.0,CapHatBaseball1,1061.0,12092.0,PomndWn5sqv7fZ86a
batter's helmet,https://acnhcdn.com/latest/ClosetIcon/CapHelmetBaseball3.png,https://acnhcdn.com/latest/FtrIcon/CapHelmetBaseball3.png,Orange,No,1040.0,260.0,51.0,Black,Orange,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Active,sporty; work,1.0,Headgear_NoEar,No,For sale,1.0.0,1.0.0,CapHelmetBaseball3,709.0,11598.0,ohKfr9GPDP7QdRSnC
batter's helmet,https://acnhcdn.com/latest/ClosetIcon/CapHelmetBaseball4.png,https://acnhcdn.com/latest/FtrIcon/CapHelmetBaseball4.png,Yellow,No,1040.0,260.0,51.0,Black,Yellow,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Active,sporty; work,2.0,Headgear_NoEar,No,For sale,1.0.0,1.0.0,CapHelmetBaseball4,709.0,11599.0,4bFJaJ5S9qqevW4sx
batter's helmet,https://acnhcdn.com/latest/ClosetIcon/CapHelmetBaseball0.png,https://acnhcdn.com/latest/FtrIcon/CapHelmetBaseball0.png,Red,No,1040.0,260.0,51.0,Red,Red,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Active,sporty; work,3.0,Headgear_NoEar,No,For sale,1.0.0,1.0.0,CapHelmetBaseball0,709.0,5366.0,5YfnKAsTFYFEyGCJb
batter's helmet,https://acnhcdn.com/latest/ClosetIcon/CapHelmetBaseball2.png,https://acnhcdn.com/latest/FtrIcon/CapHelmetBaseball2.png,Green,No,1040.0,260.0,51.0,Green,Green,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Active,sporty; work,4.0,Headgear_NoEar,No,For sale,1.0.0,1.0.0,CapHelmetBaseball2,709.0,11597.0,GfWeB9jgoCTfuG9Lv
batter's helmet,https://acnhcdn.com/latest/ClosetIcon/CapHelmetBaseball1.png,https://acnhcdn.com/latest/FtrIcon/CapHelmetBaseball1.png,Navy blue,No,1040.0,260.0,51.0,Blue,Blue,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Active,sporty; work,5.0,Headgear_NoEar,No,For sale,1.0.0,1.0.0,CapHelmetBaseball1,709.0,11596.0,zRQ6hi9FeiQcLXwzH
bear cap,https://acnhcdn.com/latest/ClosetIcon/CapBangsBear0.png,https://acnhcdn.com/latest/FtrIcon/CapBangsBear0.png,Brown,No,1120.0,280.0,51.0,Brown,Beige,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Cute,fairy tale; party; theatrical,1.0,Headgear_HasBang,No,For sale,1.0.0,1.0.0,CapBangsBear0,682.0,5330.0,qmkSD7yKDpFvdxcPK
bear cap,https://acnhcdn.com/latest/ClosetIcon/CapBangsBear1.png,https://acnhcdn.com/latest/FtrIcon/CapBangsBear1.png,Black,No,1120.0,280.0,51.0,Black,Beige,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Cute,fairy tale; party; theatrical,2.0,Headgear_HasBang,No,For sale,1.0.0,1.0.0,CapBangsBear1,682.0,11704.0,6Lrqy6EP9zYBc9Cvj
bear cap,https://acnhcdn.com/latest/ClosetIcon/CapBangsBear2.png,https://acnhcdn.com/latest/FtrIcon/CapBangsBear2.png,Pink,No,1120.0,280.0,51.0,Pink,Beige,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Cute,fairy tale; party; theatrical,3.0,Headgear_HasBang,No,For sale,1.0.0,1.0.0,CapBangsBear2,682.0,11705.0,CK638wXoN5uPsRbYJ
bear cap,https://acnhcdn.com/latest/ClosetIcon/CapBangsBear3.png,https://acnhcdn.com/latest/FtrIcon/CapBangsBear3.png,Blue,No,1120.0,280.0,51.0,Light blue,White,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Cute,fairy tale; party; theatrical,4.0,Headgear_HasBang,No,For sale,1.0.0,1.0.0,CapBangsBear3,682.0,11706.0,MfoAxTnsMmTQBic6g
beret,https://acnhcdn.com/latest/ClosetIcon/CapHatBeret5.png,https://acnhcdn.com/latest/FtrIcon/CapHatBeret5.png,White,No,880.0,220.0,51.0,White,White,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,Yes,Elegant,everyday; formal; party,1.0,HeadCap,Yes,For sale,1.0.0,1.0.0,CapHatBeret5,636.0,11527.0,4cJGWuLDDa2emHT9H
beret,https://acnhcdn.com/latest/ClosetIcon/CapHatBeret4.png,https://acnhcdn.com/latest/FtrIcon/CapHatBeret4.png,Gray,No,880.0,220.0,51.0,Gray,Gray,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,Yes,Elegant,everyday; formal; party,2.0,HeadCap,Yes,For sale,1.0.0,1.0.0,CapHatBeret4,636.0,11526.0,RumHCxfL5TsdeSodA
beret,https://acnhcdn.com/latest/ClosetIcon/CapHatBeret0.png,https://acnhcdn.com/latest/FtrIcon/CapHatBeret0.png,Berry red,No,880.0,220.0,51.0,Red,Red,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,Yes,Elegant,everyday; formal; party,3.0,HeadCap,Yes,For sale,1.0.0,1.0.0,CapHatBeret0,636.0,5260.0,iPsbB4mbQ899q2j57
beret,https://acnhcdn.com/latest/ClosetIcon/CapHatBeret3.png,https://acnhcdn.com/latest/FtrIcon/CapHatBeret3.png,Mustard,No,880.0,220.0,51.0,Yellow,Yellow,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Elegant,everyday; formal; party,4.0,HeadCap,Yes,For sale,1.0.0,1.0.0,CapHatBeret3,636.0,11525.0,gW77mBgBYahG3WcYf
beret,https://acnhcdn.com/latest/ClosetIcon/CapHatBeret2.png,https://acnhcdn.com/latest/FtrIcon/CapHatBeret2.png,Green,No,880.0,220.0,51.0,Green,Green,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Elegant,everyday; formal; party,5.0,HeadCap,Yes,For sale,1.0.0,1.0.0,CapHatBeret2,636.0,11524.0,39uW3hcrPpBpudJrm
beret,https://acnhcdn.com/latest/ClosetIcon/CapHatBeret1.png,https://acnhcdn.com/latest/FtrIcon/CapHatBeret1.png,Blue,No,880.0,220.0,51.0,Blue,Blue,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Elegant,everyday; formal; party,6.0,HeadCap,Yes,For sale,1.0.0,1.0.0,CapHatBeret1,636.0,11523.0,9CLccmJpKhs7z7GsP
bicycle helmet,https://acnhcdn.com/latest/ClosetIcon/CapHatCyclemet2.png,https://acnhcdn.com/latest/FtrIcon/CapHatCyclemet2.png,Red,No,1100.0,275.0,51.0,Red,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Active,sporty,1.0,HeadCap,Yes,For sale,1.0.0,1.0.0,CapHatCyclemet2,645.0,10220.0,QDn7xQHdWZ6xPh3BT
bicycle helmet,https://acnhcdn.com/latest/ClosetIcon/CapHatCyclemet7.png,https://acnhcdn.com/latest/FtrIcon/CapHatCyclemet7.png,Pink,No,1100.0,275.0,51.0,Pink,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Active,sporty,2.0,HeadCap,Yes,For sale,1.0.0,1.0.0,CapHatCyclemet7,645.0,10225.0,RZCHqdZeoMmDoGm4m
bicycle helmet,https://acnhcdn.com/latest/ClosetIcon/CapHatCyclemet5.png,https://acnhcdn.com/latest/FtrIcon/CapHatCyclemet5.png,Orange,No,1100.0,275.0,51.0,Orange,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Active,sporty,3.0,HeadCap,Yes,For sale,1.0.0,1.0.0,CapHatCyclemet5,645.0,10223.0,4GFrms76iFwwqSCkm
bicycle helmet,https://acnhcdn.com/latest/ClosetIcon/CapHatCyclemet3.png,https://acnhcdn.com/latest/FtrIcon/CapHatCyclemet3.png,Lime,No,1100.0,275.0,51.0,Yellow,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Active,sporty,4.0,HeadCap,Yes,For sale,1.0.0,1.0.0,CapHatCyclemet3,645.0,10221.0,mM2hGRaCP5ZaDdab6
bicycle helmet,https://acnhcdn.com/latest/ClosetIcon/CapHatCyclemet4.png,https://acnhcdn.com/latest/FtrIcon/CapHatCyclemet4.png,Green,No,1100.0,275.0,51.0,Green,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Active,sporty,5.0,HeadCap,Yes,For sale,1.0.0,1.0.0,CapHatCyclemet4,645.0,10222.0,qqDW5HCEQdMJx5H5B
bicycle helmet,https://acnhcdn.com/latest/ClosetIcon/CapHatCyclemet0.png,https://acnhcdn.com/latest/FtrIcon/CapHatCyclemet0.png,Blue,No,1100.0,275.0,51.0,Light blue,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Active,sporty,6.0,HeadCap,Yes,For sale,1.0.0,1.0.0,CapHatCyclemet0,645.0,5282.0,kWrRgRFJ8PYExJvL6
bicycle helmet,https://acnhcdn.com/latest/ClosetIcon/CapHatCyclemet1.png,https://acnhcdn.com/latest/FtrIcon/CapHatCyclemet1.png,Navy blue,No,1100.0,275.0,51.0,Blue,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Active,sporty,7.0,HeadCap,Yes,For sale,1.0.0,1.0.0,CapHatCyclemet1,645.0,10219.0,tXGWFr2hrkQg6XgKy
bicycle helmet,https://acnhcdn.com/latest/ClosetIcon/CapHatCyclemet6.png,https://acnhcdn.com/latest/FtrIcon/CapHatCyclemet6.png,Purple,No,1100.0,275.0,51.0,Purple,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Active,sporty,8.0,HeadCap,Yes,For sale,1.0.0,1.0.0,CapHatCyclemet6,645.0,10224.0,D2BTXoTXvvGwzyyuF
birthday hat,https://acnhcdn.com/latest/ClosetIcon/CapHatBirthday2.png,https://acnhcdn.com/latest/FtrIcon/CapHatBirthday2.png,Pink,No,NFS,600.0,573.0,Pink,White,1x1,NA,Birthday,,All Year,No,Gorgeous,party,1.0,HeadCap,Yes,Not for sale,1.0.0,1.0.0,CapHatBirthday2,551.0,11032.0,SHSKySrv2c9QJHFbt
birthday hat,https://acnhcdn.com/latest/ClosetIcon/CapHatBirthday1.png,https://acnhcdn.com/latest/FtrIcon/CapHatBirthday1.png,Yellow,No,NFS,600.0,573.0,Yellow,White,1x1,NA,Birthday,,All Year,No,Gorgeous,party,2.0,HeadCap,Yes,Not for sale,1.0.0,1.0.0,CapHatBirthday1,551.0,11031.0,KxQKjRzS2zDaXTS38
birthday hat,https://acnhcdn.com/latest/ClosetIcon/CapHatBirthday0.png,https://acnhcdn.com/latest/FtrIcon/CapHatBirthday0.png,Blue,No,NFS,600.0,573.0,Light blue,White,1x1,NA,Birthday,,All Year,No,Gorgeous,party,3.0,HeadCap,Yes,Not for sale,1.0.0,1.0.0,CapHatBirthday0,551.0,4800.0,zndsngwExKbWTahZf
blue rose crown,https://acnhcdn.com/latest/ClosetIcon/CapOrnamentRose4.png,https://acnhcdn.com/latest/FtrIcon/CapOrnamentRose4.png,NA,Yes,NFS,12000.0,103.0,Blue,Blue,1x1,NA,Crafting,,All Year,No,Cute,fairy tale; party; vacation,4.0,HeadHairOrnament_Top,Yes,Not for sale,1.0.0,1.0.0,CapOrnamentRose4,959.0,7377.0,FMTDb2CYPMNxEfjTu
bowler hat with ribbon,https://acnhcdn.com/latest/ClosetIcon/CapHatBowler3.png,https://acnhcdn.com/latest/FtrIcon/CapHatBowler3.png,Red,No,1100.0,275.0,51.0,Red,Red,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Elegant,fairy tale; formal; party,1.0,HeadCap,Yes,For sale,1.0.0,1.0.0,CapHatBowler3,659.0,10884.0,DXBymHgCPFMRd9ruP
bowler hat with ribbon,https://acnhcdn.com/latest/ClosetIcon/CapHatBowler4.png,https://acnhcdn.com/latest/FtrIcon/CapHatBowler4.png,Pink,No,1100.0,275.0,51.0,Pink,Pink,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Elegant,fairy tale; formal; party,2.0,HeadCap,Yes,For sale,1.0.0,1.0.0,CapHatBowler4,659.0,10885.0,S6CNHQKo3qjp4rYvW
